Quarter,Time,Down,ToGo,Location,SEA,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss, Seahawks to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Bill Gramatica kicks off 61 yards, out of bounds",0.000,1.600
1,15:00,1,10,SEA 40,0,0,Matt Hasselbeck pass complete to James Williams for 8 yards (tackle by Duane Starks),1.600,2.130
1,14:33,2,2,SEA 48,0,0,Shaun Alexander left end for 7 yards (tackle by Kwamie Lassiter),2.130,2.590
1,14:07,1,10,ARI 45,0,0,Matt Hasselbeck pass complete to Bobby Engram for 13 yards (tackle by David Barrett),2.590,3.450
1,13:31,1,10,ARI 32,0,0,Maurice Morris middle for no gain (tackle by Rob Fredrickson),3.450,2.900
1,12:56,2,10,ARI 32,0,0,Matt Hasselbeck pass complete to Koren Robinson for 9 yards,2.900,3.400
1,12:36,3,1,ARI 23,0,0,Heath Evans left guard for 2 yards (tackle by Barron Tanner and Ronald McKinnon),3.400,4.170
1,12:01,1,10,ARI 21,0,0,Matt Hasselbeck pass complete to Heath Evans for 5 yards (tackle by Raynoch Thompson),4.170,4.370
1,11:31,2,5,ARI 16,0,0,Shaun Alexander left end for no gain (tackle by David Barrett),4.370,3.630
1,11:02,3,5,ARI 16,0,0,Matt Hasselbeck right guard for 6 yards (tackle by Fred Wakefield and Rob Fredrickson),3.630,4.910
1,10:22,1,10,ARI 10,0,0,Matt Hasselbeck pass complete to Koren Robinson for 6 yards (tackle by Adrian Wilson and Duane Starks),4.910,5.340
1,9:43,2,4,ARI 4,0,0,Shaun Alexander left tackle for -1 yards (tackle by Marcus Bell),5.340,4.260
1,9:04,3,5,ARI 5,0,0,Matt Hasselbeck pass incomplete intended for Koren Robinson (defended by David Barrett),4.260,3.010
1,9:00,4,5,ARI 5,3,0,Rian Lindell 23 yard field goal good,3.010,3.000
1,9:00,,,SEA 30,3,0,"Rian Lindell kicks off 61 yards, returned by Damien Anderson for 20 yards (tackle by Anton Palepoi)",0.000,0.870
1,8:50,1,10,ARI 29,3,0,Jake Plummer pass complete to Jason McAddley for 42 yards (tackle by Ken Lucas),0.870,3.640
1,8:07,1,10,SEA 29,3,0,Thomas Jones left guard for 2 yards (tackle by Chad Eaton and Isaiah Kacyvenski),3.640,3.370
1,7:29,2,8,SEA 27,3,0,Thomas Jones right end for -1 yards (tackle by Marcus Robertson and Tim Terry),3.370,2.540
1,6:46,3,9,SEA 28,3,0,Jake Plummer pass complete to Thomas Jones for 6 yards (tackle by Doug Evans),2.540,2.090
1,6:10,4,3,SEA 22,3,3,Bill Gramatica 40 yard field goal good,2.090,3.000
1,6:10,,,ARI 30,3,3,"Bill Gramatica kicks off 62 yards, returned by Kevin Kasper for 34 yards (tackle by Bill Gramatica)",0.000,1.730
1,5:56,1,10,SEA 42,3,3,Matt Hasselbeck pass complete to Koren Robinson for 18 yards (tackle by Adrian Wilson),1.730,2.920
1,5:36,1,10,ARI 40,3,3,Matt Hasselbeck pass incomplete intended for Heath Evans,2.920,2.370
1,5:32,2,10,ARI 40,3,3,Maurice Morris left end for 6 yards (tackle by Adrian Wilson),2.370,2.480
1,4:51,2,10,ARI 40,,,Timeout #1 by Seattle Seahawks,2.370,2.480
1,4:51,3,4,ARI 34,3,3,Matt Hasselbeck pass complete to Bobby Engram for 13 yards (tackle by Adrian Wilson),2.480,4.170
1,4:15,1,10,ARI 21,3,3,Shaun Alexander left end for 16 yards (tackle by Adrian Wilson and Kwamie Lassiter),4.170,6.060
1,3:26,1,5,ARI 5,3,3,Matt Hasselbeck pass incomplete intended for Bobby Engram,6.060,5.150
1,3:22,2,5,ARI 5,9,3,"Shaun Alexander middle for 5 yards, touchdown",5.150,7.000
1,3:22,,,ARI 5,10,3,Rian Lindell kicks extra point good,0.000,0.000
1,3:22,,,SEA 30,10,3,"Rian Lindell kicks off 64 yards, returned by Damien Anderson for 14 yards (tackle by Maurice Morris)",0.000,0.280
1,3:11,1,10,ARI 20,10,3,Jake Plummer pass complete to Jason McAddley for 14 yards (tackle by Reggie Tongue and Ken Lucas),0.280,1.200
1,2:33,1,10,ARI 34,10,3,Jake Plummer pass complete to Thomas Jones for -1 yards (tackle by Marcus Bell),1.200,0.520
1,2:10,2,11,ARI 33,10,3,Jake Plummer pass complete to Steve Bush for 9 yards (tackle by Marcus Robertson and Isaiah Kacyvenski),0.520,1.030
1,1:30,3,2,ARI 42,10,3,Jake Plummer right end for 2 yards,1.030,1.860
1,1:04,1,10,ARI 44,10,3,Thomas Jones right tackle for 4 yards (tackle by Isaiah Kacyvenski),1.860,1.860
1,0:23,2,6,ARI 48,10,3,Thomas Jones right guard for 2 yards (tackle by Marcus Bell and Antonio Cochran),1.860,1.420
Quarter,Time,Down,ToGo,Location,SEA,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,,10,3,Jake Plummer pass incomplete intended for Frank Sanders (defended by Shawn Springs),1.420,-0.060
2,14:55,4,4,,10,3,"Scott Player punts 50 yards, touchback",-0.060,-0.280
2,14:46,1,10,SEA 20,10,3,"Shaun Alexander right guard for no gain (tackle by Adrian Wilson). Penalty on Adrian Wilson: Defensive Offside, 5 yards (no play)",0.280,1.010
2,14:28,1,5,SEA 25,10,3,Matt Hasselbeck pass incomplete intended for Heath Evans,1.010,0.410
2,14:24,2,5,SEA 25,10,3,Matt Hasselbeck sacked by Russell Davis for -5 yards,0.410,-0.960
2,13:52,3,10,SEA 20,10,3,Matt Hasselbeck pass complete to Bobby Engram for 10 yards (tackle by Adrian Wilson and David Barrett),-0.960,0.940
2,13:35,1,10,SEA 30,10,3,Matt Hasselbeck pass complete to Koren Robinson for 20 yards (tackle by Kwamie Lassiter). Penalty on Duane Starks: Defensive Pass Interference (Declined),0.940,2.260
2,13:30,1,10,,10,3,Maurice Morris left tackle for 4 yards (tackle by Raynoch Thompson and Kyle Vanden Bosch),2.260,2.250
2,12:38,2,6,ARI 46,10,3,Matt Hasselbeck pass complete to Itula Mili for 8 yards (tackle by Raynoch Thompson),2.250,3.050
2,12:03,1,10,ARI 38,10,3,Matt Hasselbeck pass complete to Itula Mili for 27 yards (tackle by Adrian Wilson),3.050,4.840
2,11:56,1,10,ARI 11,10,3,Matt Hasselbeck pass incomplete intended for Shaun Alexander,4.840,4.140
2,11:36,2,10,ARI 11,10,3,Shaun Alexander left end for -1 yards (tackle by Raynoch Thompson),4.140,3.110
2,10:57,3,11,ARI 12,10,3,Matt Hasselbeck pass incomplete intended for Koren Robinson,3.110,2.630
2,10:51,4,11,ARI 12,13,3,Rian Lindell 30 yard field goal good,2.630,3.000
