Quarter,Time,Down,ToGo,Location,SDG,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Bill Gramatica kicks off 68 yards, returned by Tamarick Vanover for 27 yards (tackle by MarTay Jenkins)",0.000,0.870
1,14:53,1,10,SDG 29,0,0,LaDainian Tomlinson right end for 1 yard (tackle by Duane Starks),0.870,0.460
1,14:30,2,9,SDG 30,0,0,Tim Dwight left end for 1 yard (tackle by Kwamie Lassiter),0.460,-0.100
1,13:48,3,8,SDG 31,0,0,Drew Brees middle for 10 yards (tackle by Justin Lucas),-0.100,1.660
1,13:06,1,10,SDG 41,0,0,Drew Brees pass complete to Tim Dwight for 16 yards (tackle by David Barrett),1.660,2.720
1,12:32,1,10,ARI 43,0,0,Drew Brees pass incomplete intended for Tim Dwight,2.720,2.180
1,12:27,2,10,ARI 43,0,0,Drew Brees sacked by Kyle Vanden Bosch for -7 yards,2.180,0.560
1,11:55,3,17,SDG 50,0,0,Drew Brees pass incomplete intended for Tim Dwight (defended by Kwamie Lassiter),0.560,-0.060
1,11:48,4,17,SDG 50,0,0,"Darren Bennett punts 21 yards, out of bounds",-0.060,-0.870
1,11:41,1,10,ARI 29,0,0,Thomas Jones middle for 2 yards (tackle by Junior Seau),0.870,0.600
1,11:05,2,8,ARI 31,0,0,Jake Plummer pass complete to Freddie Jones for 4 yards (tackle by Alex Molden and Junior Seau),0.600,0.430
1,10:22,3,4,ARI 35,0,6,"Jake Plummer pass complete to MarTay Jenkins for 65 yards, touchdown",0.430,7.000
1,10:22,,,SDG 35,0,7,Bill Gramatica kicks extra point good,0.000,0.000
1,10:22,,,ARI 30,0,7,"Bill Gramatica kicks off 60 yards, returned by Ronney Jenkins for 24 yards (tackle by Kwamie Lassiter)",0.000,1.200
1,10:03,1,10,SDG 34,0,7,LaDainian Tomlinson right guard for 3 yards (tackle by Kyle Vanden Bosch),1.200,1.060
1,9:28,2,7,SDG 37,0,7,"Drew Brees pass complete to LaDainian Tomlinson for 9 yards (tackle by Renaldo Hill). Penalty on Cory Raymer: Offensive Holding, 10 yards (no play)",1.060,-0.290
1,9:06,2,17,SDG 27,0,7,Reche Caldwell right end for 6 yards (tackle by Russell Davis),-0.290,-0.160
1,8:26,3,11,SDG 33,0,7,"Penalty on Damion McIntosh: False Start, 5 yards (no play)",-0.160,-0.820
1,8:10,3,16,SDG 28,0,7,Drew Brees pass complete to LaDainian Tomlinson for 9 yards (tackle by Renaldo Hill),-0.820,-0.910
1,7:32,4,7,SDG 37,0,7,"Darren Bennett punts 63 yards, touchback",-0.910,-0.280
1,7:23,1,10,ARI 20,0,7,Jake Plummer pass incomplete intended for Freddie Jones (defended by Junior Seau),0.280,-0.270
1,7:13,2,10,ARI 20,0,7,Thomas Jones middle for 2 yards (tackle by Jamal Williams and Jason Fisk),-0.270,-0.690
1,6:33,3,8,ARI 22,0,7,Jake Plummer pass complete to Thomas Jones for 6 yards (tackle by Junior Seau and Leonardo Carson),-0.690,-1.500
1,6:33,4,2,ARI 28,0,7,"Scott Player punts 53 yards, returned by Tamarick Vanover for 16 yards (tackle by Justin Lucas)",-1.500,-1.270
1,5:44,1,10,SDG 35,0,7,LaDainian Tomlinson right guard for no gain (tackle by David Barrett),1.270,0.720
1,5:03,2,10,SDG 35,0,7,LaDainian Tomlinson left guard for 2 yards (tackle by Justin Lucas and Ronald McKinnon),0.720,0.300
1,4:27,3,8,SDG 37,0,7,Drew Brees pass complete to Stephen Alexander for 11 yards (tackle by Kwamie Lassiter),0.300,2.130
1,3:49,1,10,SDG 48,0,7,Drew Brees pass incomplete,2.130,1.580
1,3:41,2,10,SDG 48,0,7,Drew Brees pass incomplete intended for Tamarick Vanover,1.580,0.890
1,3:36,3,10,SDG 48,0,7,"Penalty on Vaughn Parker: False Start, 5 yards (no play)",0.890,0.230
1,3:36,3,15,SDG 43,0,7,Drew Brees pass complete to Curtis Conway for 21 yards (tackle by Renaldo Hill),0.230,3.180
1,2:57,1,10,ARI 36,0,7,Drew Brees sacked by Barron Tanner for -10 yards,3.180,1.290
1,2:26,2,20,ARI 46,0,7,Drew Brees pass incomplete intended for Josh Norman (defended by Rob Fredrickson),1.290,0.630
1,2:17,3,20,ARI 46,0,7,Drew Brees left end for 14 yards (tackle by Renaldo Hill and Dennis Johnson),0.630,1.250
1,1:36,4,6,ARI 32,0,7,Steve Christie 50 yard field goal no good,1.250,-1.600
1,1:31,1,10,ARI 40,0,7,Thomas Jones right guard for 2 yards (tackle by Raylee Johnson),1.600,1.320
1,0:46,2,8,ARI 42,0,7,Jake Plummer pass incomplete is intercepted by Marcellus Wiley at ARI-46 and returned for 40 yards,1.320,-5.830
1,0:34,1,6,ARI 6,0,7,LaDainian Tomlinson middle for 2 yards (tackle by Kwamie Lassiter),5.830,5.340
Quarter,Time,Down,ToGo,Location,SDG,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,ARI 4,6,7,"LaDainian Tomlinson left end for 4 yards, touchdown",5.340,7.000
2,15:00,,,ARI 4,7,7,Steve Christie kicks extra point good,0.000,0.000
2,15:00,,,SDG 30,7,7,"Wade Richey kicks off 76 yards, returned by MarTay Jenkins for 20 yards (tackle by Justin Peelle)",0.000,-0.280
2,14:55,1,10,ARI 14,7,7,Thomas Jones left end for 6 yards (tackle by Donnie Edwards),-0.280,0.150
2,14:19,2,4,ARI 20,7,7,Jake Plummer pass incomplete intended for Frank Sanders,0.150,-0.680
2,14:13,3,4,ARI 20,7,7,Jake Plummer pass complete to MarTay Jenkins for 5 yards (tackle by Ryan McNeil),-0.680,0.610
2,13:32,1,10,ARI 25,7,7,Thomas Jones middle for 2 yards (tackle by Vernon Fox),0.610,0.330
2,12:57,2,8,ARI 27,7,7,Jake Plummer pass incomplete intended for Thomas Jones,0.330,-0.360
2,12:57,3,8,ARI 27,7,7,Jake Plummer pass complete to David Boston for 14 yards (tackle by Rogers Beckett),-0.360,1.660
2,12:08,1,10,ARI 41,7,7,David Boston left end for 7 yards (tackle by Rogers Beckett),1.660,2.070
2,11:35,2,3,ARI 48,7,7,Thomas Jones middle for 2 yards (tackle by Leonardo Carson and Junior Seau),2.070,1.620
2,10:51,3,1,,7,7,"Thomas Jones right tackle for 7 yards (tackle by Ben Leber). Thomas Jones fumbles (forced by Ben Leber), recovered by Ryan McNeil at SDG-38 (tackle by Thomas Jones)",1.620,-1.470
2,10:44,1,10,SDG 38,7,7,LaDainian Tomlinson right end for 1 yard (tackle by Renaldo Hill),1.470,1.060
2,10:04,2,9,SDG 39,7,7,Drew Brees pass complete to LaDainian Tomlinson for 9 yards (tackle by Ronald McKinnon and Barron Tanner),1.060,2.130
2,9:24,1,10,SDG 48,7,7,Drew Brees pass complete to Curtis Conway for 15 yards (tackle by Kwamie Lassiter),2.130,3.120
2,8:45,1,10,ARI 37,7,7,LaDainian Tomlinson middle for 9 yards (tackle by Adrian Wilson),3.120,3.790
2,8:08,2,1,ARI 28,7,7,LaDainian Tomlinson right guard for 2 yards (tackle by Ronald McKinnon),3.790,3.840
2,7:22,1,10,ARI 26,7,7,Drew Brees pass complete to Terrell Fletcher for 4 yards (tackle by Rob Fredrickson),3.840,3.840
2,6:41,2,6,ARI 22,7,7,Drew Brees pass incomplete intended for Stephen Alexander,3.840,3.140
,,,,,,,"SDG challenged the ruling, and the play was upheld.",,
2,6:34,3,6,ARI 22,7,7,Drew Brees pass complete to Stephen Alexander for 19 yards (tackle by LeVar Woods and Kwamie Lassiter),3.140,6.510
2,6:05,1,3,ARI 3,7,7,LaDainian Tomlinson left tackle for 1 yard (tackle by Ronald McKinnon),6.510,5.720
2,5:08,2,2,ARI 2,13,7,"LaDainian Tomlinson right guard for 2 yards, touchdown",5.720,7.000
2,5:08,,,ARI 2,14,7,Steve Christie kicks extra point good,0.000,0.000
2,5:08,,,SDG 30,14,7,"Wade Richey kicks off 70 yards, touchback",0.000,0.280
2,5:03,1,10,ARI 20,14,7,Jake Plummer pass complete to Freddie Jones for 8 yards (tackle by Junior Seau),0.280,0.810
