Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Marques Anderson,GNB,1,22,0,22,1,0.0,12,11,1,0,,0,0,0,0
Matt Bowen,GNB,1,0,0,0,1,0.0,6,2,4,0,,0,0,0,0
Bryant Westbrook,GNB,1,0,0,0,1,0.0,3,3,0,0,,0,0,0,0
Billy Lyon,GNB,0,0,0,0,0,1.0,2,2,0,2,,0,0,0,0
Aaron Kampman,GNB,0,0,0,0,0,0.5,7,2,5,0,,0,0,0,0
Cletidus Hunt,GNB,0,0,0,0,0,0.5,4,2,2,0,,0,0,0,0
Tony Fisher,GNB,0,0,0,0,0,0.0,2,1,1,0,,0,0,0,0
Na'il Diggs,GNB,,,,,0,0.0,8,6,2,0,,0,0,0,0
Tyrone Williams,GNB,,,,,0,0.0,6,5,1,0,,0,0,0,0
Marcus Wilkins,GNB,,,,,0,0.0,5,4,1,0,,0,0,0,0
Todd Franz,GNB,,,,,0,0.0,4,2,2,0,,0,0,0,0
Kabeer Gbaja-Biamila,GNB,,,,,0,0.0,4,2,2,0,,1,0,0,0
Tod McBride,GNB,,,,,1,0.0,3,2,1,0,,0,0,0,0
Nate Wayne,GNB,,,,,0,0.0,3,2,1,0,,0,0,0,0
Gilbert Brown,GNB,,,,,0,0.0,2,2,0,0,,0,0,0,0
Hardy Nickerson,GNB,,,,,0,0.0,2,0,2,0,,0,0,0,0
Steve Warren,GNB,,,,,0,0.0,2,2,0,0,,0,0,0,0
Rob Davis,GNB,,,,,0,0.0,1,1,0,0,,0,0,0,0
Torrance Marshall,GNB,,,,,0,0.0,1,0,1,0,,1,0,0,0
Rod Walker,GNB,,,,,0,0.0,1,1,0,0,,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Bobby Hamilton,NWE,0,0,0,0,0,1.0,11,7,4,1,,0,0,0,0
Patrick Pass,NWE,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0
Tom Brady,NWE,0,0,0,0,0,0.0,0,0,0,0,,1,-9,0,0
Roman Phifer,NWE,,,,,0,0.0,10,7,3,1,,0,0,0,0
Ty Law,NWE,,,,,0,0.0,7,6,1,0,,0,0,0,0
Ted Johnson,NWE,,,,,0,0.0,6,4,2,0,,0,0,0,0
Lawyer Milloy,NWE,,,,,1,0.0,6,3,3,0,,0,0,0,0
Mike Vrabel,NWE,,,,,0,0.0,5,3,2,0,,0,0,0,0
Tedy Bruschi,NWE,,,,,1,0.0,4,3,1,1,,0,0,0,0
Tebucky Jones,NWE,,,,,1,0.0,3,2,1,0,,0,0,0,0
Je'Rod Cherry,NWE,,,,,0,0.0,2,1,1,0,,0,0,0,0
Victor Green,NWE,,,,,0,0.0,2,1,1,0,,0,0,0,0
Jarvis Green,NWE,,,,,0,0.0,2,1,1,0,,0,0,0,0
Ben Kelly,NWE,,,,,0,0.0,2,2,0,1,,0,0,0,0
Rick Lyle,NWE,,,,,0,0.0,2,2,0,0,,0,0,0,0
Steve Martin,NWE,,,,,0,0.0,2,1,1,0,,0,0,0,0
Willie McGinest,NWE,,,,,1,0.0,2,1,1,0,,0,0,0,0
Richard Seymour,NWE,,,,,0,0.0,2,1,1,0,,0,0,0,0
Otis Smith,NWE,,,,,0,0.0,2,2,0,0,,0,0,0,0
Terrell Buckley,NWE,,,,,1,0.0,1,1,0,0,,0,0,0,0
Matt Chatham,NWE,,,,,0,0.0,1,1,0,0,,0,0,0,0
Larry Izzo,NWE,,,,,0,0.0,1,1,0,0,,0,0,0,0
