Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Alex Brown,CHI,0,0,0,0,1,1.0,7,6,1,3,,0,0,0,1
Jerry Azumah,CHI,0,0,0,0,0,0.0,6,4,2,0,,0,0,0,0
R.W. McQuarters,CHI,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0
Lance Briggs,CHI,,,,,0,0.0,11,7,4,1,,0,0,0,0
Warrick Holdman,CHI,,,,,0,0.0,5,4,1,0,,0,0,0,0
Brian Urlacher,CHI,,,,,0,0.0,5,3,2,1,,0,0,0,0
Michael Green,CHI,,,,,1,0.0,4,2,2,0,,0,0,0,0
Phillip Daniels,CHI,,,,,1,0.0,3,2,1,0,,0,0,0,0
Bobby Gray,CHI,,,,,1,0.0,3,3,0,0,,0,0,0,0
Charles Tillman,CHI,,,,,2,0.0,3,3,0,0,,0,0,0,0
Mike Brown,CHI,,,,,0,0.0,2,2,0,0,,0,0,0,0
Alfonso Boone,CHI,,,,,0,0.0,1,1,0,0,,0,0,0,0
John Gilmore,CHI,,,,,0,0.0,1,1,0,0,,0,0,0,0
Michael Haynes,CHI,,,,,0,0.0,1,1,0,1,,0,0,0,0
Hunter Hillenmeyer,CHI,,,,,0,0.0,1,1,0,0,,0,0,0,0
Bryan Knight,CHI,,,,,0,0.0,1,1,0,0,,0,0,0,0
Ahmad Merritt,CHI,,,,,0,0.0,1,1,0,0,,0,0,0,0
Joe Odom,CHI,,,,,,0.0,1,1,0,1,,0,0,0,
Bryan Robinson,CHI,,,,,1,0.0,0,0,0,0,,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Corey Harris,DET,1,-1,0,0,2,0.0,3,2,1,0,,0,0,0,0
Kalimba Edwards,DET,0,0,0,0,0,1.0,2,2,0,1,,0,0,0,0
Boss Bailey,DET,0,0,0,0,2,0.5,7,5,2,1,,0,0,0,0
Barrett Green,DET,0,0,0,0,0,0.5,6,2,4,0,,0,0,0,0
Avon Cobourne,DET,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0
Cory Schlesinger,DET,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0
Earl Holmes,DET,,,,,0,0.0,9,4,5,0,,0,0,0,0
James Hall,DET,,,,,0,0.0,4,3,1,0,,0,0,0,0
Terrence Holt,DET,,,,,0,0.0,4,3,1,0,,0,0,0,0
Robert Porcher,DET,,,,,0,0.0,4,3,1,1,,0,0,0,0
Brian Walker,DET,,,,,1,0.0,4,2,2,0,,0,0,0,0
Shaun Rogers,DET,,,,,0,0.0,3,3,0,0,,0,0,0,0
Otis Smith,DET,,,,,0,0.0,3,2,1,0,,0,0,0,0
Doug Evans,DET,,,,,0,0.0,2,1,1,0,,0,0,0,0
Jeff Gooch,DET,,,,,0,0.0,2,2,0,0,,0,0,0,0
Wali Rainer,DET,,,,,0,0.0,2,1,1,0,,0,0,0,0
Dan Wilkinson,DET,,,,,0,0.0,2,1,1,0,,0,0,0,0
Bradford Banta,DET,,,,,0,0.0,1,1,0,0,,0,0,0,0
Jacoby Shepherd,DET,,,,,0,0.0,1,1,0,0,,0,0,0,0
Eric Beverly,DET,,,,,0,0.0,0,0,0,0,,1,0,0,0
