Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Lance Johnstone,MIN,0,0,0,0,0,1.0,2,2,0,0,,0,0,0,0
Chris Hovan,MIN,0,0,0,0,1,0.5,4,2,2,0,,0,0,0,0
Kenny Mixon,MIN,0,0,0,0,0,0.5,1,1,0,1,,0,0,0,0
Onterrio Smith,MIN,0,0,0,0,0,0.0,2,1,1,0,,0,0,0,0
E.J. Henderson,MIN,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0
Brian Russell,MIN,,,,,0,0.0,7,7,0,1,,0,0,0,0
Brian Williams,MIN,,,,,1,0.0,7,6,1,0,,0,0,0,0
Chris Claiborne,MIN,,,,,0,0.0,6,6,0,0,,0,0,0,0
Ken Irvin,MIN,,,,,0,0.0,6,5,1,0,,0,0,0,0
Greg Biekert,MIN,,,,,0,0.0,5,5,0,0,,0,0,0,0
Corey Chavous,MIN,,,,,0,0.0,3,2,1,0,,0,0,0,0
Denard Walker,MIN,,,,,0,0.0,3,3,0,0,,0,0,0,0
Henri Crockett,MIN,,,,,0,0.0,2,2,0,0,,0,0,0,0
Mike Nattiel,MIN,,,,,0,0.0,2,1,1,0,,0,0,0,0
Kevin Williams,MIN,,,,,0,0.0,2,1,1,1,,0,0,0,0
Fred Robbins,MIN,,,,,0,0.0,1,1,0,0,,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Terrence Kiel,SDG,1,0,0,0,1,0.0,5,5,0,0,,0,0,0,0
Jason Fisk,SDG,0,0,0,0,0,1.0,4,4,0,1,,0,0,0,0
Raylee Johnson,SDG,0,0,0,0,0,1.0,4,4,0,2,,0,0,0,0
DeQuincy Scott,SDG,0,0,0,0,0,1.0,3,3,0,1,,0,0,0,0
Jesse Chatman,SDG,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0
Leon Johnson,SDG,0,0,0,0,0,0.0,1,0,1,0,,0,0,0,0
David Boston,SDG,0,0,0,0,0,0.0,0,0,0,0,,1,0,0,0
Doug Flutie,SDG,0,0,0,0,0,0.0,0,0,0,0,,1,-9,0,0
Sammy Davis,SDG,,,,,0,0.0,7,5,2,0,,0,0,0,0
Donnie Edwards,SDG,,,,,0,0.0,7,5,2,0,,0,0,0,0
Quentin Jammer,SDG,,,,,1,0.0,6,5,1,0,,0,0,0,0
Kwamie Lassiter,SDG,,,,,0,0.0,6,4,2,0,,0,0,0,0
Ben Leber,SDG,,,,,0,0.0,6,5,1,1,,0,0,0,0
Jerry Wilson,SDG,,,,,1,0.0,6,6,0,0,,0,0,0,1
Zeke Moreno,SDG,,,,,0,0.0,3,3,0,0,,1,0,0,0
Jamal Williams,SDG,,,,,0,0.0,3,2,1,0,,0,0,0,0
Stephen Cooper,SDG,,,,,0,0.0,2,2,0,0,,0,0,0,0
Drayton Florence,SDG,,,,,0,0.0,2,2,0,0,,0,0,0,0
Carlos Polk,SDG,,,,,0,0.0,2,2,0,0,,0,0,0,0
Matt Wilhelm,SDG,,,,,0,0.0,2,2,0,0,,0,0,0,0
Joe Salave'a,SDG,,,,,0,0.0,1,0,1,0,,0,0,0,0
Marcellus Wiley,SDG,,,,,0,0.0,1,0,1,0,,0,0,0,0
