Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Mike McKenzie,GNB,1,0,0,0,1,0.0,5,4,1,0,,0,0,0,0
Torrance Marshall,GNB,0,0,0,0,1,1.0,8,7,1,2,,0,0,0,0
Aaron Kampman,GNB,0,0,0,0,0,1.0,4,3,1,0,,0,0,0,1
Hannibal Navies,GNB,,,,,0,0.0,10,9,1,2,,0,0,0,1
Marques Anderson,GNB,,,,,0,0.0,6,6,0,1,,0,0,0,0
Antuan Edwards,GNB,,,,,0,0.0,6,5,1,1,,0,0,0,0
Na'il Diggs,GNB,,,,,0,0.0,5,4,1,0,,0,0,0,0
Al Harris,GNB,,,,,2,0.0,4,4,0,1,,0,0,0,0
Kabeer Gbaja-Biamila,GNB,,,,,0,0.0,3,2,1,1,,0,0,0,0
Michael Hawthorne,GNB,,,,,1,0.0,3,2,1,0,,0,0,0,0
Grady Jackson,GNB,,,,,0,0.0,3,3,0,0,,0,0,0,0
Tony Fisher,GNB,,,,,0,0.0,2,2,0,0,,0,0,0,0
Curtis Fuller,GNB,,,,,1,0.0,2,0,2,0,,0,0,0,0
Paris Lenon,GNB,,,,,0,0.0,2,2,0,0,,0,0,0,0
Chukie Nwokorie,GNB,,,,,0,0.0,2,2,0,0,,0,0,0,0
Larry Smith,GNB,,,,,0,0.0,2,0,2,0,,0,0,0,0
William Henderson,GNB,,,,,0,0.0,1,1,0,0,,0,0,0,0
Cletidus Hunt,GNB,,,,,1,0.0,1,0,1,0,,0,0,0,0
David Martin,GNB,,,,,0,0.0,1,1,0,0,,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Dre' Bly,DET,2,21,0,0,3,0.0,2,1,1,0,,0,0,0,1
Doug Evans,DET,1,2,0,2,1,0.0,1,1,0,0,,0,0,0,0
Robert Porcher,DET,0,0,0,0,0,2.0,3,2,1,2,,0,0,0,0
Dan Wilkinson,DET,0,0,0,0,0,1.0,3,3,0,2,,1,0,0,0
Shaun Rogers,DET,0,0,0,0,1,1.0,2,2,0,0,,0,0,0,0
Eddie Drummond,DET,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0
Jason Hanson,DET,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0
Shawn Bryson,DET,0,0,0,0,0,0.0,0,0,0,0,,1,0,0,0
Joey Harrington,DET,0,0,0,0,0,0.0,0,0,0,0,,1,-2,0,0
Brian Walker,DET,,,,,0,0.0,9,6,3,0,,0,0,0,0
Barrett Green,DET,,,,,0,0.0,7,4,3,0,,0,0,0,0
Boss Bailey,DET,,,,,0,0.0,6,3,3,0,,0,0,0,0
Otis Smith,DET,,,,,0,0.0,6,5,1,0,,0,0,0,0
Earl Holmes,DET,,,,,0,0.0,5,3,2,1,,0,0,0,0
James Hall,DET,,,,,0,0.0,4,2,2,0,,0,0,0,0
Jeff Gooch,DET,,,,,0,0.0,3,2,1,0,,0,0,0,0
Bracy Walker,DET,,,,,0,0.0,3,3,0,1,,0,0,0,0
Kalimba Edwards,DET,,,,,0,0.0,2,1,1,0,,0,0,0,0
Corey Harris,DET,,,,,0,0.0,1,0,1,0,,0,0,0,0
Terrence Holt,DET,,,,,1,0.0,1,0,1,0,,1,0,0,0
Stephen Trejo,DET,,,,,0,0.0,1,1,0,0,,0,0,0,0
Stockar McDougle,DET,,,,,0,0.0,0,0,0,0,,1,0,0,0
