Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Greg Wesley,KAN,1,27,0,27,1,0.0,6,5,1,0,,0,0,0,0
Dexter McCleon,KAN,1,0,0,0,1,0.0,2,2,0,0,,0,0,0,0
Shawn Barber,KAN,0,0,0,0,1,1.0,8,4,4,2,,0,0,0,0
Jason Baker,KAN,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0
Scott Fujita,KAN,,,,,0,0.0,10,9,1,0,,0,0,0,0
Jerome Woods,KAN,,,,,1,0.0,6,5,1,0,,0,0,0,0
Vonnie Holliday,KAN,,,,,0,0.0,4,4,0,2,,0,0,0,0
Fred Jones,KAN,,,,,0,0.0,3,3,0,0,,0,0,0,0
Kawika Mitchell,KAN,,,,,0,0.0,3,2,1,0,,0,0,0,0
Eric Warfield,KAN,,,,,0,0.0,3,3,0,0,,0,0,0,0
Julian Battle,KAN,,,,,0,0.0,2,2,0,0,,0,0,0,0
Eric Hicks,KAN,,,,,0,0.0,2,2,0,0,,0,0,0,0
William Bartee,KAN,,,,,0,0.0,1,1,0,0,,0,0,0,0
Monty Beisel,KAN,,,,,0,0.0,1,1,0,0,,0,0,0,0
John Browning,KAN,,,,,0,0.0,1,1,0,0,,0,0,0,0
Ryan Sims,KAN,,,,,0,0.0,1,1,0,1,,0,0,0,0
R-Kal Truluck,KAN,,,,,0,0.0,1,1,0,0,,0,0,0,0
Jimmy Wilkerson,KAN,,,,,0,0.0,1,1,0,0,,0,0,0,0
Gary Stills,KAN,,,,,0,0.0,0,0,0,0,,1,0,0,0
Donald Willis,KAN,,,,,,0.0,,,,,,1,0,0,
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Quentin Jammer,SDG,2,0,0,0,3,0.0,5,4,1,1,,0,0,0,0
Adrian Dingle,SDG,0,0,0,0,0,1.0,2,2,0,1,,0,0,0,1
Leon Johnson,SDG,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0
Kassim Osgood,SDG,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0
Donnie Edwards,SDG,,,,,0,0.0,12,8,4,1,,0,0,0,0
Terrence Kiel,SDG,,,,,0,0.0,9,8,1,1,,0,0,0,0
Ben Leber,SDG,,,,,0,0.0,7,6,1,0,,0,0,0,0
Jerry Wilson,SDG,,,,,1,0.0,7,5,2,0,,0,0,0,0
Zeke Moreno,SDG,,,,,1,0.0,6,6,0,0,,0,0,0,0
Sammy Davis,SDG,,,,,0,0.0,3,3,0,0,,0,0,0,0
Jason Fisk,SDG,,,,,0,0.0,3,3,0,0,,0,0,0,0
Vernon Fox,SDG,,,,,0,0.0,2,2,0,0,,0,0,0,0
Otis Leverette,SDG,,,,,0,0.0,2,2,0,1,,0,0,0,0
Marcellus Wiley,SDG,,,,,0,0.0,2,2,0,0,,0,0,0,0
Jamal Williams,SDG,,,,,0,0.0,2,2,0,1,,0,0,0,0
Stephen Cooper,SDG,,,,,0,0.0,1,1,0,0,,0,0,0,0
Kevin House,SDG,,,,,0,0.0,1,1,0,0,,0,0,0,0
Carlos Polk,SDG,,,,,0,0.0,1,1,0,1,,0,0,0,0
Drayton Florence,SDG,,,,,1,0.0,0,0,0,0,,0,0,0,0
