Quarter,Time,Tm,Detail,MIN,STL
1.0,13:21,Rams,Marshall Faulk 18 yard rush (Jeff Wilkins kick),0,7
,5:40,Rams,Jeff Wilkins 28 yard field goal,0,10
,0:56,Vikings,Randy Moss 15 yard pass from Daunte Culpepper (Aaron Elling kick),7,10
2.0,11:50,Rams,Isaac Bruce 4 yard pass from Marc Bulger (Jeff Wilkins kick),7,17
,5:43,Vikings,Aaron Elling 28 yard field goal,10,17
,0:51,Vikings,Moe Williams 1 yard rush (Aaron Elling kick),17,17
,0:00,Rams,Jeff Wilkins 51 yard field goal,17,20
3.0,4:50,Rams,Marshall Faulk 5 yard rush (Jeff Wilkins kick),17,27
,2:39,Rams,Marc Bulger 12 yard rush (Jeff Wilkins kick),17,34
4.0,12:06,Rams,Aeneas Williams 90 yard defensive fumble return (Jeff Wilkins kick),17,41
,6:48,Rams,Marshall Faulk 7 yard rush (Jeff Wilkins kick),17,48
