Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Rick Mirer,OAK,10,25,68,0,2,4,29,16,14.6,0,0,0,,0,0,0,0,,1,1
Tyrone Wheatley,OAK,0,0,0,0,0,,,,,13,65,1,22,0,0,0,0,,0,
Charlie Garner,OAK,0,0,0,0,0,,,,,9,57,0,13,1,0,0,0,,0,
Jerry Rice,OAK,0,0,0,0,0,,,,,0,0,0,,6,2,27,0,16,0,
Tim Brown,OAK,0,0,0,0,0,,,,,0,0,0,,6,3,19,0,9,0,
Jerry Porter,OAK,0,0,0,0,0,,,,,0,0,0,,5,2,12,0,7,0,
Zack Crockett,OAK,0,0,0,0,0,,,,,1,0,0,0,2,1,5,0,5,0,
O.J. Santiago,OAK,0,0,0,0,0,,,,,0,0,0,,1,1,4,0,4,0,
Teyo Johnson,OAK,0,0,0,0,0,,,,,0,0,0,,3,1,1,0,1,0,
Alvis Whitted,OAK,,,,,,,,,,,,,,1,0,0,0,,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tommy Maddox,PIT,19,28,266,1,1,0,0,38,95.2,3,3,0,5,0,0,0,0,,0,
Antwaan Randle El,PIT,0,0,0,0,0,0,,,,2,11,0,18,4,3,48,0,24,1,0
Jerome Bettis,PIT,0,0,0,0,0,,,,,27,106,1,12,3,3,19,0,9,2,1
Amos Zereoue,PIT,0,0,0,0,0,,,,,5,7,0,5,4,3,21,0,14,0,
Verron Haynes,PIT,0,0,0,0,0,,,,,2,5,0,4,1,1,12,0,12,0,
Dan Kreider,PIT,0,0,0,0,0,,,,,1,1,1,1,2,1,26,0,26,0,0
Hines Ward,PIT,0,0,0,0,0,,,,,0,0,0,,5,4,67,0,38,0,
Plaxico Burress,PIT,0,0,0,0,0,,,,,0,0,0,,6,3,38,1,14,0,
Jay Riemersma,PIT,0,0,0,0,0,,,,,0,0,0,,1,1,24,0,24,0,
Mark Bruener,PIT,0,0,0,0,0,,,,,0,0,0,,1,0,11,0,11,0,
Chris Doering,PIT,,,,,,,,,,,,,,1,0,0,0,,0,
Jerame Tuman,PIT,,,,,,,,,,,,,,1,0,0,0,,0,
