Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Takeo Spikes,BUF,0,0,0,0,0,1.0,9,7,2,1,,0,0,0,0
Ryan Denney,BUF,0,0,0,0,0,1.0,1,1,0,1,,0,0,0,0
Ron Edwards,BUF,0,0,0,0,0,0.5,2,1,1,0,,0,0,0,0
Aaron Schobel,BUF,0,0,0,0,0,0.5,1,0,1,0,,0,0,0,0
Joe Burns,BUF,0,0,0,0,0,0.0,4,3,1,0,,0,0,0,0
Drew Bledsoe,BUF,0,0,0,0,0,0.0,0,0,0,0,,1,0,0,0
Antonio Brown,BUF,0,0,0,0,0,0.0,0,0,0,0,,1,0,0,0
Antoine Winfield,BUF,,,,,1,0.0,7,7,0,3,,0,0,0,0
Nate Clements,BUF,,,,,0,0.0,5,4,1,0,,0,0,0,0
Jeff Posey,BUF,,,,,0,0.0,5,5,0,0,,0,0,0,0
London Fletcher,BUF,,,,,0,0.0,4,4,0,0,,0,0,0,0
Pierson Prioleau,BUF,,,,,1,0.0,4,2,2,0,,0,0,0,0
Pat Williams,BUF,,,,,0,0.0,3,2,1,0,,0,0,0,0
Lawyer Milloy,BUF,,,,,0,0.0,2,2,0,0,,0,0,0,0
Izell Reese,BUF,,,,,0,0.0,2,2,0,0,,0,0,0,0
Dominique Stevenson,BUF,,,,,0,0.0,2,2,0,0,,0,0,0,0
Coy Wire,BUF,,,,,0,0.0,2,2,0,1,,0,0,0,0
Sam Adams,BUF,,,,,0,0.0,1,1,0,0,,0,0,0,0
Phillip Crosby,BUF,,,,,0,0.0,1,1,0,0,,0,0,0,0
Chris Kelsay,BUF,,,,,0,0.0,1,0,1,0,,0,0,0,0
Terrence McGee,BUF,,,,,0,0.0,1,1,0,0,,0,0,0,0
Ryan Neufeld,BUF,,,,,0,0.0,1,1,0,0,,0,0,0,0
DaShon Polk,BUF,,,,,0,0.0,1,1,0,0,,0,0,0,0
Josh Stamer,BUF,,,,,1,0.0,1,1,0,0,,0,0,0,0
Kevin Thomas,BUF,,,,,0,0.0,1,1,0,0,,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Rashean Mathis,JAX,0,0,0,0,0,0.0,6,5,1,0,,0,0,0,0
Mike Peterson,JAX,,,,,0,0.0,8,6,2,2,,0,0,0,0
Fernando Bryant,JAX,,,,,1,0.0,6,5,1,0,,0,0,0,0
Donovin Darius,JAX,,,,,0,0.0,6,3,3,1,,0,0,0,0
Danny Clark,JAX,,,,,0,0.0,5,4,1,3,,0,0,0,0
Akin Ayodele,JAX,,,,,0,0.0,3,2,1,0,,0,0,0,0
Jason Craft,JAX,,,,,0,0.0,3,3,0,1,,0,0,0,0
John Henderson,JAX,,,,,0,0.0,3,3,0,1,,0,0,0,0
Marlon McCree,JAX,,,,,0,0.0,3,2,1,1,,0,0,0,0
Keith Mitchell,JAX,,,,,0,0.0,3,1,2,0,,0,0,0,0
Hugh Douglas,JAX,,,,,0,0.0,2,2,0,0,,0,0,0,0
Brad Franklin,JAX,,,,,0,0.0,2,2,0,0,,0,0,0,0
Paul Spicer,JAX,,,,,0,0.0,2,2,0,0,,0,0,0,0
Tony Brackens,JAX,,,,,0,0.0,1,1,0,0,,0,0,0,0
Anthony Mitchell,JAX,,,,,0,0.0,1,1,0,0,,0,0,0,0
T.J. Slaughter,JAX,,,,,0,0.0,1,1,0,0,,0,0,0,0
Kiwaukee Thomas,JAX,,,,,0,0.0,1,1,0,0,,0,0,0,0
Eric Westmoreland,JAX,,,,,0,0.0,1,1,0,0,,0,0,0,0
Rob Meier,JAX,,,,,1,0.0,0,0,0,0,,0,0,0,0
