Quarter,Time,Tm,Detail,DAL,NYG
1,7:21,Giants,Ralph Brown 29 yard interception return (Matt Bryant kick),0,7
,3:06,Cowboys,Quincy Carter 8 yard rush (Billy Cundiff kick),7,7
2,14:12,Cowboys,Billy Cundiff 37 yard field goal,10,7
,7:41,Cowboys,Billy Cundiff 49 yard field goal,13,7
,3:05,Cowboys,Alshermond Singleton 41 yard interception return (Billy Cundiff kick),20,7
3,11:00,Cowboys,Billy Cundiff 42 yard field goal,23,7
,8:11,Giants,Ike Hilliard 5 yard pass from Kerry Collins (Matt Bryant kick),23,14
,4:53,Cowboys,Billy Cundiff 21 yard field goal,26,14
4,12:43,Cowboys,Billy Cundiff 36 yard field goal,29,14
,9:54,Giants,Jeremy Shockey 1 yard pass from Kerry Collins (Matt Bryant kick),29,21
,6:20,Giants,Amani Toomer 20 yard pass from Kerry Collins (Tiki Barber run),29,29
,0:11,Giants,Matt Bryant 30 yard field goal,29,32
,0:00,Cowboys,Billy Cundiff 52 yard field goal,32,32
OT,5:56,Cowboys,Billy Cundiff 25 yard field goal,35,32
