Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jake Plummer,DEN,23,30,181,1,2,2,5,34,74.4,3,18,0,10,0,0,0,0,0,1,1
Clinton Portis,DEN,0,0,0,0,0,,,0,,17,68,0,11,4,1,10,0,10,1,0
Quentin Griffin,DEN,0,0,0,0,0,,,0,,6,60,0,19,2,2,18,0,11,0,
Rod Smith,DEN,0,0,0,0,0,,,0,,0,0,0,0,7,5,66,1,34,0,
Shannon Sharpe,DEN,0,0,0,0,0,,,0,,0,0,0,0,5,5,31,0,9,0,
Reuben Droughns,DEN,0,0,0,0,0,,,0,,0,0,0,0,5,5,19,0,10,0,
Charlie Adams,DEN,0,0,0,0,0,,,0,,0,0,0,0,2,2,18,0,14,0,
Dwayne Carswell,DEN,0,0,0,0,0,,,0,,0,0,0,0,2,2,12,0,7,0,
Ashley Lelie,DEN,0,0,0,0,0,,,0,,0,0,0,0,3,1,7,0,7,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Peyton Manning,IND,22,26,377,5,0,0,0,87,158.3,1,0,0,0,0,0,0,0,0,1,0
Brock Huard,IND,4,5,17,0,0,0,0,16,80.8,0,0,0,0,0,0,0,0,0,0,
Edgerrin James,IND,0,0,0,0,0,,,0,,17,78,0,11,5,5,37,0,13,1,1
Dominic Rhodes,IND,0,0,0,0,0,,,0,,4,8,0,4,1,0,0,0,0,0,
Brandon Stokley,IND,0,0,0,0,0,,,0,,0,0,0,0,5,4,144,2,87,0,
Marvin Harrison,IND,0,0,0,0,0,,,0,,0,0,0,0,9,7,133,2,46,0,0
Reggie Wayne,IND,0,0,0,0,0,,,0,,0,0,0,0,5,5,43,1,16,0,
Marcus Pollard,IND,0,0,0,0,0,,,0,,0,0,0,0,2,1,25,0,25,1,0
Joe Davenport,IND,0,0,0,0,0,,,0,,0,0,0,0,1,1,11,0,11,0,
Troy Walters,IND,0,0,0,0,0,,,0,,0,0,0,0,3,3,1,0,3,0,
Ricky Williams,IND,0,0,0,0,0,,,0,,1,-1,0,-1,0,0,0,0,0,0,
