#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:49,WAS 31,3,1:20,69,Touchdown
2,1,9:11,WAS 28,9,4:52,40,Missed FG
3,1,4:09,TAM 34,10,4:37,32,Field Goal
4,2,12:57,WAS 36,4,1:35,14,Punt
5,2,9:59,WAS 37,3,1:03,4,Punt
6,2,5:47,WAS 10,6,3:55,27,Punt
7,2,0:24,WAS 11,1,0:24,0,End of Half
8,3,15:00,WAS 28,3,1:39,7,Punt
9,3,8:08,WAS 20,3,1:17,2,Punt
10,3,5:28,WAS 11,2,0:44,-2,Fumble
11,3,4:44,WAS 8,3,1:40,2,Punt
12,3,0:39,WAS 16,4,2:00,20,Punt
13,4,11:49,TAM 39,6,2:54,27,Field Goal
14,4,5:03,WAS 33,10,4:47,51,Field Goal
