#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:35,CIN 7,1,0:08,7,Touchdown
2,1,12:58,CLE 30,3,1:43,-1,Punt
3,1,10:07,CLE 30,8,4:53,65,Field Goal
4,1,3:16,CIN 28,7,3:20,16,Field Goal
5,2,11:41,CLE 15,3,1:54,1,Punt
6,2,6:19,CLE 25,3,2:08,-3,Punt
7,2,1:17,CLE 25,3,0:58,21,Interception
8,2,0:02,,0,0:02,0,End of Half
9,3,15:00,CLE 36,3,1:26,64,Touchdown
10,3,12:05,CLE 47,7,3:30,53,Touchdown
11,3,4:34,CLE 31,2,0:55,69,Touchdown
12,4,14:15,CLE 20,6,3:24,80,Touchdown
13,4,10:29,CIN 1,1,0:07,1,Touchdown
14,4,6:29,CLE 36,3,1:48,-4,Punt
15,4,2:37,CLE 17,4,0:54,14,Interception
16,4,1:43,CLE 15,7,1:31,43,Downs
