Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Sammy Knight,MIA,1,0,0,0,1,0.0,8,5,3,0,,0,0,0,0
Jay Williams,MIA,1,0,0,0,2,0.0,5,5,0,0,,0,0,0,0
Sammy Morris,MIA,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,1
Travis Minor,MIA,0,0,0,0,0,0.0,0,0,0,0,,1,0,0,0
Derrick Pope,MIA,,,,,0,0.0,13,8,5,0,,0,0,0,1
Morlon Greenwood,MIA,,,,,0,0.0,12,7,5,1,,0,0,0,0
Jason Taylor,MIA,,,,,2,0.0,6,2,4,0,,0,0,0,0
Eddie Moore,MIA,,,,,0,0.0,5,4,1,0,,1,0,0,0
Bryan Robinson,MIA,,,,,0,0.0,5,2,3,0,,0,0,0,0
Jeff Zgonina,MIA,,,,,0,0.0,5,2,3,0,,0,0,0,0
Brendon Ayanbadejo,MIA,,,,,0,0.0,3,2,1,0,,0,0,0,0
Arturo Freeman,MIA,,,,,0,0.0,3,3,0,0,,0,0,0,0
Sam Madison,MIA,,,,,1,0.0,3,2,1,0,,0,0,0,0
Patrick Surtain,MIA,,,,,1,0.0,3,2,1,0,,0,0,0,0
Ed Perry,MIA,,,,,0,0.0,2,1,1,0,,0,0,0,0
Mario Monds,MIA,,,,,0,0.0,1,0,1,0,,0,0,0,0
Will Poole,MIA,,,,,0,0.0,1,1,0,0,,0,0,0,0
Damion McIntosh,MIA,,,,,0,0.0,0,0,0,0,,1,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Al Wilson,DEN,1,10,0,10,1,0.0,5,3,2,1,,0,0,0,0
Kenoy Kennedy,DEN,0,0,0,0,2,1.0,9,6,3,2,,0,0,0,0
John Lynch,DEN,0,0,0,0,1,1.0,5,5,0,1,,0,0,0,0
Marco Coleman,DEN,0,0,0,0,0,1.0,1,1,0,0,,0,0,0,1
Ellis Johnson,DEN,0,0,0,0,0,1.0,1,1,0,1,,0,0,0,0
Kyle Johnson,DEN,0,0,0,0,0,0.0,2,1,1,0,,0,0,0,0
D.J. Williams,DEN,,,,,0,0.0,10,6,4,1,,0,0,0,0
Kelly Herndon,DEN,,,,,2,0.0,4,3,1,0,,0,0,0,0
Champ Bailey,DEN,,,,,2,0.0,3,3,0,0,,0,0,0,0
Willie Middlebrooks,DEN,,,,,0,0.0,3,2,1,0,,0,0,0,0
Anton Palepoi,DEN,,,,,0,0.0,3,3,0,1,,0,0,0,0
Roc Alexander,DEN,,,,,0,0.0,2,0,2,0,,0,0,0,0
Patrick Chukwurah,DEN,,,,,0,0.0,2,2,0,0,,0,0,0,0
Mario Fatafehi,DEN,,,,,1,0.0,2,2,0,0,,0,0,0,0
Charlie Adams,DEN,,,,,0,0.0,1,1,0,0,,0,0,0,0
Nick Ferguson,DEN,,,,,0,0.0,1,0,1,0,,0,0,0,0
Reggie Hayward,DEN,,,,,0,0.0,1,0,1,0,,0,0,0,0
Monsanto Pope,DEN,,,,,0,0.0,1,0,1,0,,0,0,0,0
Cecil Sapp,DEN,,,,,0,0.0,1,0,1,0,,0,0,0,0
Donnie Spragan,DEN,,,,,0,0.0,1,1,0,0,,0,0,0,0
Dwayne Carswell,DEN,,,,,,0.0,,,,,,1,0,0,
