#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,CHI 28,13,6:55,52,Fumble
2,1,3:46,CHI 33,3,2:22,7,Punt
3,2,14:46,CHI 48,5,2:00,17,Interception
4,2,10:50,HOU 42,7,3:46,21,Missed FG
5,2,3:18,CHI 20,4,1:30,15,Punt
6,2,0:27,HOU 46,1,0:18,0,Interception
7,3,11:29,CHI 16,3,1:34,1,Punt
8,3,7:54,CHI 20,3,1:37,9,Punt
9,3,5:15,HOU 48,3,0:28,0,Punt
10,3,4:06,CHI 49,3,1:33,1,Punt
11,3,0:35,HOU 33,4,1:26,8,Field Goal
12,4,11:37,CHI 35,4,1:36,-2,Punt
13,4,4:23,CHI 36,5,1:46,24,Fumble
14,4,2:37,CHI 38,7,1:35,48,Downs
