Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Donnie Edwards,SDG,1,0,0,0,1,0.0,7,6,1,0,,0,0,0,0
Shaun Phillips,SDG,0,0,0,0,0,1.0,3,3,0,1,,0,0,0,0
Drayton Florence,SDG,0,0,0,0,1,0.0,3,2,1,1,,0,0,0,0
Randall Godfrey,SDG,,,,,0,0.0,8,7,1,1,,0,0,0,0
Terrence Kiel,SDG,,,,,0,0.0,6,4,2,0,,0,0,0,0
Steve Foley,SDG,,,,,1,0.0,5,5,0,1,,0,0,0,0
Quentin Jammer,SDG,,,,,1,0.0,4,4,0,0,,0,0,0,0
Jerry Wilson,SDG,,,,,0,0.0,4,2,2,0,,0,0,0,0
Robb Butler,SDG,,,,,0,0.0,3,1,2,0,,0,0,0,0
Jacques Cesaire,SDG,,,,,1,0.0,3,2,1,0,,0,0,0,0
Jamal Williams,SDG,,,,,0,0.0,3,2,1,0,,0,0,0,0
Jason Fisk,SDG,,,,,0,0.0,2,1,1,0,,0,0,0,0
Clinton Hart,SDG,,,,,0,0.0,2,2,0,0,,0,0,0,0
Igor Olshansky,SDG,,,,,0,0.0,2,0,2,0,,0,0,0,0
Stephen Cooper,SDG,,,,,0,0.0,1,0,1,0,,0,0,0,0
Adrian Dingle,SDG,,,,,0,0.0,1,1,0,1,,0,0,0,0
Hanik Milligan,SDG,,,,,0,0.0,1,0,1,0,,0,0,0,0
Justin Peelle,SDG,,,,,0,0.0,1,1,0,0,,0,0,0,0
Jerrell Pippens,SDG,,,,,0,0.0,1,1,0,0,,0,0,0,0
DeQuincy Scott,SDG,,,,,0,0.0,1,1,0,1,,0,0,0,0
Michael Turner,SDG,,,,,0,0.0,1,1,0,0,,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Ebenezer Ekuban,CLE,0,0,0,0,0,1.0,2,1,1,1,,0,0,0,0
Alvin McKinley,CLE,,,,,0,0.0,9,5,4,0,,0,0,0,0
Barry Gardner,CLE,,,,,0,0.0,7,5,2,0,,0,0,0,0
Warrick Holdman,CLE,,,,,0,0.0,7,5,2,0,,0,0,0,0
Earl Little,CLE,,,,,0,0.0,7,4,3,0,,0,0,0,0
Michael Myers,CLE,,,,,0,0.0,7,5,2,2,,0,0,0,0
Anthony Henry,CLE,,,,,0,0.0,5,5,0,1,,0,0,0,0
Robert Griffith,CLE,,,,,0,0.0,4,4,0,0,,0,0,0,0
Lewis Sanders,CLE,,,,,0,0.0,4,2,2,0,,0,0,0,0
Chaun Thompson,CLE,,,,,0,0.0,4,3,1,0,,0,0,0,0
Amon Gordon,CLE,,,,,0,0.0,3,2,1,0,,0,0,0,0
Kenard Lang,CLE,,,,,0,0.0,3,2,1,1,,0,0,0,0
Kevin Bentley,CLE,,,,,0,0.0,2,2,0,0,,0,0,0,0
Nick Eason,CLE,,,,,0,0.0,2,1,1,0,,0,0,0,0
Tyrone Rogers,CLE,,,,,0,0.0,2,2,0,0,,0,0,0,0
Gerard Warren,CLE,,,,,0,0.0,1,1,0,0,,0,0,0,0
Dyshod Carter,CLE,,,,,0,0.0,0,0,0,0,,1,0,0,0
