Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Lawrence Tynes kicks off 60 yards, returned by Robb Butler for 24 yards (tackle by Benny Sapp)",0.000,1.200
1,14:53,1,10,SDG 34,0,0,Doug Flutie pass complete to Justin Peelle for 13 yards (tackle by Dexter McCleon),1.200,2.060
1,14:27,1,10,SDG 47,0,0,Bobby Shaw right end for 1 yard (tackle by Kawika Mitchell),2.060,1.650
1,14:07,2,9,SDG 48,0,0,Michael Turner right tackle for 30 yards (tackle by Greg Wesley),1.650,4.110
1,13:33,1,10,KAN 22,0,0,Doug Flutie pass incomplete intended for Malcom Floyd,4.110,3.560
1,13:28,2,10,KAN 22,0,0,Doug Flutie pass complete to Andrew Pinnock for 14 yards (tackle by Greg Wesley),3.560,5.370
1,12:40,1,8,KAN 8,0,0,"Penalty on Kassim Osgood: False Start, 5 yards (no play)",5.370,4.530
1,12:13,1,13,KAN 13,0,0,Doug Flutie pass incomplete intended for Malcom Floyd,4.530,3.720
1,12:09,2,13,KAN 13,0,0,Doug Flutie pass complete to Andrew Pinnock for 4 yards (tackle by Greg Wesley),3.720,3.360
1,11:25,3,9,KAN 9,0,0,Doug Flutie sacked by Eric Hicks for -7 yards,3.360,2.380
1,11:00,4,16,KAN 16,0,3,Nate Kaeding 34 yard field goal good,2.380,3.000
1,,,,SDG 30,0,3,"Nate Kaeding kicks off 55 yards, returned by Dante Hall for 8 yards (tackle by Kassim Osgood). Penalty on Rich Scanlon: Illegal Block Above the Waist, 10 yards",0.000,-0.320
1,10:52,1,10,KAN 13,0,3,Larry Johnson left tackle for 3 yards (tackle by Jason Fisk and Stephen Cooper),-0.320,-0.440
1,10:19,2,7,KAN 16,0,3,Larry Johnson up the middle for 4 yards (tackle by Donnie Edwards and Steve Foley),-0.440,-0.590
1,9:41,3,3,KAN 20,0,3,Trent Green pass complete to Tony Gonzalez for 23 yards (tackle by Terrence Kiel),-0.590,1.800
1,9:12,1,10,KAN 43,0,3,Trent Green pass incomplete intended for Larry Johnson,1.800,1.250
1,9:07,2,10,KAN 43,0,3,Chris Horn left end for 12 yards (tackle by Igor Olshansky and Jerry Wilson),1.250,2.590
1,8:24,1,10,SDG 45,0,3,Trent Green pass complete to Eddie Kennison for 7 yards (tackle by Quentin Jammer),2.590,2.990
1,7:49,2,3,SDG 38,0,3,Larry Johnson up the middle for 1 yard (tackle by Stephen Cooper and Donnie Edwards),2.990,2.410
1,7:14,,,,0,3,Timeout #1 by Kansas City Chiefs,0.000,2.410
1,7:14,3,2,SDG 37,0,3,Larry Johnson left tackle for 2 yards (tackle by Stephen Cooper and Jason Fisk),2.410,3.250
1,6:32,1,10,SDG 35,0,3,Tony Gonzalez right end for 5 yards (tackle by Donnie Edwards and Quentin Jammer),3.250,3.380
1,6:04,2,5,SDG 30,0,3,Trent Green pass complete to Tony Gonzalez for 4 yards (tackle by Quentin Jammer),3.380,3.200
1,5:30,3,1,SDG 26,0,3,Larry Johnson up the middle for 6 yards (tackle by Matt Wilhelm),3.200,4.240
1,4:56,1,10,SDG 20,0,3,Trent Green pass incomplete intended for Tony Gonzalez is intercepted by Matt Wilhelm at SDG-11,4.240,0.370
1,4:48,1,10,SDG 11,0,3,Doug Flutie pass complete to Michael Turner for 5 yards (tackle by Shaunard Harts),-0.370,-0.300
1,4:08,2,5,SDG 16,0,3,Michael Turner up the middle for 8 yards (tackle by Shaunard Harts),-0.300,0.540
1,3:34,1,10,SDG 24,0,3,Michael Turner left end for 1 yard (tackle by Greg Wesley),0.540,0.130
1,2:51,2,9,SDG 25,0,3,Andrew Pinnock up the middle for 11 yards (tackle by Greg Wesley and Kawika Mitchell),0.130,1.330
1,2:14,1,10,SDG 36,0,3,Doug Flutie pass incomplete intended for Kassim Osgood,1.330,0.790
1,2:08,2,10,SDG 36,0,3,Doug Flutie pass incomplete intended for Justin Peelle,0.790,0.100
1,2:02,3,10,SDG 36,0,3,Doug Flutie pass complete to Ryan Krause for 15 yards (tackle by Shaunard Harts),0.100,2.320
1,1:23,1,10,KAN 49,0,3,Michael Turner left tackle for 5 yards (tackle by Greg Wesley and Eric Hicks),2.320,2.460
1,0:41,2,5,KAN 44,0,3,Andrew Pinnock up the middle for 2 yards (tackle by Gary Stills),2.460,2.020
Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,KAN 42,0,3,Doug Flutie up the middle for 4 yards (tackle by Eric Hicks),2.020,3.050
2,14:19,1,10,KAN 38,0,3,Doug Flutie pass complete to Ryan Krause for 29 yards (tackle by Scott Fujita),3.050,5.140
2,13:36,1,9,KAN 9,0,3,Michael Turner right tackle for 2 yards (tackle by Eric Hicks and Kawika Mitchell),5.140,4.760
2,12:56,2,7,KAN 7,0,3,Doug Flutie pass incomplete intended for Ryan Krause,4.760,3.810
2,12:51,3,7,KAN 7,0,3,Doug Flutie pass incomplete,3.810,2.970
2,12:46,4,7,KAN 7,0,3,"Mike Scifres pass incomplete is intercepted by Greg Wesley at KAN-16 and returned for 25 yards (tackle by Mike Goff). Mike Scifres fumbles, recovered by Mike Scifres at KAN-16",2.970,-0.870
,,,,,,,"SDG challenged the ruling, and the play was upheld.",,
2,12:34,1,10,KAN 29,0,3,Larry Johnson up the middle for 4 yards (tackle by Stephen Cooper and Donnie Edwards),0.870,0.870
2,12:01,2,6,KAN 33,0,3,"Trent Green pass complete to Tony Gonzalez for 17 yards (tackle by Jerry Wilson). Penalty on Jason Dunn: Offensive Holding, 10 yards (no play)",0.870,-0.480
2,11:33,2,16,KAN 23,0,3,Trent Green pass complete to Larry Johnson for 30 yards (tackle by Donnie Edwards),-0.480,2.460
2,10:49,1,10,SDG 47,0,3,Trent Green pass complete to Tony Gonzalez for 6 yards (tackle by Ben Leber),2.460,2.720
2,10:26,2,4,SDG 41,0,3,Larry Johnson up the middle for 1 yard (tackle by Ben Leber),2.720,2.150
2,9:47,3,3,SDG 40,0,3,"Trent Green pass incomplete intended for Tony Gonzalez. Penalty on Jacques Cesaire: Defensive Offside, 5 yards (no play)",2.150,3.250
2,9:42,1,10,SDG 35,0,3,Trent Green pass complete to Larry Johnson for 8 yards (tackle by Quentin Jammer),3.250,3.780
2,9:04,2,2,SDG 27,0,3,Larry Johnson up the middle for 5 yards (tackle by Ben Leber),3.780,4.110
2,8:30,1,10,SDG 22,0,3,Larry Johnson left tackle for no gain (tackle by Jason Fisk and Ben Leber),4.110,3.560
2,7:49,2,10,SDG 22,0,3,Trent Green pass incomplete intended for Eddie Kennison,3.560,2.870
2,7:43,3,10,SDG 22,0,3,"Trent Green pass complete to Samie Parker for 13 yards (tackle by Jerry Wilson). Penalty on Samie Parker: Offensive Pass Interference, 10 yards (no play)",2.870,1.550
2,7:19,3,20,SDG 32,0,3,Trent Green pass incomplete intended for Tony Richardson,1.550,1.240
2,7:13,4,20,SDG 32,3,3,Lawrence Tynes 50 yard field goal good,1.240,3.000
2,,,,KAN 30,3,3,"Lawrence Tynes kicks off 58 yards, returned by Robb Butler for 11 yards (tackle by Gary Stills). Penalty on Andrew Pinnock: Offensive Holding, 10 yards",0.000,-0.320
2,7:01,1,10,SDG 13,3,3,Doug Flutie right end for 20 yards (tackle by Scott Fujita),-0.320,1.140
2,6:16,1,10,SDG 33,3,3,Doug Flutie pass incomplete intended for Malcom Floyd,1.140,0.590
2,6:08,2,10,SDG 33,3,3,Doug Flutie pass complete to Malcom Floyd for 9 yards (tackle by Dexter McCleon),0.590,1.090
2,5:25,3,1,SDG 42,3,3,"Doug Flutie for no gain (tackle by Monty Beisel). Penalty on KAN: Defensive 12 On-field, 5 yards (no play)",1.090,2.060
2,5:05,1,10,SDG 47,3,3,Doug Flutie pass complete to Ryan Krause for 17 yards (tackle by Benny Sapp),2.060,3.180
2,4:17,1,10,KAN 36,3,3,Andrew Pinnock up the middle for 3 yards (tackle by Jimmy Wilkerson),3.180,3.040
2,3:32,2,7,KAN 33,3,3,Doug Flutie pass complete to Kassim Osgood for 28 yards (tackle by Shaunard Harts),3.040,6.060
