Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jeff Garcia,CLE,21,31,180,1,1,4,19,29,80.0,3,9,0,9,0,0,0,0,,1,1
William Green,CLE,0,0,0,0,0,,,,,15,91,0,21,1,0,0,0,,0,
James Jackson,CLE,0,0,0,0,0,,,,,5,24,0,14,3,3,16,0,13,0,
Dennis Northcutt,CLE,0,0,0,0,0,,,,,0,0,0,,12,9,50,0,11,0,
Quincy Morgan,CLE,0,0,0,0,0,,,,,0,0,0,,5,3,44,1,29,0,
Andre' Davis,CLE,0,0,0,0,0,,,,,0,0,0,,5,3,33,0,14,0,
Andre King,CLE,0,0,0,0,0,,,,,0,0,0,,2,2,28,0,16,0,
Chad Mustard,CLE,0,0,0,0,0,,,,,0,0,0,,1,1,9,0,9,0,
Aaron Shea,CLE,,,,,,,,,,,,,,2,0,0,0,,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kurt Warner,NYG,19,27,286,0,0,2,12,47,104.9,3,-2,1,1,0,0,0,0,,0,
Tiki Barber,NYG,0,0,0,0,0,,,,,23,106,1,11,4,3,48,0,41,0,
Mike Cloud,NYG,0,0,0,0,0,,,,,6,12,1,5,0,0,0,0,,0,
Amani Toomer,NYG,0,0,0,0,0,,,,,0,0,0,,6,5,126,0,47,0,
Tim Carter,NYG,0,0,0,0,0,,,,,0,0,0,,5,3,45,0,20,0,
Jeremy Shockey,NYG,0,0,0,0,0,,,,,0,0,0,,7,5,41,0,14,0,
Ike Hilliard,NYG,0,0,0,0,0,,,,,0,0,0,,4,3,26,0,9,0,
