Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Carson Palmer,CIN,20,37,164,1,2,1,8,24,52.1,1,1,0,1,0,0,0,0,,0,
Rudi Johnson,CIN,0,0,0,0,0,,,,,24,123,1,15,2,0,0,0,,0,
Cliff Russell,CIN,0,0,0,0,0,,,,,1,13,0,13,1,0,0,0,,0,
Chad Johnson,CIN,0,0,0,0,0,,,,,0,0,0,,6,4,54,0,24,0,
T.J. Houshmandzadeh,CIN,0,0,0,0,0,,,,,0,0,0,,12,6,53,0,13,0,
Chris Perry,CIN,0,0,0,0,0,,,,,0,0,0,,2,2,24,0,13,0,
Kenny Watson,CIN,0,0,0,0,0,,,,,1,0,0,0,4,2,17,0,11,1,1
Jeremi Johnson,CIN,0,0,0,0,0,,,,,0,0,0,,4,3,6,1,3,0,
Kelley Washington,CIN,0,0,0,0,0,,,,,0,0,0,,2,1,6,0,6,0,
Reggie Kelly,CIN,0,0,0,0,0,,,,,0,0,0,,1,1,4,0,4,0,
Tony Stewart,CIN,0,0,0,0,0,,,,,0,0,0,,2,1,0,0,0,0,
Matt Schobel,CIN,,,,,,,,,,,,,,1,0,0,0,,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ben Roethlisberger,PIT,17,25,174,1,0,1,6,30,101.1,4,2,0,3,0,0,0,0,,0,
Jerome Bettis,PIT,0,0,0,0,0,0,,,,6,9,2,7,0,0,0,0,,1,0
Antwaan Randle El,PIT,0,0,0,0,0,0,,,,2,6,0,7,3,2,24,0,20,0,
Duce Staley,PIT,0,0,0,0,0,,,,,25,123,0,16,0,0,0,0,,2,2
Verron Haynes,PIT,0,0,0,0,0,,,,,2,15,0,14,4,4,25,1,11,0,
Hines Ward,PIT,0,0,0,0,0,,,,,1,10,0,10,7,6,48,0,10,0,
Plaxico Burress,PIT,0,0,0,0,0,,,,,0,0,0,,9,4,69,0,30,0,
Jay Riemersma,PIT,0,0,0,0,0,,,,,0,0,0,,1,1,8,0,8,0,
Dan Kreider,PIT,,,,,,,,,,,,,,1,0,0,0,,0,
