Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Josh McCown,ARI,19,34,231,3,1,2,14,35,94.1,3,11,0,8,0,0,0,0,,0,
Emmitt Smith,ARI,0,0,0,0,0,0,0,,,16,63,1,16,1,0,0,0,,0,
Troy Hambrick,ARI,0,0,0,0,0,0,0,,,10,29,0,11,2,2,11,1,9,0,
Larry Fitzgerald,ARI,0,0,0,0,0,0,0,,,0,0,0,,6,5,94,1,35,0,
Bryant Johnson,ARI,0,0,0,0,0,0,0,,,0,0,0,,8,3,45,0,24,0,
Karl Williams,ARI,0,0,0,0,0,0,0,,,0,0,0,,6,4,38,0,20,1,0
Freddie Jones,ARI,0,0,0,0,0,0,0,,,0,0,0,,5,2,20,1,16,0,
Larry Croom,ARI,0,0,0,0,0,0,0,,,0,0,0,,2,1,8,0,8,0,
Lorenzo Diamond,ARI,0,0,0,0,0,0,0,,,0,0,0,,2,1,8,0,8,0,
Obafemi Ayanbadejo,ARI,0,0,0,0,0,0,0,,,0,0,0,,1,1,7,0,7,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tim Rattay,SFO,38,57,417,2,0,5,26,23,99.8,3,14,0,15,0,0,0,0,,2,1
Kevan Barlow,SFO,0,0,0,0,0,,,,,14,34,0,7,7,3,23,0,9,0,
Jamal Robertson,SFO,0,0,0,0,0,,,,,2,9,0,8,4,3,24,0,14,1,1
Eric Johnson,SFO,0,0,0,0,0,,,,,0,0,0,,16,13,162,1,23,0,
Brandon Lloyd,SFO,0,0,0,0,0,,,,,0,0,0,,11,5,56,1,23,0,
Curtis Conway,SFO,0,0,0,0,0,,,,,0,0,0,,6,5,56,0,18,0,
Cedrick Wilson,SFO,0,0,0,0,0,,,,,0,0,0,,8,4,45,0,17,0,
Aaron Walker,SFO,0,0,0,0,0,,,,,0,0,0,,3,3,41,0,18,0,
Terry Jackson,SFO,0,0,0,0,0,,,,,0,0,0,,1,1,8,0,8,0,
Arnaz Battle,SFO,0,0,0,0,0,,,,,0,0,0,,1,1,2,0,2,0,
