Quarter,Time,Down,ToGo,Location,SEA,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss, Seahawks to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 67 yards, returned by Josh Scobey for 15 yards (tackle by Clint Kriewaldt)",0.000,0.040
1,14:55,1,10,SEA 18,0,0,Matt Hasselbeck pass complete to Darrell Jackson for 7 yards (tackle by Ike Taylor),0.040,0.550
1,14:29,2,3,SEA 25,0,0,Matt Hasselbeck pass complete to Darrell Jackson for 5 yards,0.550,0.940
1,14:17,1,10,SEA 30,0,0,Shaun Alexander right end for 8 yards (tackle by Troy Polamalu),0.940,1.470
1,13:47,2,2,SEA 38,0,0,Matt Hasselbeck pass complete to Darrell Jackson for 8 yards,1.470,1.990
1,13:28,1,10,SEA 46,0,0,Shaun Alexander left end for 1 yard (tackle by Kimo von Oelhoffen),1.990,1.590
1,12:44,2,9,SEA 47,0,0,Matt Hasselbeck pass incomplete intended for Darrell Jackson,1.590,0.890
1,12:40,3,9,SEA 47,0,0,Matt Hasselbeck sacked by Clark Haggans for -4 yards. Penalty on Sean Locklear: Offensive Holding (Declined),0.890,-0.520
1,12:19,4,13,SEA 43,0,0,"Tom Rouen punts 57 yards, touchback",-0.520,-0.280
1,12:09,1,10,PIT 20,0,0,"Penalty on Heath Miller: False Start, 5 yards (no play)",0.280,-0.310
1,12:09,1,15,PIT 15,0,0,Willie Parker up the middle for no gain (tackle by LeRoy Hill),-0.310,-1.070
1,11:35,2,15,PIT 15,0,0,Ben Roethlisberger pass complete to Willie Parker for 1 yard (tackle by Rocky Bernard),-1.070,-1.690
1,10:47,3,14,PIT 16,0,0,"Penalty on Max Starks: False Start, 5 yards (no play)",-1.690,-2.470
1,10:32,3,19,PIT 11,0,0,Ben Roethlisberger left tackle for 10 yards (tackle by Lofa Tatupu),-2.470,-1.960
1,9:49,4,9,PIT 21,0,0,"Chris Gardocki punts 41 yards, returned by Peter Warrick for -2 yards (tackle by James Harrison)",-1.960,-1.330
1,9:39,1,10,SEA 36,0,0,Mack Strong left end for no gain (tackle by Kimo von Oelhoffen),1.330,0.790
1,9:04,2,10,SEA 36,0,0,Matt Hasselbeck left end for 9 yards (tackle by James Farrior),0.790,1.290
1,8:28,3,1,SEA 45,0,0,Matt Hasselbeck pass complete to Darrell Jackson for 10 yards (tackle by Ike Taylor),1.290,2.590
1,7:46,1,10,PIT 45,0,0,Matt Hasselbeck pass complete to Shaun Alexander for -2 yards (tackle by Brett Keisel),2.590,1.770
1,7:08,2,12,PIT 47,0,0,Matt Hasselbeck pass complete to Bobby Engram for 6 yards (tackle by Ike Taylor),1.770,1.880
1,6:24,3,6,PIT 41,0,0,"Matt Hasselbeck pass complete to Darrell Jackson for 18 yards (tackle by Tyrone Carter). Penalty on Chris Gray: Offensive Holding, 10 yards (no play)",1.880,0.560
1,5:53,3,16,SEA 49,0,0,Matt Hasselbeck pass incomplete intended for Darrell Jackson (defended by Ike Taylor),0.560,-0.130
1,5:48,4,16,SEA 49,0,0,"Tom Rouen punts 51 yards, touchback",-0.130,-0.280
1,5:39,1,10,PIT 20,0,0,Willie Parker left end for no gain (tackle by Marcus Trufant),0.280,-0.270
1,5:02,2,10,PIT 20,0,0,Willie Parker left end for 6 yards (tackle by LeRoy Hill),-0.270,-0.160
1,4:20,3,4,PIT 26,0,0,Ben Roethlisberger pass incomplete intended for Hines Ward,-0.160,-1.630
1,4:14,4,4,PIT 26,0,0,"Chris Gardocki punts 37 yards, returned by Peter Warrick for 12 yards (tackle by James Harrison)",-1.630,-2.190
1,4:01,1,10,SEA 49,0,0,Shaun Alexander right tackle for 4 yards (tackle by Larry Foote),2.190,2.190
1,3:22,2,6,PIT 47,0,0,Matt Hasselbeck pass complete to Darrell Jackson for 20 yards (tackle by Chris Hope),2.190,3.780
1,2:48,1,10,PIT 27,0,0,Matt Hasselbeck pass complete to Joe Jurevicius for 11 yards (tackle by Deshea Townsend),3.780,4.510
1,2:08,1,10,PIT 16,0,0,"Matt Hasselbeck pass complete to Darrell Jackson for 16 yards. Penalty on Darrell Jackson: Offensive Pass Interfere, 10 yards (no play)",4.510,3.840
1,2:00,1,20,PIT 26,0,0,Shaun Alexander right end for 1 yard (tackle by Clark Haggans),3.840,2.740
1,1:18,2,19,PIT 25,0,0,Shaun Alexander left end for -4 yards (tackle by Larry Foote),2.740,1.550
1,0:35,3,23,PIT 29,0,0,Matt Hasselbeck pass incomplete intended for D.J. Hackett (defended by Bryant McFadden),1.550,1.500
1,0:27,4,23,PIT 29,3,0,Josh Brown 47 yard field goal good,1.500,3.000
1,0:27,,,SEA 30,3,0,"Josh Brown kicks off 72 yards, returned by Ricardo Colclough for 22 yards (tackle by Niko Koutouvides)",0.000,0.280
1,0:17,1,10,PIT 20,3,0,Ben Roethlisberger pass incomplete intended for Cedrick Wilson,0.280,-0.270
1,0:09,2,10,PIT 20,3,0,Ben Roethlisberger pass incomplete intended for Hines Ward (defended by Jordan Babineaux),-0.270,-0.960
1,0:06,3,10,PIT 20,3,0,Ben Roethlisberger pass incomplete intended for Nate Washington,-0.960,-2.030
Quarter,Time,Down,ToGo,Location,SEA,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,10,PIT 20,3,0,"Chris Gardocki punts 60 yards, returned by Peter Warrick for 34 yards (tackle by Chidi Iwuoma). Penalty on Etric Pruitt: Offensive Holding, 10 yards",-2.030,-0.610
2,14:44,1,10,SEA 25,3,0,Shaun Alexander right tackle for 5 yards (tackle by Clark Haggans),0.610,0.740
2,14:15,2,5,SEA 30,3,0,Matt Hasselbeck pass incomplete intended for Bobby Engram,0.740,0.040
2,14:11,3,5,SEA 30,3,0,Matt Hasselbeck pass complete to Joe Jurevicius for 15 yards (tackle by Bryant McFadden),0.040,1.930
2,13:42,1,10,SEA 45,3,0,Shaun Alexander right tackle for 3 yards (tackle by Casey Hampton and Troy Polamalu),1.930,1.790
2,13:09,2,7,SEA 48,3,0,Shaun Alexander right end for 5 yards (tackle by James Farrior),1.790,1.750
2,12:29,3,2,PIT 47,3,0,Matt Hasselbeck pass incomplete intended for Jerramy Stevens (defended by Chris Hope),1.750,0.130
2,12:22,4,2,PIT 47,3,0,"Tom Rouen punts 47 yards, touchback",0.130,-0.280
2,12:13,1,10,PIT 20,3,0,Ben Roethlisberger pass incomplete intended for Hines Ward,0.280,-0.270
2,12:07,2,10,PIT 20,3,0,Jerome Bettis left end for 2 yards (tackle by Marcus Tubbs),-0.270,-0.690
2,11:25,3,8,PIT 22,3,0,Ben Roethlisberger pass complete to Antwaan Randle El for 8 yards (tackle by Lofa Tatupu),-0.690,0.940
