Quarter,Time,Down,ToGo,Location,SEA,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss, Seahawks to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 64 yards, returned by Josh Scobey for 31 yards (tackle by Alvin Pearman). Josh Scobey fumbles (forced by Alvin Pearman), recovered by Rashean Mathis at SEA-41 (tackle by John Howell)",0.000,-2.850
1,14:52,1,10,SEA 41,0,0,Byron Leftwich pass complete to Jimmy Smith for 11 yards (tackle by Ken Hamlin),2.850,3.580
1,14:15,1,10,SEA 30,0,0,Byron Leftwich pass complete to Jimmy Smith for 7 yards (tackle by Andre Dyson),3.580,3.980
1,13:39,2,3,SEA 23,0,0,Byron Leftwich pass complete to Reggie Williams for 9 yards (tackle by Marcus Trufant),3.980,4.650
1,13:08,1,10,SEA 14,0,0,Byron Leftwich pass complete to Jimmy Smith for 6 yards (tackle by Ken Hamlin),4.650,5.090
1,12:30,2,4,SEA 8,0,0,Matt Jones right end for 3 yards (tackle by Andre Dyson),5.090,4.960
1,11:49,,,,0,0,Timeout #1 by Jacksonville Jaguars,0.000,4.960
1,11:49,3,1,SEA 5,0,0,Fred Taylor right tackle for no gain (tackle by Grant Wistrom),4.960,3.030
1,11:07,4,1,SEA 5,0,3,Josh Scobee 23 yard field goal good,3.030,3.000
1,,,,JAX 30,0,3,"Josh Scobee kicks off 70 yards, touchback",0.000,0.280
1,11:03,1,10,SEA 20,0,3,Matt Hasselbeck pass complete to Darrell Jackson for 12 yards (tackle by Kenny Wright),0.280,1.070
1,10:31,1,10,SEA 32,0,3,Matt Hasselbeck pass complete to Darrell Jackson for 18 yards (tackle by Rashean Mathis),1.070,2.260
1,10:12,1,10,JAX 50,0,3,Shaun Alexander right tackle for -2 yards (tackle by Marcus Stroud),2.260,1.440
1,9:36,2,12,SEA 48,0,3,Matt Hasselbeck left end for 8 yards (tackle by Paul Spicer),1.440,1.820
1,9:07,3,4,JAX 44,0,3,Matt Hasselbeck pass incomplete intended for Joe Jurevicius,1.820,0.330
1,9:03,4,4,JAX 44,0,3,"Leo Araguz punts 44 yards, touchback",0.330,-0.280
1,8:54,1,10,JAX 20,0,3,Fred Taylor up the middle for 4 yards (tackle by Marcus Trufant),0.280,0.270
1,8:19,2,6,JAX 24,0,3,Fred Taylor up the middle for 4 yards (tackle by Jamie Sharper),0.270,0.100
1,8:19,3,2,JAX 28,0,3,"Penalty on Matt Jones: False Start, 5 yards (no play)",0.100,-0.560
1,7:14,3,7,JAX 23,0,3,Byron Leftwich pass complete to Matt Jones for 10 yards (tackle by Kelly Herndon),-0.560,1.140
1,6:35,1,10,JAX 33,0,3,Byron Leftwich pass incomplete intended for Reggie Williams,1.140,0.590
1,6:30,2,10,JAX 33,0,3,Fred Taylor up the middle for 8 yards (tackle by Michael Boulware),0.590,0.960
1,5:58,,,,0,3,Timeout #2 by Jacksonville Jaguars,0.000,0.960
1,5:58,3,2,JAX 41,0,3,Byron Leftwich pass complete to Reggie Williams for 6 yards (tackle by D.D. Lewis),0.960,2.060
1,5:16,1,10,JAX 47,0,3,Matt Jones left end for 25 yards (tackle by Michael Boulware),2.060,3.710
1,4:45,1,10,SEA 28,0,3,Byron Leftwich pass complete to Fred Taylor for 5 yards (tackle by D.D. Lewis),3.710,3.840
1,4:04,2,5,SEA 23,0,3,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by Grant Wistrom),3.840,3.140
1,4:00,3,5,SEA 23,0,3,Byron Leftwich pass incomplete intended for Kyle Brady,3.140,1.980
1,3:53,4,5,SEA 23,0,6,Josh Scobee 41 yard field goal good,1.980,3.000
1,,,,JAX 30,0,6,"Josh Scobee kicks off 74 yards, returned by Josh Scobey for 24 yards (tackle by Derrick Wimbush)",0.000,0.280
1,3:45,1,10,SEA 20,0,6,Matt Hasselbeck pass complete to Jerramy Stevens for 11 yards (tackle by Daryl Smith),0.280,1.000
1,3:16,1,10,SEA 31,0,6,Shaun Alexander right tackle for 2 yards (tackle by Daryl Smith),1.000,0.730
1,2:45,2,8,SEA 33,0,6,Matt Hasselbeck pass complete to Bobby Engram for 17 yards (tackle by Donovin Darius),0.730,2.260
1,2:07,1,10,JAX 50,0,6,Shaun Alexander left tackle for 2 yards (tackle by Mike Peterson),2.260,1.980
1,1:30,2,8,JAX 48,0,6,Matt Hasselbeck pass complete to Joe Jurevicius for 7 yards (tackle by Kenny Wright),1.980,2.210
1,0:57,3,1,JAX 41,0,6,"Shaun Alexander left tackle for 3 yards (tackle by John Henderson). Penalty on Reggie Hayward: Defensive Offside, 5 yards (no play)",2.210,3.180
1,0:39,1,10,JAX 36,0,6,Matt Hasselbeck pass incomplete intended for Jerramy Stevens,3.180,2.640
1,0:35,2,10,JAX 36,0,6,Shaun Alexander up the middle for 3 yards (tackle by Marcus Stroud),2.640,2.350
Quarter,Time,Down,ToGo,Location,SEA,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,JAX 33,6,6,"Matt Hasselbeck pass complete to Joe Jurevicius for 33 yards, touchdown",2.350,7.000
2,,,,JAX 2,7,6,Josh Brown kicks extra point good,0.000,0.000
2,,,,SEA 30,7,6,"Josh Brown kicks off 70 yards, returned by Derrick Wimbush for 26 yards (tackle by Isaiah Kacyvenski)",0.000,0.670
2,14:47,1,10,JAX 26,7,6,Byron Leftwich pass incomplete intended for Jimmy Smith,0.670,0.130
2,14:40,2,10,JAX 26,7,6,Byron Leftwich pass complete to Ernest Wilford for 14 yards (tackle by Ken Hamlin),0.130,1.600
2,14:00,1,10,JAX 40,7,6,LaBrandon Toefield left end for no gain (tackle by Lofa Tatupu),1.600,1.050
2,13:18,2,10,JAX 40,7,6,Byron Leftwich pass incomplete intended for LaBrandon Toefield (defended by Marcus Trufant),1.050,0.370
2,13:14,3,10,JAX 40,7,6,Byron Leftwich pass incomplete intended for Matt Jones,0.370,-0.720
2,13:09,4,10,JAX 40,7,6,Chris Hanson punts 49 yards,-0.720,0.370
2,12:58,1,10,SEA 11,7,6,Matt Hasselbeck pass complete to Bobby Engram for 8 yards (tackle by Kenny Wright),-0.370,0.170
2,12:27,2,2,SEA 19,7,6,Mack Strong left end for 2 yards (tackle by Akin Ayodele),0.170,0.340
2,11:39,1,10,SEA 21,7,6,"Penalty on Chris Gray: False Start, 5 yards (no play)",0.340,-0.220
2,11:23,1,15,SEA 16,7,6,Shaun Alexander up the middle for 10 yards (tackle by Terry Cousin),-0.220,0.480
2,10:52,2,5,SEA 26,7,6,Matt Hasselbeck pass complete to Bobby Engram for 11 yards (tackle by Daryl Smith),0.480,1.400
2,10:19,1,10,SEA 37,7,6,Matt Hasselbeck pass incomplete intended for Darrell Jackson,1.400,0.860
