Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Josh Cribbs,CLE,0,0,0,0,0,0.0,3,3,0,0,,0,0,0,0
Ben Taylor,CLE,,,,,0,0.0,12,5,7,0,,0,0,0,0
Chris Crocker,CLE,,,,,0,0.0,7,3,4,1,,0,0,0,0
Ray Mickens,CLE,,,,,0,0.0,7,4,3,1,,0,0,0,0
Orpheus Roye,CLE,,,,,0,0.0,7,4,3,0,,0,0,0,0
Leigh Bodden,CLE,,,,,0,0.0,6,5,1,0,,0,0,0,0
Matt Stewart,CLE,,,,,0,0.0,6,3,3,0,,0,0,0,0
Ethan Kelley,CLE,,,,,0,0.0,5,4,1,2,,0,0,0,0
Brian Russell,CLE,,,,,0,0.0,5,3,2,0,,0,0,0,0
Andra Davis,CLE,,,,,0,0.0,4,2,2,1,,0,0,0,0
Chaun Thompson,CLE,,,,,0,0.0,4,3,1,1,,0,0,0,0
Kenard Lang,CLE,,,,,0,0.0,3,1,2,0,,0,0,0,0
Alvin McKinley,CLE,,,,,0,0.0,3,2,1,0,,0,0,0,0
Jason Fisk,CLE,,,,,0,0.0,2,2,0,0,,0,0,0,0
Michael Lehan,CLE,,,,,0,0.0,2,2,0,0,,0,0,0,0
Daylon McCutcheon,CLE,,,,,1,0.0,2,2,0,0,,0,0,0,0
Brodney Pool,CLE,,,,,1,0.0,2,2,0,0,,0,0,0,0
Nick Eason,CLE,,,,,0,0.0,1,0,1,0,,0,0,0,0
Sean Jones,CLE,,,,,0,0.0,1,1,0,0,,0,0,0,0
Ryan Pontbriand,CLE,,,,,0,0.0,1,0,1,0,,0,0,0,0
Mason Unck,CLE,,,,,0,0.0,1,1,0,0,,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Joey Porter,PIT,1,9,0,9,1,1.0,2,2,0,1,,0,0,0,0
Clark Haggans,PIT,0,0,0,0,0,1.0,2,1,1,1,,0,0,0,0
Ricardo Colclough,PIT,0,0,0,0,0,0.0,2,1,1,0,,0,0,0,0
Sean Morey,PIT,0,0,0,0,0,0.0,1,1,0,0,,0,0,0,0
Larry Foote,PIT,,,,,0,0.0,7,6,1,1,,0,0,0,0
Troy Polamalu,PIT,,,,,1,0.0,6,5,1,0,,0,0,0,0
James Harrison,PIT,,,,,0,0.0,5,2,3,0,,0,0,0,0
Chris Hope,PIT,,,,,0,0.0,5,3,2,0,,0,0,0,1
Deshea Townsend,PIT,,,,,2,0.0,5,4,1,0,,0,0,0,0
Clint Kriewaldt,PIT,,,,,1,0.0,4,3,1,0,,0,0,0,0
Tyrone Carter,PIT,,,,,1,0.0,3,1,2,0,,0,0,0,0
Casey Hampton,PIT,,,,,0,0.0,3,3,0,0,,0,0,0,0
Aaron Smith,PIT,,,,,0,0.0,3,2,1,0,,0,0,0,0
Ike Taylor,PIT,,,,,0,0.0,3,2,1,0,,0,0,0,0
Chris Hoke,PIT,,,,,,0.0,2,1,1,0,,0,0,0,
Chidi Iwuoma,PIT,,,,,0,0.0,2,0,2,0,,0,0,0,0
Brett Keisel,PIT,,,,,0,0.0,2,1,1,0,,0,0,0,0
Travis Kirschke,PIT,,,,,,0.0,2,1,1,0,,0,0,0,
Kimo von Oelhoffen,PIT,,,,,0,0.0,2,0,2,0,,0,0,0,0
Bryant McFadden,PIT,,,,,0,0.0,1,1,0,0,,1,9,0,0
Rian Wallace,PIT,,,,,0,0.0,1,1,0,0,,0,0,0,0
