Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Carson Palmer,CIN,28,39,274,3,2,2,9,20,95.5,1,8,0,8,0,0,0,0,,0,
Jon Kitna,CIN,2,3,6,0,0,0,0,5,70.1,1,11,0,11,0,0,0,0,,0,
Rudi Johnson,CIN,0,0,0,0,0,,,,,24,117,2,33,2,1,14,0,14,0,
Jeremi Johnson,CIN,0,0,0,0,0,,,,,5,10,0,5,3,3,3,0,2,1,0
Chad Johnson,CIN,0,0,0,0,0,,,,,1,9,0,9,13,11,99,1,20,1,0
T.J. Houshmandzadeh,CIN,0,0,0,0,0,,,,,0,0,0,,9,6,61,1,16,0,
Kelley Washington,CIN,0,0,0,0,0,,,,,0,0,0,,7,4,48,1,18,0,
Reggie Kelly,CIN,0,0,0,0,0,,,,,0,0,0,,2,2,23,0,16,0,
Matt Schobel,CIN,0,0,0,0,0,,,,,0,0,0,,2,2,20,0,14,0,
Kevin Walter,CIN,0,0,0,0,0,,,,,0,0,0,,2,1,12,0,12,0,
Tony Stewart,CIN,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
Tab Perry,CIN,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jeff Garcia,DET,13,21,138,1,3,1,4,26,57.3,1,2,0,2,0,0,0,0,,0,
Joey Harrington,DET,6,7,77,1,0,0,0,35,152.1,0,0,0,,0,0,0,0,,0,
Artose Pinner,DET,0,0,0,0,0,,,,,15,55,0,19,3,3,18,0,10,0,
Shawn Bryson,DET,0,0,0,0,0,,,,,1,2,0,2,3,1,13,0,13,0,
Charles Rogers,DET,0,0,0,0,0,,,,,0,0,0,,3,3,71,1,35,0,
Marcus Pollard,DET,0,0,0,0,0,,,,,0,0,0,,4,3,42,0,22,0,
Scottie Vines,DET,0,0,0,0,0,,,,,0,0,0,,5,4,27,0,12,0,
Roy Williams,DET,0,0,0,0,0,,,,,0,0,0,,7,3,27,1,14,0,
Mike Williams,DET,0,0,0,0,0,,,,,0,0,0,,1,1,9,0,9,0,
Cory Schlesinger,DET,0,0,0,0,0,,,,,0,0,0,,1,1,8,0,8,0,
Sean McHugh,DET,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
