Quarter,Time,Tm,Detail,CIN,DET
1.0,11:41,Bengals,Shayne Graham 28 yard field goal,3,0
,7:52,Bengals,Kelley Washington 18 yard pass from Carson Palmer (Shayne Graham kick),10,0
,2:59,Bengals,Chad Johnson 1 yard pass from Carson Palmer (Shayne Graham kick),17,0
2.0,12:42,Lions,Roy Williams 5 yard pass from Jeff Garcia (Jason Hanson kick),17,7
,9:20,Bengals,T.J. Houshmandzadeh 7 yard pass from Carson Palmer (Shayne Graham kick),24,7
3.0,9:32,Bengals,Rudi Johnson 4 yard rush (Shayne Graham kick),31,7
,5:22,Lions,Jason Hanson 45 yard field goal,31,10
4.0,11:01,Bengals,Rudi Johnson 16 yard rush (Shayne Graham kick),38,10
,6:44,Lions,Charles Rogers 35 yard pass from Joey Harrington (Jason Hanson kick),38,17
,1:55,Bengals,Shayne Graham 33 yard field goal,41,17
