Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Tim Dwight,NWE,0,0,,0,0,1,0,0.0,0,0
Ellis Hobbs,NWE,5,123,24.6,0,0,0,0,,0,0
Kevin Faulk,NWE,1,23,23.0,0,0,0,0,,0,0
,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Steve Smith Sr.,CAR,0,0,,0,0,5,52,10.4,0,0
Chris Gamble,CAR,0,0,,0,0,1,76,76.0,0,0
Rod Smart,CAR,4,105,26.3,0,0,0,0,,0,0
