Quarter,Time,Down,ToGo,Location,CLE,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,GNB 20,0,0,"Ahman Green right guard for 3 yards. Ahman Green fumbles, recovered by Mike Flanagan at GNB-25",0.280,0.410
1,14:31,2,5,GNB 25,0,0,Ahman Green up the middle for 6 yards,0.410,1.000
1,13:57,1,10,GNB 31,0,0,Brett Favre pass complete to William Henderson for 5 yards (tackle by Daylon McCutcheon and Kenard Lang),1.000,1.140
1,13:19,2,5,GNB 36,0,0,Najeh Davenport left end for 5 yards (tackle by Ben Taylor and Chaun Thompson),1.140,1.660
1,12:32,1,10,GNB 41,0,0,Najeh Davenport right end for 2 yards,1.660,1.390
1,12:01,2,8,GNB 43,0,0,Ahman Green up the middle for 3 yards (tackle by Orpheus Roye),1.390,1.090
1,11:21,3,5,GNB 46,0,0,Brett Favre pass complete to Donald Driver for 8 yards (tackle by Ray Mickens),1.090,2.520
1,10:44,1,10,CLE 46,0,0,Brett Favre pass incomplete intended for Antonio Chatman,2.520,1.980
1,10:42,2,10,CLE 46,0,0,"Brett Favre pass incomplete intended for Donald Driver. Penalty on Donald Lee: Illegal Formation (Offsetting), Penalty on Alvin McKinley: Defensive Offside (Offsetting) (no play)",1.980,1.980
1,10:36,2,10,CLE 46,0,0,Ahman Green left guard for 4 yards,1.980,1.820
1,9:56,3,6,CLE 42,0,6,"Brett Favre pass complete to Donald Driver for 42 yards, touchdown",1.820,7.000
1,,,,CLE 2,0,7,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,GNB 30,0,7,"Ryan Longwell kicks off 60 yards, returned by Antonio Perkins for 19 yards (tackle by Brady Poppinga)",0.000,0.870
1,9:42,1,10,CLE 29,0,7,Reuben Droughns left guard for 6 yards (tackle by Aaron Kampman),0.870,1.140
1,9:10,2,4,CLE 35,0,7,Reuben Droughns right end for 5 yards (tackle by Nick Barnett and Roy Manning),1.140,1.600
1,8:33,1,10,CLE 40,0,7,"Reuben Droughns up the middle for 3 yards (tackle by Grady Jackson and Kabeer Gbaja-Biamila). Reuben Droughns fumbles (forced by Grady Jackson), recovered by Reuben Droughns at CLE-43",1.600,1.460
1,7:53,2,7,CLE 43,0,7,Trent Dilfer pass complete to Steve Heiden for 22 yards (tackle by Joey Thomas and Paris Lenon),1.460,3.250
1,7:10,1,10,GNB 35,0,7,Trent Dilfer pass complete to Antonio Bryant for 9 yards (tackle by Al Harris and Nick Collins),3.250,3.920
