#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,BAL 24,3,2:06,0,Punt
2,1,9:29,BAL 20,2,0:35,5,Fumble
3,1,7:50,BAL 27,3,1:56,3,Punt
4,2,13:08,BAL 20,3,2:06,7,Punt
5,2,7:21,BAL 45,3,1:48,-8,Punt
6,2,3:18,BAL 20,3,1:07,-2,Punt
7,2,1:45,BAL 13,3,0:53,-7,Punt
8,2,0:01,,0,0:01,0,End of Half
9,3,13:24,BAL 14,10,4:30,74,Field Goal
10,3,7:10,BAL 20,6,2:23,11,Punt
11,3,3:40,BAL 20,3,1:21,9,Punt
12,3,0:44,BAL 15,3,0:41,-9,Punt
13,4,12:04,BAL 15,2,0:11,0,Interception
14,4,11:53,BAL 12,14,5:29,88,Touchdown
15,4,4:30,BAL 14,3,1:47,-13,Safety
