Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tom Brady,NWE,24,46,299,1,0,0,0,49,79.9,1,12,0,12,0,0,0,0,,0,
Patrick Pass,NWE,0,0,0,0,0,,,,,10,64,1,17,7,6,89,0,39,0,
Amos Zereoue,NWE,0,0,0,0,0,,,,,7,14,0,12,1,1,5,0,5,0,
Deion Branch,NWE,0,0,0,0,0,,,,,0,0,0,,12,7,87,0,19,0,
David Givens,NWE,0,0,0,0,0,,,,,0,0,0,,13,7,58,1,16,0,
Ben Watson,NWE,0,0,0,0,0,,,,,0,0,0,,4,1,6,0,6,0,
Daniel Graham,NWE,0,0,0,0,0,,,,,0,0,0,,1,1,5,0,5,1,0
Bethel Johnson,NWE,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
Tim Dwight,NWE,0,0,0,0,0,,,,,1,-1,0,-1,5,1,49,0,49,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jake Plummer,DEN,17,24,262,2,0,1,8,72,134.4,5,6,0,5,0,0,0,0,,0,
Mike Anderson,DEN,0,0,0,0,0,0,0,,,15,57,1,10,0,0,0,0,,0,
Rod Smith,DEN,0,0,0,0,0,0,,,,0,0,0,,7,6,123,1,72,0,
Tatum Bell,DEN,0,0,0,0,0,,,,,13,114,1,68,4,3,20,0,13,1,0
Kyle Johnson,DEN,0,0,0,0,0,,,,,1,1,0,1,2,1,1,1,1,0,
Ashley Lelie,DEN,0,0,0,0,0,,,,,0,0,0,,4,3,81,0,55,0,
Jeb Putzier,DEN,0,0,0,0,0,,,,,0,0,0,,4,3,32,0,13,0,
Stephen Alexander,DEN,0,0,0,0,0,,,,,0,0,0,,1,1,5,0,5,0,
Charlie Adams,DEN,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
