#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,10:17,PHI 23,3,0:23,0,Punt
2,1,8:13,PHI 20,3,0:19,0,Punt
3,1,4:30,PHI 31,3,1:32,4,Punt
4,1,1:07,PHI 3,3,0:24,0,Punt
5,2,12:16,PHI 32,3,1:17,12,Interception
6,2,7:47,PHI 21,4,1:46,15,Punt
7,2,3:50,PHI 20,6,2:37,80,Touchdown
8,3,15:00,PHI 31,3,2:37,-8,Punt
9,3,10:36,PHI 11,2,0:50,89,Touchdown
10,3,8:12,PHI 18,4,2:22,9,Punt
11,3,4:24,PHI 31,5,2:51,69,Touchdown
12,3,1:07,PHI 41,7,2:50,35,Interception
13,4,9:53,PHI 33,3,1:01,4,Punt
14,4,6:31,PHI 20,5,1:45,24,Downs
15,4,0:26,PHI 46,1,0:26,8,End of Game
