Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Julian Peterson,SEA,0,0,0,0,0,1.0,7,4,3,1,1,0,0,0,0
D.D. Lewis,SEA,0,0,0,0,0,1.0,4,4,0,2,0,0,0,0,0
Bryce Fisher,SEA,0,0,0,0,0,1.0,2,2,0,1,1,1,0,0,0
Josh Parry,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Josh Scobey,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Shaun Alexander,SEA,0,0,0,0,0,0.0,,,,,,1,0,0,0
Kelly Herndon,SEA,,,,,0,0.0,8,6,2,2,0,0,0,0,0
Ken Hamlin,SEA,,,,,0,0.0,6,4,2,0,0,0,0,0,0
Michael Boulware,SEA,,,,,1,0.0,5,3,2,0,0,0,0,0,1
Lofa Tatupu,SEA,,,,,1,0.0,5,5,0,0,0,0,0,0,0
Marcus Trufant,SEA,,,,,0,0.0,4,4,0,0,0,0,0,0,0
Kelly Jennings,SEA,,,,,0,0.0,3,3,0,0,0,0,0,0,0
Darryl Tapp,SEA,,,,,0,0.0,3,1,2,0,0,0,0,0,0
Craig Terrill,SEA,,,,,,0.0,2,1,1,0,0,0,0,0,
Kevin Bentley,SEA,,,,,0,0.0,1,0,1,0,0,0,0,0,0
Rocky Bernard,SEA,,,,,0,0.0,1,1,0,0,0,0,0,0,1
Chartric Darby,SEA,,,,,0,0.0,1,0,1,0,0,0,0,0,0
Isaiah Kacyvenski,SEA,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Niko Koutouvides,SEA,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Robbie Tobeck,SEA,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Jordan Babineaux,SEA,,,,,0,0.0,0,0,0,0,1,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Shaun Rogers,DET,0,0,0,0,0,2.0,5,5,0,3,2,0,0,0,0
Boss Bailey,DET,0,0,0,0,0,1.0,4,1,3,1,1,0,0,0,0
James Hall,DET,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Tyoka Jackson,DET,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Devale Ellis,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Terrence Holt,DET,,,,,0,0.0,10,7,3,0,0,0,0,0,0
Ernie Sims,DET,,,,,0,0.0,10,7,3,1,0,0,0,0,0
Fernando Bryant,DET,,,,,2,0.0,8,8,0,1,0,0,0,0,0
Alex Lewis,DET,,,,,0,0.0,8,5,3,0,0,0,0,0,1
Dre' Bly,DET,,,,,0,0.0,6,5,1,0,0,0,0,0,1
Kenoy Kennedy,DET,,,,,0,0.0,6,5,1,0,0,0,0,0,0
Kalimba Edwards,DET,,,,,0,0.0,4,2,2,1,0,0,0,0,0
Donte Curry,DET,,,,,0,0.0,2,2,0,0,0,0,0,0,0
Jamar Fletcher,DET,,,,,0,0.0,2,2,0,0,0,0,0,0,0
Jon McGraw,DET,,,,,0,0.0,2,2,0,0,0,0,0,0,0
Jared DeVries,DET,,,,,0,0.0,1,1,0,1,0,0,0,0,0
Paris Lenon,DET,,,,,0,0.0,1,0,1,0,0,0,0,0,0
Cory Redding,DET,,,,,0,0.0,1,0,1,0,0,1,2,0,0
Keith Smith,DET,,,,,0,0.0,1,1,0,0,0,1,0,0,0
Dominic Raiola,DET,,,,,0,0.0,0,0,0,0,0,1,0,0,0
