Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Brodney Pool,CLE,1,0,0,0,1,0.0,6,6,0,0,0,0,0,0,0
Sean Jones,CLE,1,10,0,10,2,0.0,1,1,0,0,0,0,0,0,0
Kamerion Wimbley,CLE,0,0,0,0,0,1.0,5,5,0,1,1,0,0,0,0
Josh Cribbs,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Phil Dawson,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Andra Davis,CLE,,,,,0,0.0,9,9,0,0,1,0,0,0,0
Jereme Perry,CLE,,,,,0,0.0,4,4,0,0,0,1,1,0,0
Orpheus Roye,CLE,,,,,0,0.0,4,4,0,0,0,0,0,0,0
Ralph Brown,CLE,,,,,1,0.0,3,3,0,0,0,0,0,0,0
Alvin McKinley,CLE,,,,,0,0.0,3,2,1,0,0,0,0,0,0
Brian Russell,CLE,,,,,0,0.0,3,3,0,0,0,0,0,0,0
Matt Stewart,CLE,,,,,0,0.0,3,3,0,0,0,0,0,0,0
Ted Washington,CLE,,,,,0,0.0,3,1,2,0,0,0,0,0,0
D'Qwell Jackson,CLE,,,,,0,0.0,2,2,0,0,0,0,0,0,0
Willie McGinest,CLE,,,,,0,0.0,2,2,0,0,1,0,0,0,0
Leon Williams,CLE,,,,,1,0.0,2,2,0,0,0,0,0,0,0
Justin Hamilton,CLE,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Michael Hawkins,CLE,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Daven Holly,CLE,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Ethan Kelley,CLE,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Mason Unck,CLE,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Simon Fraser,CLE,,,,,1,0.0,0,0,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Michael Boley,ATL,0,0,0,0,0,1.0,5,3,2,0,1,0,0,0,0
Paul Carrington,ATL,0,0,0,0,0,1.0,5,4,1,0,0,0,0,0,1
Roderick Coleman,ATL,0,0,0,0,0,1.0,3,3,0,2,1,1,9,0,0
Josh Mallard,ATL,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Allen Rossum,ATL,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
Boone Stutz,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Demorrio Williams,ATL,,,,,0,0.0,8,6,2,0,0,0,0,0,1
Keith Brooking,ATL,,,,,0,0.0,6,4,2,0,0,1,0,0,0
DeAngelo Hall,ATL,,,,,0,0.0,5,4,1,0,0,0,25,0,0
Jordan Beck,ATL,,,,,0,0.0,4,4,0,0,0,0,0,0,0
Chauncey Davis,ATL,,,,,0,0.0,4,4,0,0,0,0,0,0,0
Lawyer Milloy,ATL,,,,,0,0.0,4,4,0,1,0,0,0,0,0
T.J. Jackson,ATL,,,,,0,0.0,3,3,0,2,1,0,0,0,0
Ike Reese,ATL,,,,,,0.0,3,3,0,2,1,0,0,0,
Patrick Kerney,ATL,,,,,0,0.0,2,2,0,0,0,0,0,0,0
Omare Lowe,ATL,,,,,0,0.0,2,2,0,0,0,0,0,0,0
Grady Jackson,ATL,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Cam Newton,ATL,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Jonathan Babineaux,ATL,,,,,1,0.0,0,0,0,0,0,0,0,0,0
