Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Bruce Gradkowski,TAM,17,32,173,1,2,3,20,27,53.3,5,22,0,6,0,0,0,0,,1,1
Cadillac Williams,TAM,0,0,0,0,0,,,,,15,44,0,11,1,0,0,0,,1,1
Mike Alstott,TAM,0,0,0,0,0,,,,,2,3,0,2,3,2,16,0,18,0,
Joey Galloway,TAM,0,0,0,0,0,,,,,0,0,0,,8,5,87,0,27,0,
Ike Hilliard,TAM,0,0,0,0,0,,,,,0,0,0,,4,4,30,1,17,0,
Michael Clayton,TAM,0,0,0,0,0,,,,,0,0,0,,7,2,22,0,16,0,
Alex Smith,TAM,0,0,0,0,0,,,,,0,0,0,,5,3,18,0,8,0,
Michael Pittman,TAM,0,0,0,0,0,,,,,0,0,0,,2,1,0,0,0,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jake Delhomme,CAR,22,34,240,2,0,0,0,43,105.0,3,2,0,4,0,0,0,0,,0,
Keyshawn Johnson,CAR,0,0,0,0,1,0,,,,0,0,0,,11,6,37,1,9,1,1
DeShaun Foster,CAR,0,0,0,0,0,,,,,13,48,0,13,3,2,9,0,5,0,
DeAngelo Williams,CAR,0,0,0,0,0,,,,,7,19,0,15,1,1,11,0,11,0,0
Brad Hoover,CAR,0,0,0,0,0,,,,,5,14,1,5,3,3,18,0,9,0,
Kris Mangum,CAR,0,0,0,0,0,,,,,0,0,0,,1,1,10,0,10,0,
Michael Gaines,CAR,0,0,0,0,0,,,,,0,0,0,,1,1,6,0,6,0,
Keary Colbert,CAR,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
Drew Carter,CAR,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
Steve Smith Sr.,CAR,0,0,0,0,0,,,,,2,-5,0,2,12,8,149,1,43,0,
