Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Damon Huard,KAN,15,38,201,0,0,3,16,31,57.0,0,0,0,,0,0,0,0,,0,
Larry Johnson,KAN,0,0,0,0,0,0,,,,18,75,1,14,6,2,14,0,13,0,
Samie Parker,KAN,0,0,0,0,0,,,,,1,5,0,5,5,1,13,0,13,0,
Tony Gonzalez,KAN,0,0,0,0,0,,,,,0,0,0,,13,6,84,0,29,0,
Eddie Kennison,KAN,0,0,0,0,0,,,,,0,0,0,,8,3,58,0,31,0,
Dante Hall,KAN,0,0,0,0,0,,,,,0,0,0,,5,3,32,0,17,1,0
Michael Bennett,KAN,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joey Harrington,MIA,19,35,201,0,0,1,12,46,71.2,4,6,0,7,0,0,0,0,,0,
Ronnie Brown,MIA,0,1,0,0,0,0,0,0,39.6,25,89,1,12,2,1,-3,0,-3,1,1
Sammy Morris,MIA,0,0,0,0,0,,,,,6,20,0,7,3,2,17,0,11,0,
Chris Chambers,MIA,0,0,0,0,0,,,,,1,2,0,2,12,3,66,0,46,0,
Wes Welker,MIA,0,0,0,0,0,,,,,0,0,0,,4,3,46,0,30,1,0
Randy McMichael,MIA,0,0,0,0,0,,,,,0,0,0,,5,5,34,0,8,0,
Marty Booker,MIA,0,0,0,0,0,,,,,0,0,0,,7,2,16,0,13,0,
Justin Peelle,MIA,0,0,0,0,0,,,,,0,0,0,,2,2,14,0,15,0,
Derek Hagan,MIA,0,0,0,0,0,,,,,0,0,0,,1,1,11,0,11,0,
