Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Adrian Wilson,ARI,1,35,0,35,2,0.0,9,9,0,0,0,0,0,0,1
David Macklin,ARI,1,56,0,56,2,0.0,7,7,0,0,0,0,0,0,0
Gerald Hayes,ARI,1,0,0,0,1,0.0,6,6,0,0,0,0,0,0,0
Chike Okeafor,ARI,0,0,0,0,0,2.5,4,2,2,2,3,0,0,0,0
Chris Cooper,ARI,0,0,0,0,2,1.0,1,1,0,1,1,0,0,0,0
Antonio Smith,ARI,0,0,0,0,0,0.5,3,2,1,1,1,0,0,0,0
Neil Rackers,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Aaron Francisco,ARI,,,,,0,0.0,6,6,0,0,0,0,0,0,0
Orlando Huff,ARI,,,,,0,0.0,6,6,0,0,0,0,0,0,0
Karlos Dansby,ARI,,,,,0,0.0,4,4,0,0,0,0,0,0,0
Antrel Rolle,ARI,,,,,0,0.0,3,3,0,0,0,0,0,0,0
Gabe Watson,ARI,,,,,0,0.0,3,3,0,0,0,0,0,0,0
Darnell Dockett,ARI,,,,,0,0.0,2,2,0,0,1,0,0,0,0
Robert Griffith,ARI,,,,,1,0.0,2,2,0,0,0,0,0,0,0
Calvin Pace,ARI,,,,,0,0.0,2,2,0,0,0,0,0,0,0
Monty Beisel,ARI,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Darryl Blackstock,ARI,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Eric Green,ARI,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Jonathan Lewis,ARI,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Hanik Milligan,ARI,,,,,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
La'Roi Glover,STL,0,0,0,0,0,1.0,5,4,1,1,1,0,0,0,0
Fakhir Brown,STL,,,,,2,0.0,7,7,0,0,0,0,0,0,0
Leonard Little,STL,,,,,0,0.0,6,6,0,1,0,0,0,0,0
Will Witherspoon,STL,,,,,2,0.0,6,6,0,1,0,0,0,0,0
O.J. Atogwe,STL,,,,,0,0.0,5,5,0,0,0,0,0,0,0
Ron Bartell,STL,,,,,0,0.0,5,5,0,0,0,0,0,0,0
Corey Chavous,STL,,,,,0,0.0,4,4,0,0,0,0,0,0,0
Jimmy Kennedy,STL,,,,,0,0.0,4,3,1,0,0,0,0,0,0
Brandon Chillar,STL,,,,,0,0.0,3,3,0,0,0,0,0,0,0
Tye Hill,STL,,,,,0,0.0,3,3,0,1,0,0,0,0,0
Brandon Green,STL,,,,,0,0.0,2,1,1,0,0,0,0,0,0
Raonall Smith,STL,,,,,0,0.0,2,2,0,0,1,0,0,0,0
Pisa Tinoisamoa,STL,,,,,0,0.0,2,1,1,0,0,0,0,0,0
Jerametrius Butler,STL,,,,,,0.0,1,1,0,1,0,0,0,0,
Jerome Carter,STL,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Jason Fisk,STL,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Claude Wroten,STL,,,,,0,0.0,1,1,0,1,0,0,0,0,0
Alex Barron,STL,,,,,0,0.0,0,0,0,0,0,1,0,0,0
