Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Nnamdi Asomugha,OAK,2,16,0,0,3,0.0,2,2,0,0,0,0,0,0,0
Fabian Washington,OAK,1,0,0,0,2,0.0,4,4,0,0,0,0,0,0,0
Chris Carr,OAK,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Aaron Brooks,OAK,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Kirk Morrison,OAK,,,,,0,0.0,14,9,5,1,0,0,0,0,1
Thomas Howard,OAK,,,,,0,0.0,10,5,5,0,0,0,0,0,0
Michael Huff,OAK,,,,,0,0.0,8,5,3,1,0,0,0,0,0
Tommy Kelly,OAK,,,,,0,0.0,6,2,4,0,0,0,0,0,0
Terdell Sands,OAK,,,,,0,0.0,5,1,4,0,0,0,0,0,0
Stuart Schweigert,OAK,,,,,0,0.0,5,4,1,0,0,1,0,0,0
Sam Williams,OAK,,,,,0,0.0,5,3,2,2,1,0,0,0,0
Tyler Brayton,OAK,,,,,0,0.0,4,2,2,0,0,0,0,0,0
Derrick Burgess,OAK,,,,,0,0.0,3,1,2,0,1,0,0,0,0
Anttaj Hawthorne,OAK,,,,,0,0.0,2,2,0,0,0,0,0,0,0
Kevin Huntley,OAK,,,,,0,0.0,2,0,2,0,0,0,0,0,0
Robert Thomas,OAK,,,,,0,0.0,2,0,2,0,0,0,0,0,0
Jarrod Cooper,OAK,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Tyrone Poole,OAK,,,,,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Brian Simmons,CIN,1,0,0,0,3,0.0,5,4,1,0,2,0,0,0,0
Robert Geathers,CIN,0,0,0,0,0,2.0,3,2,1,2,2,0,0,0,0
Dexter Jackson,CIN,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
Kevin Kaesviharn,CIN,0,0,0,0,1,1.0,3,3,0,2,2,0,0,0,0
Keiwan Ratliff,CIN,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Ethan Kilmer,CIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Kenny Watson,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Rashad Jeanty,CIN,,,,,0,0.0,9,7,2,0,0,0,0,0,0
Tory James,CIN,,,,,1,0.0,6,5,1,0,0,0,0,0,0
Landon Johnson,CIN,,,,,0,0.0,4,3,1,0,0,0,0,0,0
Johnathan Joseph,CIN,,,,,1,0.0,4,3,1,0,0,1,0,0,0
Andre Frazier,CIN,,,,,0,0.0,2,0,2,0,0,0,0,0,0
Herana-Daze Jones,CIN,,,,,0,0.0,2,2,0,0,0,0,0,0,0
Caleb Miller,CIN,,,,,0,0.0,2,1,1,0,0,0,0,0,1
Justin Smith,CIN,,,,,0,0.0,2,1,1,0,3,0,0,0,0
John Thornton,CIN,,,,,1,0.0,2,1,1,0,0,0,0,0,0
Sam Adams,CIN,,,,,0,0.0,1,1,0,1,0,0,0,0,0
Domata Peko,CIN,,,,,0,0.0,1,1,0,0,0,0,0,0,0
Madieu Williams,CIN,,,,,0,0.0,1,0,1,0,0,0,0,0,0
Shaun Smith,CIN,,,,,1,0.0,0,0,0,0,0,0,0,0,0
