Quarter,Time,Down,ToGo,Location,SDG,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Stephen Gostkowski kicks off 68 yards, returned by Darren Sproles for 22 yards (tackle by Pierre Woods)",0.000,0.540
1,14:56,1,10,SDG 24,0,0,LaDainian Tomlinson up the middle for 3 yards (tackle by Junior Seau and Vince Wilfork),0.540,0.400
1,14:18,2,7,SDG 27,0,0,LaDainian Tomlinson up the middle for 2 yards (tackle by Ty Warren and Tedy Bruschi),0.400,-0.030
1,13:35,3,5,SDG 29,0,0,Philip Rivers pass incomplete short left intended for Darren Sproles,-0.030,-1.440
1,13:31,4,5,SDG 29,0,0,"Mike Scifres punts 34 yards, returned by Wes Welker for 13 yards (tackle by Kassim Osgood). Penalty on Richard Seymour: Running Into the Kicker, 4 yards (no play)",-1.440,-1.180
1,13:21,4,1,SDG 33,0,0,"Mike Scifres punts 40 yards, fair catch by Wes Welker",-1.180,-0.740
1,13:13,1,10,NWE 27,0,0,Tom Brady pass incomplete deep right intended for Kyle Brady,0.740,0.200
1,13:08,2,10,NWE 27,0,0,Laurence Maroney left guard for 3 yards (tackle by Igor Olshansky and Clinton Hart),0.200,-0.100
1,12:25,3,7,NWE 30,0,0,Tom Brady pass incomplete short right intended for Randy Moss,-0.100,-1.370
1,12:19,4,7,NWE 30,0,0,"Chris Hanson punts 48 yards, muffed catch by Darren Sproles, ball out of bounds at SDG-24",-1.370,-0.540
1,12:10,1,10,SDG 24,0,0,Philip Rivers pass complete deep left to Chris Chambers for 20 yards (tackle by Ellis Hobbs),0.540,1.860
1,11:49,1,10,SDG 44,0,0,Michael Turner left guard for 5 yards (tackle by Adalius Thomas and Rodney Harrison),1.860,1.990
1,11:13,2,5,SDG 49,0,0,Philip Rivers pass complete short right to Chris Chambers for 9 yards (tackle by Rodney Harrison),1.990,2.790
1,10:32,1,10,NWE 42,0,0,Philip Rivers pass incomplete deep right intended for Vincent Jackson (defended by Asante Samuel),2.790,2.240
1,10:26,2,10,NWE 42,0,0,Philip Rivers pass complete short right to LaDainian Tomlinson for 1 yard (tackle by Tedy Bruschi),2.240,1.680
1,9:58,3,9,NWE 41,0,0,Philip Rivers pass incomplete short left intended for Legedu Naanee,1.680,0.530
1,9:53,4,9,NWE 41,0,0,"Mike Scifres punts 31 yards, fair catch by Kevin Faulk",0.530,0.380
1,9:45,1,10,NWE 10,0,0,Laurence Maroney left tackle for -1 yards (tackle by Marlon McCree and Shaun Phillips),-0.380,-0.850
1,9:06,2,11,NWE 9,0,0,Tom Brady pass complete short left to Wes Welker for 12 yards (tackle by Stephen Cooper),-0.850,0.340
1,8:25,1,10,NWE 21,0,0,"Tom Brady pass incomplete deep right intended for Donte Stallworth. Penalty on Quentin Jammer: Illegal Contact, 5 yards (no play)",0.340,0.670
1,8:19,1,10,NWE 26,0,0,Laurence Maroney left end for no gain (tackle by Igor Olshansky and Eric Weddle),0.670,0.130
1,7:42,2,10,NWE 26,0,0,Tom Brady pass complete short left to Ben Watson for 8 yards (tackle by Stephen Cooper),0.130,0.500
1,7:09,3,2,NWE 34,0,0,Tom Brady pass incomplete short left intended for Wes Welker,0.500,-1.110
1,7:05,4,2,NWE 34,0,0,"Chris Hanson punts 39 yards, returned by Darren Sproles for 13 yards (tackle by Eric Alexander)",-1.110,-1.600
1,6:55,1,10,SDG 40,0,0,Michael Turner up the middle for 12 yards (tackle by James Sanders),1.600,2.390
1,6:18,1,10,NWE 48,0,0,Michael Turner left guard for 3 yards (tackle by Rodney Harrison and Tedy Bruschi),2.390,2.250
1,5:42,2,7,NWE 45,0,0,Philip Rivers pass incomplete short right intended for Vincent Jackson,2.250,1.550
1,5:37,3,7,NWE 45,0,0,Philip Rivers sacked by Junior Seau for -4 yards. Penalty on Marcus McNeill: Offensive Holding (Declined),1.550,0.000
1,5:21,4,11,NWE 49,0,0,"Mike Scifres punts 49 yards, touchback",0.000,-0.280
1,5:13,1,10,NWE 20,0,0,Tom Brady pass incomplete deep right intended for Donte Stallworth is intercepted by Quentin Jammer at NWE-40,0.280,-2.920
1,5:07,1,10,NWE 40,0,0,"Michael Turner left guard for 5 yards (tackle by Ellis Hobbs). Penalty on Vince Wilfork: Face Mask (15 Yards), 15 yards",2.920,4.240
1,4:53,1,10,NWE 20,0,0,Michael Turner left end for no gain (tackle by Adalius Thomas and Ellis Hobbs),4.240,3.690
1,4:13,2,10,NWE 20,0,0,Philip Rivers pass complete short left to Chris Chambers for 11 yards (tackle by Ellis Hobbs),3.690,5.140
1,3:46,1,9,NWE 9,0,0,Michael Turner up the middle for 1 yard (tackle by Richard Seymour and Vince Wilfork),5.140,4.570
1,3:10,2,8,NWE 8,0,0,Philip Rivers pass incomplete short right intended for Lorenzo Neal,4.570,3.580
1,3:05,3,8,NWE 8,0,0,Philip Rivers pass incomplete short middle intended for Chris Chambers,3.580,2.950
1,2:59,4,8,NWE 8,3,0,Nate Kaeding 26 yard field goal good,2.950,3.000
1,,,,SDG 30,3,0,"Nate Kaeding kicks off 45 yards, returned by Willie Andrews for 10 yards (tackle by Brandon Siler)",0.000,1.270
1,2:50,1,10,NWE 35,3,0,Tom Brady pass complete short left to Wes Welker for 9 yards (tackle by Eric Weddle),1.270,1.940
1,2:18,2,1,NWE 44,3,0,Tom Brady pass incomplete short right intended for Randy Moss,1.940,1.220
1,2:13,3,1,NWE 44,3,0,Heath Evans left guard for 3 yards (tackle by Antonio Cromartie),1.220,2.060
1,1:40,1,10,NWE 47,3,0,Randy Moss right tackle for 14 yards (tackle by Shawne Merriman and Clinton Hart),2.060,2.980
1,1:01,1,10,SDG 39,3,0,Tom Brady pass complete short left to Kevin Faulk for 14 yards (tackle by Antonio Cromartie),2.980,3.910
1,0:26,1,10,SDG 25,3,0,Tom Brady pass complete short left to Kevin Faulk for 4 yards (tackle by Antonio Cromartie),3.910,3.900
1,0:01,2,6,SDG 21,3,0,Tom Brady pass complete short left to Donte Stallworth for 5 yards (tackle by Eric Weddle),3.900,4.060
Quarter,Time,Down,ToGo,Location,SDG,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,SDG 16,3,0,Laurence Maroney left end for 8 yards (tackle by Antonio Cromartie),4.060,5.370
2,14:29,1,8,SDG 8,3,0,Tom Brady pass complete short left to Kevin Faulk for 7 yards (tackle by Eric Weddle),5.370,5.910
2,13:53,2,1,SDG 1,3,6,"Laurence Maroney right guard for 1 yard, touchdown",5.910,7.000
2,,,,SDG 2,3,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,3,7,"Stephen Gostkowski kicks off 63 yards, returned by Darren Sproles for 23 yards (tackle by Larry Izzo)",0.000,0.940
2,13:42,1,10,SDG 30,3,7,Philip Rivers pass complete short middle to Vincent Jackson for 15 yards (tackle by Ellis Hobbs),0.940,1.930
2,13:10,1,10,SDG 45,3,7,Philip Rivers pass complete deep right to Vincent Jackson for 16 yards,1.930,2.980
2,12:47,1,10,NWE 39,3,7,Michael Turner up the middle for 4 yards (tackle by Tedy Bruschi and Richard Seymour),2.980,2.980
2,12:08,2,6,NWE 35,3,7,Philip Rivers pass complete short middle to Michael Turner for 5 yards (tackle by Tedy Bruschi),2.980,2.940
2,11:29,3,1,NWE 30,3,7,Philip Rivers pass complete deep middle to Vincent Jackson for 21 yards (tackle by Asante Samuel),2.940,5.140
2,10:52,1,9,NWE 9,3,7,Michael Turner left guard for 1 yard (tackle by Ty Warren and Vince Wilfork),5.140,4.570
2,10:08,2,8,NWE 8,3,7,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Tedy Bruschi),4.570,3.580
2,10:01,,,,3,7,Timeout #1 by San Diego Chargers,0.000,3.580
2,10:01,3,8,NWE 8,3,7,Philip Rivers pass complete short left to Chris Chambers for 3 yards (tackle by Ellis Hobbs),3.580,3.010
2,9:16,4,5,NWE 5,6,7,Nate Kaeding 23 yard field goal good,3.010,3.000
2,,,,SDG 30,6,7,"Nate Kaeding kicks off 54 yards, returned by Ellis Hobbs for 24 yards (tackle by Tim Dobbins)",0.000,1.600
