#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:05,BAL 30,3,1:19,5,Punt
2,1,8:27,BAL 25,2,0:42,1,Interception
3,1,5:36,BAL 29,3,0:49,-6,Fumble
4,1,2:34,BAL 34,3,2:15,5,Punt
5,2,12:23,BAL 25,3,2:07,2,Punt
6,2,1:41,BAL 35,8,1:17,31,Downs
7,3,15:00,BAL 25,8,4:18,75,Touchdown
8,3,8:00,BAL 4,3,1:00,1,Punt
9,3,6:01,BAL 36,5,2:19,46,Interception
10,3,3:42,BAL 22,14,6:29,62,Field Goal
11,4,9:48,BAL 34,9,2:28,43,Field Goal
12,4,5:12,BAL 17,4,1:41,83,Touchdown
13,4,1:49,BAL 22,10,1:23,49,Field Goal
