Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Peyton Manning,IND,22,32,272,3,1,4,25,35,113.0,0,0,0,,0,0,0,0,,1,0
Kenton Keith,IND,0,0,0,0,0,,,,,17,74,0,17,0,0,0,0,,0,
Joseph Addai,IND,0,0,0,0,0,,,,,10,44,1,9,2,2,14,0,8,0,
Anthony Gonzalez,IND,0,0,0,0,0,,,,,0,0,0,,7,6,105,0,35,0,
Reggie Wayne,IND,0,0,0,0,0,,,,,0,0,0,,12,5,66,1,23,0,
Dallas Clark,IND,0,0,0,0,0,,,,,0,0,0,,6,5,49,1,19,0,
Ben Utecht,IND,0,0,0,0,0,,,,,0,0,0,,4,4,38,1,13,0,
Bryan Fletcher,IND,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joey Harrington,ATL,14,30,155,1,2,2,17,48,45.8,2,3,0,4,0,0,0,0,,0,
Warrick Dunn,ATL,0,0,0,0,0,,,,,17,70,0,9,3,2,10,0,6,0,
Jerious Norwood,ATL,0,0,0,0,0,,,,,6,33,0,14,1,1,9,0,9,0,
Jason Snelling,ATL,0,0,0,0,0,,,,,4,6,0,3,0,0,0,0,,0,
Roddy White,ATL,0,0,0,0,0,,,,,0,0,0,,10,6,104,1,48,0,
Alge Crumpler,ATL,0,0,0,0,0,,,,,0,0,0,,7,3,14,0,6,0,
Michael Jenkins,ATL,0,0,0,0,0,,,,,0,0,0,,3,1,9,0,9,0,
Ovie Mughelli,ATL,0,0,0,0,0,,,,,1,0,0,0,1,1,9,0,9,0,
Laurent Robinson,ATL,0,0,0,0,0,,,0,,0,0,0,0,5,0,0,0,0,0,
