Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Roscoe Parrish,BUF,0,0,,0,0,1,12,12.0,0,0
Terrence McGee,BUF,5,93,18.6,0,0,0,0,,0,0
Kirk Chambers,BUF,1,6,6.0,0,0,0,0,,0,0
,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Chad Nkang,JAX,0,0,,0,0,1,0,0.0,0,0
Dennis Northcutt,JAX,0,0,,0,0,1,12,12.0,0,0
Maurice Jones-Drew,JAX,2,53,26.5,0,0,0,0,,0,0
