Quarter,Time,Down,ToGo,Location,ATL,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Michael Koenen kicks off 72 yards, returned by Brandon Williams for 37 yards (tackle by Tony Taylor). Penalty on O.J. Atogwe: Offensive Holding, 10 yards",0.000,0.610
1,14:53,1,10,STL 25,0,0,"Gus Frerotte pass incomplete deep right intended for Isaac Bruce. Penalty on DeAngelo Hall: Illegal Contact, 5 yards (no play)",0.610,0.940
1,14:46,1,10,STL 30,0,0,Steven Jackson right guard for 4 yards (tackle by Lawyer Milloy),0.940,0.930
1,14:15,2,6,STL 34,0,0,Gus Frerotte pass incomplete short left intended for Steven Jackson,0.930,0.230
1,14:12,3,6,STL 34,0,0,"Penalty on Jonathan Babineaux: Neutral Zone Infraction, 5 yards (no play)",0.230,0.890
1,14:12,3,1,STL 39,0,0,Gus Frerotte pass complete short right to Brian Leonard for 7 yards (tackle by Keith Brooking),0.890,1.990
1,13:44,1,10,STL 46,0,0,Steven Jackson right guard for -1 yards (tackle by John Abraham),1.990,1.320
1,13:13,2,11,STL 45,0,0,Gus Frerotte pass complete short middle to Isaac Bruce for 10 yards (tackle by Chris Crocker),1.320,1.950
1,12:41,3,1,ATL 45,0,0,Steven Jackson right guard for 7 yards (tackle by Lawyer Milloy),1.950,3.050
1,12:08,1,10,ATL 38,0,0,Steven Jackson left end for 2 yards (tackle by Montavious Stanley),3.050,2.780
1,11:30,2,8,ATL 36,0,0,Steven Jackson left guard for 3 yards (tackle by Jonathan Babineaux),2.780,2.480
1,10:55,3,5,ATL 33,0,0,Gus Frerotte pass complete short middle to Drew Bennett for 9 yards (tackle by John Abraham),2.480,3.970
1,10:17,1,10,ATL 24,0,0,Gus Frerotte pass complete deep right to Torry Holt for 23 yards (tackle by DeAngelo Hall),3.970,6.970
1,9:45,1,1,ATL 1,0,6,"Gus Frerotte pass complete short right to Randy McMichael for 1 yard, touchdown",6.970,7.000
1,,,,ATL 2,0,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,0,7,"Jeff Wilkins kicks off 63 yards, returned by Jerious Norwood for 15 yards (tackle by Travis Minor)",0.000,0.410
1,9:34,1,10,ATL 22,0,7,Warrick Dunn left end for 2 yards (tackle by Eric Moore),0.410,0.140
1,9:01,2,8,ATL 24,0,7,Joey Harrington pass incomplete short left intended for Roddy White,0.140,-0.560
1,8:58,3,8,ATL 24,0,7,Joey Harrington pass complete short right to Alge Crumpler for 17 yards (tackle by O.J. Atogwe),-0.560,1.660
1,8:25,1,10,ATL 41,0,7,Warrick Dunn up the middle for -2 yards (tackle by La'Roi Glover),1.660,0.850
1,7:48,2,12,ATL 39,0,7,Joey Harrington pass incomplete deep left intended for Laurent Robinson,0.850,0.170
1,7:45,3,12,ATL 39,0,7,Joey Harrington pass complete to Roddy White for 8 yards (tackle by Will Witherspoon),0.170,-0.260
1,7:07,4,4,ATL 47,0,7,Michael Koenen punts 48 yards,-0.260,0.380
1,6:56,1,10,STL 5,0,7,Steven Jackson right end for -3 yards (tackle by DeAngelo Hall),-0.380,-1.000
1,6:14,2,13,STL 2,0,7,"Penalty on Alex Barron: False Start, 1 yards (no play)",-1.000,-1.070
1,5:59,2,14,STL 1,0,7,Gus Frerotte pass complete deep left to Torry Holt for 38 yards (tackle by Chris Houston),-1.070,1.530
1,5:33,1,10,STL 39,0,7,Gus Frerotte pass complete short right to Dane Looker for 4 yards (tackle by Chris Crocker),1.530,1.530
1,5:13,2,6,STL 43,0,7,Antonio Pittman left end for 2 yards (tackle by Montavious Stanley),1.530,1.090
1,4:25,3,4,STL 45,0,7,Gus Frerotte pass complete deep middle to Drew Bennett for 24 yards (tackle by DeAngelo Hall),1.090,3.510
1,3:44,1,10,ATL 31,0,13,"Gus Frerotte pass complete deep left to Torry Holt for 31 yards, touchdown",3.510,7.000
1,,,,ATL 2,0,14,"Jeff Wilkins kicks extra point good. Penalty on Jonathan Babineaux: Defensive Offside, 5 yards",0.000,0.000
1,,,,STL 35,0,14,"Jeff Wilkins kicks off 73 yards, touchback",0.000,0.280
1,3:38,1,10,ATL 20,0,14,Jerious Norwood left tackle for 2 yards (tackle by Todd Johnson),0.280,0.000
1,3:08,2,8,ATL 22,0,14,Jerious Norwood left tackle for 4 yards (tackle by Todd Johnson),0.000,-0.160
1,2:27,3,4,ATL 26,0,14,Joey Harrington pass complete short left to Laurent Robinson for -1 yards (tackle by Ronald Bartell),-0.160,-1.700
1,1:52,4,5,ATL 25,0,14,"Michael Koenen punts 46 yards, muffed catch by Brandon Williams, ball out of bounds at STL-29",-1.700,-0.870
1,1:42,1,10,STL 29,0,14,Steven Jackson right guard for 3 yards (tackle by Jonathan Babineaux),0.870,0.730
1,1:07,2,7,STL 32,0,14,Gus Frerotte pass incomplete short left intended for Drew Bennett,0.730,0.040
1,1:00,3,7,STL 32,0,14,Gus Frerotte pass incomplete deep left intended for Isaac Bruce (defended by Chris Houston),0.040,-1.240
1,0:54,4,7,STL 32,0,14,"Donnie Jones punts 52 yards, returned by Adam Jennings for 4 yards (tackle by Quinton Culberson)",-1.240,-0.280
1,0:41,1,10,ATL 20,0,14,Joey Harrington pass complete short left to Roddy White for 34 yards (tackle by O.J. Atogwe),0.280,2.520
1,0:24,1,10,STL 46,0,14,Warrick Dunn left guard for 1 yard (tackle by Victor Adeyanju),2.520,2.110
Quarter,Time,Down,ToGo,Location,ATL,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,STL 45,0,14,Warrick Dunn right guard for no gain (tackle by Brandon Chillar),2.110,1.420
2,14:19,3,9,STL 45,0,14,Joey Harrington pass complete short left to Michael Jenkins for 11 yards (tackle by Corey Chavous),1.420,3.310
2,13:39,1,10,STL 34,0,14,Warrick Dunn left end for 1 yard (tackle by Victor Adeyanju),3.310,2.910
2,12:56,2,9,STL 33,0,14,Joey Harrington sacked by Adam Carriker for -6 yards,2.910,1.420
2,12:26,3,15,STL 39,0,14,"Joey Harrington pass complete short middle to Roddy White for 5 yards (tackle by Ronald Bartell). Roddy White fumbles (forced by Ronald Bartell), recovered by Ronald Bartell at STL-34 and returned for 7 yards (tackle by D'Anthony Batiste)",1.420,-1.660
2,12:12,1,10,STL 41,0,14,Gus Frerotte pass complete short left to Steven Jackson for no gain,1.660,1.120
2,11:36,2,10,STL 41,0,14,Steven Jackson right guard for 3 yards (tackle by Lawyer Milloy),1.120,0.830
2,10:53,3,7,STL 44,0,14,Gus Frerotte pass incomplete deep left intended for Torry Holt,0.830,-0.460
2,10:47,4,7,STL 44,0,14,Donnie Jones punts 39 yards,-0.460,0.060
2,10:39,1,10,ATL 17,0,14,Jerious Norwood left end for 1 yard (tackle by Corey Chavous),-0.060,-0.420
2,10:02,2,9,ATL 18,0,14,Jerious Norwood left end for 19 yards (tackle by Corey Chavous),-0.420,1.400
2,9:24,1,10,ATL 37,0,14,Joey Harrington pass complete short right to Alge Crumpler for 12 yards (tackle by Brandon Chillar),1.400,2.190
2,8:42,1,10,ATL 49,0,14,Jerious Norwood left tackle for no gain (tackle by Will Witherspoon),2.190,1.650
2,8:04,2,10,ATL 49,0,14,Joey Harrington pass complete short middle to Dwayne Blakley for 5 yards (tackle by Brandon Chillar),1.650,1.620
2,7:25,3,5,STL 46,0,14,Joey Harrington pass incomplete short middle intended for Alge Crumpler,1.620,0.200
2,7:21,4,5,STL 46,0,14,"Michael Koenen punts 34 yards, fair catch by Brandon Williams",0.200,0.350
