Quarter,Time,Down,ToGo,Location,SEA,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss, Panthers to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Josh Brown kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,CAR 20,0,0,DeShaun Foster right tackle for 1 yard (tackle by Darryl Tapp),0.280,-0.130
1,15:00,2,9,CAR 21,0,0,"Penalty on Christian Fauria: False Start, 5 yards (no play)",-0.130,-0.940
1,14:08,2,14,CAR 16,0,0,DeShaun Foster left tackle for 4 yards (tackle by Rocky Bernard),-0.940,-0.960
1,13:28,3,10,CAR 20,0,0,Matt Moore for 5 yards (tackle by Kelly Jennings),-0.960,-1.700
1,13:21,4,5,CAR 25,0,0,"Jason Baker punts 46 yards, returned by Nate Burleson for 4 yards (tackle by Tim Shaw)",-1.700,-1.140
1,13:09,1,10,SEA 33,0,0,Matt Hasselbeck pass complete short right to Deion Branch for 9 yards (tackle by Patrick Dendy),1.140,1.810
1,12:40,2,1,SEA 42,0,0,Shaun Alexander right guard for no gain (tackle by Ma'ake Kemoeatu),1.810,1.090
1,12:00,3,1,SEA 42,0,0,Maurice Morris right end for -1 yards (tackle by Ma'ake Kemoeatu),1.090,-0.650
1,11:24,4,2,SEA 41,0,0,"Ryan Plackemeier punts 37 yards, fair catch by Ryne Robinson",-0.650,-0.410
1,11:15,1,10,CAR 22,0,0,Matt Moore pass complete short right to Steve Smith for 3 yards (tackle by Marcus Trufant),0.410,0.270
1,10:34,2,7,CAR 25,0,0,Matt Moore pass complete deep middle to Dante Rosario for 54 yards (tackle by Marcus Trufant),0.270,4.170
1,10:02,1,10,SEA 21,0,0,DeShaun Foster right tackle for 2 yards (tackle by Lofa Tatupu),4.170,3.900
1,9:28,2,8,SEA 19,0,0,DeAngelo Williams right end for no gain (tackle by Marcus Trufant and Lofa Tatupu),3.900,3.180
1,8:48,3,8,SEA 19,0,0,Matt Moore pass incomplete deep left intended for Drew Carter (defended by Kelly Jennings),3.180,2.180
1,8:42,4,8,SEA 19,0,0,John Kasay 37 yard field goal no good,2.180,-0.740
1,8:40,1,10,SEA 27,0,0,Shaun Alexander right guard for no gain (tackle by Na'il Diggs),0.740,0.200
