#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,SFO 37,3,1:43,1,Punt
2,1,8:09,SFO 24,3,1:45,4,Punt
3,1,2:36,SFO 28,7,2:40,72,Touchdown
4,2,13:55,SFO 28,3,0:57,7,Punt
5,2,10:03,SFO 11,3,2:00,8,Punt
6,2,5:44,SFO 24,1,0:11,15,Fumble
7,2,3:49,SFO 19,6,2:16,19,Punt
8,2,0:32,SFO 33,1,0:06,0,Interception
9,2,0:05,SFO 40,1,0:05,-1,End of Half
10,3,15:00,SFO 43,6,2:47,16,Punt
11,3,10:57,TAM 14,3,1:27,14,Touchdown
12,3,7:49,SFO 21,6,4:08,9,Punt
13,4,14:17,TAM 23,1,0:06,23,Touchdown
14,4,10:48,SFO 4,3,1:25,1,Punt
15,4,5:20,SFO 26,5,2:35,12,Punt
16,4,1:20,TAM 45,3,1:20,-3,End of Game
