Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Mathias Kiwanuka,NYG,0,0,0,0,0,1.5,9,6,3,2,2,0,0,0,0
Justin Tuck,NYG,0,0,0,0,0,0.5,6,5,1,3,1,0,0,0,1
Reuben Droughns,NYG,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
David Tyree,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Madison Hedgecock,NYG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Sam Madison,NYG,,,,,3,0.0,7,7,0,1,0,0,0,0,0
Gibril Wilson,NYG,,,,,0,0.0,7,7,0,0,0,0,0,0,0
James Butler,NYG,,,,,0,0.0,5,5,0,1,0,0,0,0,0
Osi Umenyiora,NYG,,,,,0,0.0,5,4,1,0,0,0,0,0,0
Aaron Ross,NYG,,,,,0,0.0,4,3,1,0,0,0,0,0,0
Antonio Pierce,NYG,,,,,0,0.0,3,2,1,1,0,1,0,0,0
Barry Cofield,NYG,,,,,0,0.0,2,2,0,0,0,0,0,0,0
Kawika Mitchell,NYG,,,,,2,0.0,2,1,1,0,0,0,0,0,0
Fred Robbins,NYG,,,,,0,0.0,2,1,1,0,0,0,0,0,0
Michael Strahan,NYG,,,,,0,0.0,2,1,1,0,1,0,0,0,0
Chase Blackburn,NYG,,,,,0,0.0,1,0,1,0,0,0,0,0,0
Corey Webster,NYG,,,,,1,0.0,0,0,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
London Fletcher,WAS,1,9,0,9,1,0.0,11,6,5,0,0,1,6,0,0
Sean Taylor,WAS,1,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Andre Carter,WAS,0,0,0,0,0,1.0,4,4,0,0,0,0,0,0,1
Kedric Golston,WAS,0,0,0,0,0,1.0,2,1,1,0,1,0,0,0,0
Shaun Suisham,WAS,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Rock Cartwright,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Mike Sellers,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Chris Cooley,WAS,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Jason Campbell,WAS,0,0,0,0,0,0.0,,,,,,1,-3,0,0
LaRon Landry,WAS,,,,,0,0.0,12,6,6,1,0,0,0,0,0
Shawn Springs,WAS,,,,,0,0.0,6,6,0,0,0,0,0,0,0
Rocky McIntosh,WAS,,,,,1,0.0,4,3,1,0,0,0,0,0,0
Marcus Washington,WAS,,,,,0,0.0,4,4,0,0,0,0,0,0,0
Phillip Daniels,WAS,,,,,2,0.0,3,3,0,0,0,0,0,0,0
Cornelius Griffin,WAS,,,,,0,0.0,3,2,1,0,0,0,0,0,0
Pierson Prioleau,WAS,,,,,0,0.0,3,2,1,0,0,0,0,0,0
H.B. Blades,WAS,,,,,0,0.0,2,1,1,0,0,0,0,0,0
Khary Campbell,WAS,,,,,0,0.0,2,2,0,0,0,0,0,0,0
Anthony Montgomery,WAS,,,,,0,0.0,2,1,1,1,2,0,0,0,0
Carlos Rogers,WAS,,,,,1,0.0,2,2,0,0,0,0,0,0,0
Demetric Evans,WAS,,,,,1,0.0,1,0,1,0,0,0,0,0,0
