Quarter,Time,Down,ToGo,Location,TEN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Dave Rayner kicks off 64 yards, returned by Chris J. Henry for 21 yards (tackle by Brandon Siler)",0.000,-0.740
1,14:54,1,10,TEN 27,0,0,Vince Young pass incomplete short left intended for Justin Gage,0.740,0.200
1,14:49,2,10,TEN 27,0,0,Vince Young pass incomplete short left intended for Justin Gage,0.200,-0.490
1,14:47,3,10,TEN 27,0,0,Vince Young pass complete short middle to Ahmard Hall for 16 yards (tackle by Drayton Florence),-0.490,1.800
1,14:08,1,10,TEN 43,0,0,LenDale White up the middle for 3 yards (tackle by Shaun Phillips),1.800,1.660
1,13:22,2,7,TEN 46,0,0,LenDale White right tackle for 6 yards (tackle by Igor Olshansky and Clinton Hart),1.660,1.750
1,12:46,,,,0,0,Timeout #1 by Tennessee Titans,0.000,1.750
1,12:46,3,1,SDG 48,0,0,"Penalty on TEN: Offensive 12 On-field, 5 yards (no play)",1.750,1.090
1,12:46,3,6,TEN 47,0,0,Vince Young for 9 yards (tackle by Clinton Hart),1.090,2.650
1,12:38,1,10,SDG 44,0,0,Vince Young pass complete deep right to Justin Gage for 19 yards (tackle by Quentin Jammer),2.650,3.910
1,12:16,1,10,SDG 25,0,0,LenDale White left tackle for 3 yards (tackle by Luis Castillo),3.910,3.770
1,11:36,2,7,SDG 22,0,0,Vince Young pass complete short left to Chris Davis for 7 yards (tackle by Marlon McCree),3.770,4.580
1,11:08,1,10,SDG 15,0,0,Ahmard Hall right end for 1 yard (tackle by Quentin Jammer),4.580,4.110
1,10:30,2,9,SDG 14,0,0,Vince Young pass complete short right to Eric Moulds for 2 yards (tackle by Shaun Phillips),4.110,3.580
1,9:47,3,7,SDG 12,0,0,Vince Young pass incomplete short right intended for Chris Davis,3.580,2.630
1,9:39,4,7,SDG 12,3,0,Rob Bironas 30 yard field goal good,2.630,3.000
1,,,,TEN 30,3,0,"Rob Bironas kicks off 62 yards, returned by Darren Sproles for 18 yards (tackle by Biren Ealy)",0.000,0.670
1,9:31,1,10,SDG 26,3,0,LaDainian Tomlinson up the middle for 3 yards (tackle by Stephen Tulloch),0.670,0.540
1,8:55,2,7,SDG 29,3,0,"Philip Rivers sacked by Cortland Finnegan for -10 yards. Philip Rivers fumbles (forced by Cortland Finnegan), recovered by LaDainian Tomlinson at SDG-19",0.540,-1.580
1,8:11,3,17,SDG 19,3,0,Philip Rivers pass complete short left to Craig Davis for 5 yards (tackle by Cortland Finnegan),-1.580,-1.770
1,7:35,4,12,SDG 24,3,0,"Mike Scifres punts 49 yards, returned by Chris Davis for 8 yards (tackle by Kassim Osgood)",-1.770,-1.270
1,7:26,1,10,TEN 35,3,0,Chris Brown up the middle for 4 yards (tackle by Jacques Cesaire),1.270,1.260
1,6:53,2,6,TEN 39,3,0,Vince Young sacked by Jacques Cesaire for -3 yards,1.260,0.170
1,6:07,3,9,TEN 36,3,0,Vince Young pass incomplete,0.170,-0.980
1,6:02,4,9,TEN 36,3,0,"Craig Hentrich punts 41 yards, fair catch by Darren Sproles",-0.980,-0.480
1,5:53,1,10,SDG 23,3,0,"Philip Rivers pass complete short left to Chris Chambers for 5 yards (tackle by Cortland Finnegan). Penalty on Kris Dielman: Chop Block, 11 yards (no play)",0.480,-0.690
1,5:34,1,21,SDG 12,3,0,LaDainian Tomlinson right tackle for 3 yards (tackle by Tony Brown),-0.690,-1.280
1,4:57,2,18,SDG 15,3,0,Philip Rivers pass incomplete deep right intended for Chris Chambers,-1.280,-2.150
1,4:52,3,18,SDG 15,3,0,Philip Rivers pass complete short left to Brandon Manumaleuna for 9 yards (tackle by David Thornton),-2.150,-1.770
1,4:16,4,9,SDG 24,3,0,"Mike Scifres punts 54 yards, returned by Chris Davis for 7 yards (tackle by David Binn)",-1.770,-0.870
1,4:05,1,10,TEN 29,3,0,LenDale White up the middle for 8 yards (tackle by Clinton Hart and Stephen Cooper),0.870,1.410
1,3:31,2,2,TEN 37,3,0,LenDale White right tackle for 1 yard (tackle by Ryon Bingham),1.410,0.830
1,2:49,3,1,TEN 38,3,0,LenDale White up the middle for 4 yards (tackle by Stephen Cooper),0.830,1.730
1,2:13,1,10,TEN 42,3,0,Vince Young pass complete short right to Ben Troupe for 13 yards (tackle by Quentin Jammer),1.730,2.590
1,1:32,1,10,SDG 45,3,0,LenDale White up the middle for 2 yards (tackle by Matt Wilhelm),2.590,2.310
1,0:57,2,8,SDG 43,3,0,LenDale White up the middle for 7 yards (tackle by Shawne Merriman and Matt Wilhelm),2.310,2.540
1,0:20,3,1,SDG 36,3,0,Ahmard Hall right end for 2 yards (tackle by Shaun Phillips and Stephen Cooper),2.540,3.310
Quarter,Time,Down,ToGo,Location,TEN,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 34,3,0,Chris Brown right end for 5 yards (tackle by Shaun Phillips and Luis Castillo),3.310,3.450
2,14:27,2,5,SDG 29,3,0,Chris Brown up the middle for 3 yards (tackle by Jacques Cesaire and Stephen Cooper),3.450,3.140
2,13:46,3,2,SDG 26,3,0,LenDale White up the middle for 13 yards (tackle by Clinton Hart and Marlon McCree),3.140,4.710
2,13:09,1,10,SDG 13,3,0,LenDale White up the middle for 1 yard (tackle by Shaun Phillips),4.710,4.220
2,12:34,2,9,SDG 12,3,0,"Chris Brown right end for 1 yard (tackle by Shawne Merriman). Chris Brown fumbles (forced by Shawne Merriman), recovered by Shaun Phillips at SDG-9 (tackle by David Stewart)",4.220,0.380
2,12:27,1,10,SDG 9,3,0,LaDainian Tomlinson for -3 yards (tackle by Keith Bulluck),-0.380,-1.000
2,12:05,2,13,SDG 6,3,0,Philip Rivers pass complete short left to Chris Chambers for 7 yards (tackle by Cortland Finnegan),-1.000,-0.950
2,11:39,3,6,SDG 13,3,0,Philip Rivers pass complete short right to Antonio Gates for 16 yards (tackle by Keith Bulluck),-0.950,0.870
2,11:11,1,10,SDG 29,3,0,LaDainian Tomlinson up the middle for 2 yards (tackle by Stephen Tulloch and Keith Bulluck),0.870,0.600
2,10:48,2,8,SDG 31,3,0,Philip Rivers pass complete deep middle to Chris Chambers for 30 yards (tackle by Michael Griffin),0.600,2.980
2,10:12,1,10,TEN 39,3,0,LaDainian Tomlinson right end for -2 yards (tackle by Michael Griffin),2.980,2.170
2,9:26,2,12,TEN 41,3,0,Philip Rivers pass incomplete,2.170,1.490
2,9:21,3,12,TEN 41,3,0,Philip Rivers pass incomplete deep left intended for Vincent Jackson,1.490,0.530
2,9:15,4,12,TEN 41,3,0,"Mike Scifres punts 29 yards, fair catch by Chris Davis",0.530,0.350
2,9:08,1,10,TEN 12,3,0,LenDale White up the middle for 2 yards (tackle by Stephen Cooper and Luis Castillo),-0.350,-0.610
2,8:29,2,8,TEN 14,3,0,Vince Young pass complete short middle to LenDale White for -3 yards (tackle by Luis Castillo),-0.610,-1.540
2,7:45,3,11,TEN 11,3,0,Vince Young pass incomplete short left intended for Chris Davis,-1.540,-2.490
2,7:39,4,11,TEN 11,3,0,"Craig Hentrich punts 41 yards, returned by Darren Sproles for 10 yards (tackle by Donnie Nickey)",-2.490,-2.790
2,7:27,1,10,TEN 42,3,0,Philip Rivers pass incomplete deep middle intended for Chris Chambers is intercepted by Cortland Finnegan at TEN-0,2.790,-0.280
2,7:18,1,10,TEN 20,3,0,Vince Young pass incomplete short left intended for Justin Gage,0.280,-0.270
2,7:13,2,10,TEN 20,3,0,LenDale White up the middle for 3 yards (tackle by Ryon Bingham and Luis Castillo),-0.270,-0.560
2,6:32,3,7,TEN 23,3,0,Vince Young pass incomplete deep left intended for Chris Davis,-0.560,-1.830
2,6:29,4,7,TEN 23,3,0,Craig Hentrich punts 33 yards,-1.830,-1.860
2,6:22,1,10,SDG 44,3,0,LaDainian Tomlinson up the middle for 3 yards (tackle by David Thornton),1.860,1.720
2,5:42,2,7,SDG 47,3,0,"Penalty on Mike Goff: False Start, 5 yards (no play)",1.720,1.050
2,5:31,2,12,SDG 42,3,0,Philip Rivers pass incomplete short middle intended for LaDainian Tomlinson,1.050,0.370
2,5:26,3,12,SDG 42,3,0,Philip Rivers pass complete deep left to Vincent Jackson for 32 yards (tackle by Keith Bulluck),0.370,3.840
2,4:39,1,10,TEN 26,3,0,LaDainian Tomlinson left end for no gain (tackle by Stephen Tulloch),3.840,3.300
2,3:59,2,10,TEN 26,3,0,Philip Rivers pass complete short right to Antonio Gates for -1 yards (tackle by Tony Brown),3.300,2.480
2,3:16,3,11,TEN 27,3,0,Philip Rivers pass incomplete deep left intended for Chris Chambers (defended by Michael Griffin),2.480,1.670
2,3:10,4,11,TEN 27,3,0,Nate Kaeding 45 yard field goal no good,1.670,-1.270
2,3:06,1,10,TEN 35,3,0,LenDale White left tackle for 4 yards (tackle by Luis Castillo and Ryon Bingham),1.270,1.260
2,2:36,2,6,TEN 39,3,0,LenDale White right end for 1 yard (tackle by Shawne Merriman and Luis Castillo),1.260,0.700
2,2:00,3,5,TEN 40,3,0,Vince Young pass complete short right to Biren Ealy for 9 yards (tackle by Matt Wilhelm),0.700,2.190
