Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Dennis Northcutt,JAX,0,0,,0,0,3,31,10.3,0,16
Montell Owens,JAX,2,15,7.5,0,12,0,0,,0,0
Scott Starks,JAX,2,29,14.5,0,15,0,0,,0,0
Maurice Jones-Drew,JAX,1,96,96.0,0,96,0,0,,0,0
Greg Jones,JAX,1,0,0.0,0,0,0,0,,0,0
,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Cedrick Wilson,PIT,0,0,,0,0,1,8,8.0,0,8
Najeh Davenport,PIT,5,83,16.6,0,20,0,0,,0,0
