Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Lawrence Tynes kicks off 64 yards, returned by Yamon Figurs for 26 yards (tackle by Terrell Thomas)",0.000,1.070
1,14:53,1,10,BAL 32,0,0,Willis McGahee left tackle for no gain (tackle by Mathias Kiwanuka and Danny Clark),1.070,0.530
1,14:26,2,10,BAL 32,0,0,Joe Flacco pass complete short left to Willis McGahee for 3 yards (tackle by Corey Webster),0.530,0.230
1,13:45,3,7,BAL 35,0,0,Ray Rice right guard for 2 yards (tackle by Antonio Pierce),0.230,-0.910
1,13:05,4,5,BAL 37,0,0,Sam Koch punts 31 yards,-0.910,-1.070
1,12:58,1,10,NYG 32,0,0,Eli Manning pass incomplete short right intended for Amani Toomer,1.070,0.530
1,12:51,2,10,NYG 32,0,0,Brandon Jacobs middle for 36 yards (tackle by Jim Leonhard),0.530,3.450
1,12:20,1,10,BAL 32,0,0,Eli Manning pass incomplete short left intended for Derrick Ward,3.450,2.900
1,12:14,2,10,BAL 32,0,0,"Derrick Ward right tackle for 1 yard (tackle by Jarret Johnson and Bart Scott). Penalty on Chris Snee: Offensive Holding, 10 yards (no play)",2.900,1.550
1,11:53,2,20,BAL 42,0,0,Brandon Jacobs left tackle for 5 yards (tackle by Ray Lewis and Bart Scott),1.550,1.550
1,11:12,3,15,BAL 37,0,0,Eli Manning pass complete deep left to Plaxico Burress for 21 yards (tackle by Samari Rolle),1.550,4.510
1,10:45,1,10,BAL 16,0,0,"Brandon Jacobs right end for 1 yard (tackle by Bart Scott). Penalty on Haloti Ngata: Defensive Offside, 5 yards (no play)",4.510,5.630
1,10:10,1,5,BAL 11,0,0,Brandon Jacobs right tackle for 10 yards (tackle by Jim Leonhard),5.630,6.970
1,9:28,1,1,BAL 1,0,0,Brandon Jacobs middle for no gain (tackle by Ray Lewis and Haloti Ngata),6.970,5.910
1,8:50,2,1,BAL 1,0,6,"Brandon Jacobs left tackle for 1 yard, touchdown",5.910,7.000
1,,,,BAL 2,0,7,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,NYG 30,0,7,"Lawrence Tynes kicks off 56 yards, returned by Yamon Figurs for 18 yards (tackle by Reuben Droughns)",0.000,1.070
1,8:40,1,10,BAL 32,0,7,"Penalty on Adam Terry: False Start, 5 yards (no play)",1.070,0.740
1,8:40,1,15,BAL 27,0,7,"Le'Ron McClain left end for -1 yards (tackle by Antonio Pierce and Justin Tuck). Penalty on Fred Robbins: Defensive Offside, 5 yards (no play)",0.740,1.070
1,8:20,1,10,BAL 32,0,7,Joe Flacco pass complete short left to Derrick Mason for 15 yards (tackle by Aaron Ross),1.070,2.060
1,8:09,1,10,BAL 47,0,7,"Ray Rice left tackle for 3 yards (tackle by Barry Cofield). Penalty on Barry Cofield: Face Mask (15 Yards), 15 yards",2.060,3.250
1,7:50,1,10,NYG 35,0,7,Ray Rice left guard for -1 yards (tackle by Barry Cofield and Chase Blackburn),3.250,2.570
1,7:19,2,11,NYG 36,0,7,Joe Flacco middle for 2 yards (tackle by Barry Cofield and Antonio Pierce),2.570,2.150
1,6:31,,,,0,7,Timeout #1 by Baltimore Ravens,0.000,2.150
1,6:31,3,9,NYG 34,0,7,"Penalty on Justin Tuck: Neutral Zone Infraction, 5 yards (no play)",2.150,2.810
1,6:31,3,4,NYG 29,0,7,Joe Flacco pass complete short left to Derrick Mason for 9 yards (tackle by Corey Webster),2.810,4.240
1,6:10,1,10,NYG 20,0,7,Willis McGahee left guard for no gain (tackle by Fred Robbins),4.240,3.690
1,5:31,2,10,NYG 20,0,7,Willis McGahee left tackle for 7 yards (tackle by Justin Tuck and Chase Blackburn),3.690,4.100
1,4:52,3,3,NYG 13,0,7,Joe Flacco pass incomplete short middle intended for Mark Clayton,4.100,2.670
1,4:39,4,3,NYG 13,0,7,"Matt Stover 32 yard field goal no good, blocked by Fred Robbins, recovered by Edgar Jones and returned for 32 yards",2.670,-3.380
1,4:26,1,10,BAL 33,0,7,Derrick Ward right guard for 1 yard (tackle by Bart Scott and Haloti Ngata),3.380,2.970
1,3:42,2,9,BAL 32,0,7,"Eli Manning pass incomplete short right intended for Plaxico Burress is intercepted by Fabian Washington at BAL-19 and returned for -4 yards. Penalty on Justin Bannan: Defensive Offside, 5 yards (no play)",2.970,3.650
1,3:30,2,4,BAL 27,0,7,Eli Manning pass complete short middle to Domenik Hixon for 9 yards (tackle by Ray Lewis and Jarret Johnson),3.650,4.370
1,2:42,1,10,BAL 18,0,7,Brandon Jacobs left end for 15 yards (tackle by Justin Bannan),4.370,6.510
1,1:55,1,3,BAL 3,0,7,Brandon Jacobs right guard for 2 yards (tackle by Haloti Ngata and Terrell Suggs),6.510,5.910
1,1:15,2,1,BAL 1,0,13,"Brandon Jacobs left guard for 1 yard, touchdown",5.910,7.000
1,,,,BAL 2,0,13,Lawrence Tynes kicks extra point no good,0.000,-1.000
1,,,,NYG 30,0,13,"Lawrence Tynes kicks off 68 yards, returned by Yamon Figurs for 29 yards (tackle by Terrell Thomas)",0.000,1.000
