Quarter,Time,Down,ToGo,Location,JAX,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 75 yards, returned by Tom Zbikowski for 26 yards (tackle by Alvin Pearman)",0.000,0.340
1,15:00,1,10,BAL 21,0,0,Le'Ron McClain left guard for 6 yards (tackle by Gerald Sensabaugh),0.340,0.610
1,14:25,2,4,BAL 27,0,0,Le'Ron McClain right tackle for 3 yards (tackle by Mike Peterson and Justin Durant),0.610,0.300
1,13:58,3,1,BAL 30,0,0,Le'Ron McClain left guard for 2 yards (tackle by Derrick Harvey),0.300,1.070
1,13:24,1,10,BAL 32,0,0,Joe Flacco pass complete deep middle to Mark Clayton for 48 yards (tackle by Gerald Sensabaugh),1.070,4.240
1,12:47,1,10,JAX 20,0,0,Le'Ron McClain left guard for 8 yards (tackle by Brian Williams and Reggie Nelson),4.240,5.040
1,12:09,2,2,JAX 12,0,0,Lorenzo Neal up the middle for 3 yards (tackle by Rob Meier),5.040,5.140
1,11:31,1,9,JAX 9,0,0,Le'Ron McClain left end for 1 yard (tackle by Justin Durant),5.140,4.570
1,10:47,2,8,JAX 8,0,0,Troy Smith sacked by Derrick Harvey for -1 yards,4.570,3.360
1,10:01,3,9,JAX 9,0,0,"Penalty on Joe Flacco: Delay of Game, 5 yards (no play)",3.360,3.000
1,9:36,3,14,JAX 14,0,0,Joe Flacco pass incomplete short middle intended for Marcus Smith (defended by Justin Durant),3.000,2.510
1,9:36,4,14,JAX 14,0,3,Matt Stover 32 yard field goal good,2.510,3.000
1,,,,BAL 30,0,3,"Steven Hauschka kicks off 62 yards, returned by Brian Witherspoon for 15 yards (tackle by Haruki Nakamura). Penalty on Montell Owens: Offensive Holding, 10 yards",0.000,0.320
1,9:25,1,10,JAX 13,0,3,"David Garrard pass incomplete short left intended for Maurice Jones-Drew. Penalty on Samari Rolle: Illegal Use of Hands, 5 yards (no play)",-0.320,0.040
1,9:11,1,10,JAX 18,0,3,Maurice Jones-Drew right tackle for 3 yards (tackle by Justin Bannan and Marques Douglas),0.040,0.010
1,8:29,2,7,JAX 21,0,3,"David Garrard pass complete short right to Dennis Northcutt for 12 yards (tackle by Frank Walker). Dennis Northcutt fumbles (forced by Frank Walker), recovered by Ray Lewis at JAX-33 (tackle by Tony Pashos)",0.010,-3.380
1,8:19,1,10,JAX 33,0,3,Le'Ron McClain right tackle for -3 yards (tackle by Reggie Hayward),3.380,2.430
1,7:49,2,13,JAX 36,0,3,Joe Flacco pass complete short left to Lorenzo Neal for 6 yards (tackle by Justin Durant),2.430,2.540
1,7:09,3,7,JAX 30,0,3,Joe Flacco pass incomplete short middle intended for Todd Heap (defended by Gerald Sensabaugh),2.540,1.410
1,7:03,4,7,JAX 30,0,3,Matt Stover 48 yard field goal no good,1.410,-1.470
1,6:59,1,10,JAX 38,0,3,David Garrard pass complete short left to Richard Angulo for 4 yards (tackle by Samari Rolle),1.470,1.460
1,6:29,2,6,JAX 42,0,3,Maurice Jones-Drew right guard for 15 yards (tackle by Ed Reed),1.460,2.720
1,6:00,1,10,BAL 43,0,3,Maurice Jones-Drew left tackle for -2 yards (tackle by Justin Bannan),2.720,1.910
1,5:17,2,12,BAL 45,0,3,David Garrard pass incomplete deep left intended for Dennis Northcutt,1.910,1.220
1,5:11,3,12,BAL 45,0,3,David Garrard pass incomplete deep middle intended for Reggie Williams,1.220,0.270
1,5:05,4,12,BAL 45,0,3,"Penalty on Dennis Norman: False Start, 5 yards (no play)",0.270,-0.060
1,5:05,4,17,,0,3,"Steve Weatherford punts 50 yards, touchback",-0.060,-0.280
1,4:56,1,10,BAL 20,0,3,Le'Ron McClain up the middle for 3 yards (tackle by Mike Peterson and Derrick Harvey),0.280,0.140
1,4:21,2,7,BAL 23,0,3,Le'Ron McClain left tackle for 2 yards (tackle by Derrick Harvey),0.140,-0.300
1,3:38,3,5,BAL 25,0,3,Joe Flacco sacked by Jeremy Mincey for -8 yards,-0.300,-2.320
1,3:13,4,13,BAL 17,0,3,"Sam Koch punts 44 yards, returned by Brian Witherspoon for 11 yards (tackle by Nick Greisen)",-2.320,-2.260
1,3:02,1,10,JAX 50,0,3,David Garrard pass incomplete short right intended for Maurice Jones-Drew,2.260,1.710
1,2:51,2,10,JAX 50,0,3,Maurice Jones-Drew left tackle for 20 yards (tackle by Jim Leonhard),1.710,3.580
1,2:13,1,10,BAL 30,0,3,Maurice Jones-Drew left end for no gain (tackle by Marques Douglas and Bart Scott),3.580,3.030
1,1:28,2,10,BAL 30,0,3,David Garrard pass complete short left to Montell Owens for 7 yards (tackle by Jim Leonhard),3.030,3.270
1,0:55,3,3,BAL 23,6,3,"David Garrard pass complete deep left to Alvin Pearman for 23 yards, touchdown",3.270,7.000
1,,,,BAL 2,7,3,Josh Scobee kicks extra point good,0.000,0.000
1,,,,JAX 30,7,3,"Josh Scobee kicks off 70 yards, returned by Tom Zbikowski for 22 yards (tackle by Tim Shaw)",0.000,0.410
1,0:48,1,10,BAL 22,7,3,Joe Flacco pass complete short left to Todd Heap for 12 yards (tackle by Justin Durant),0.410,1.200
1,0:02,1,10,BAL 34,7,3,Joe Flacco pass complete short right to Derrick Mason for 9 yards (tackle by Brian Williams),1.200,1.870
Quarter,Time,Down,ToGo,Location,JAX,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,BAL 43,7,3,Joe Flacco pass complete short right to Derrick Mason for -1 yards (tackle by Brian Williams),1.870,1.030
2,14:20,3,2,BAL 42,7,3,Joe Flacco pass complete short middle to Willis McGahee for 13 yards (tackle by Justin Durant),1.030,2.590
2,13:39,1,10,JAX 45,7,3,Joe Flacco pass complete deep right to Mark Clayton for 25 yards (tackle by Reggie Nelson),2.590,4.240
2,13:06,1,10,JAX 20,7,3,Le'Ron McClain left guard for 4 yards (tackle by John Henderson),4.240,4.280
2,12:33,2,6,JAX 16,7,3,Joe Flacco pass incomplete deep left intended for Derrick Mason,4.280,3.520
2,12:24,,,,7,3,Timeout #1 by Baltimore Ravens,0.000,3.520
2,12:24,3,6,JAX 16,7,3,Joe Flacco pass complete short right to Derrick Mason for 11 yards (tackle by Brian Witherspoon),3.520,6.060
2,11:40,1,5,JAX 5,7,3,Le'Ron McClain left guard for no gain (tackle by Justin Durant),6.060,5.150
2,11:04,2,5,JAX 5,7,9,"Le'Ron McClain left guard for 5 yards, touchdown",5.150,7.000
2,,,,JAX 2,7,10,Matt Stover kicks extra point good,0.000,0.000
