Quarter,Time,Tm,Detail,TAM,KAN
1,8:19,Chiefs,Dwayne Bowe 7 yard pass from Tyler Thigpen (Connor Barth kick),0,7
,4:47,Chiefs,Kolby Smith 1 yard rush (Connor Barth kick),0,14
2,13:04,Buccaneers,Matt Bryant 25 yard field goal,3,14
,10:12,Chiefs,Tyler Thigpen 37 yard pass from Mark Bradley (Connor Barth kick),3,21
,2:13,Chiefs,Connor Barth 39 yard field goal,3,24
,2:01,Buccaneers,Clifton Smith 97 yard kickoff return (Matt Bryant kick),10,24
,0:00,Buccaneers,Matt Bryant 43 yard field goal,13,24
4,13:36,Buccaneers,Alex Smith 3 yard pass from Earnest Graham (pass failed),19,24
,7:38,Chiefs,Connor Barth 28 yard field goal,19,27
,0:19,Buccaneers,Antonio Bryant 24 yard pass from Jeff Garcia (Alex Smith pass from Jeff Garcia),27,27
OT,10:24,Buccaneers,Matt Bryant 34 yard field goal,30,27
