Quarter,Time,Down,ToGo,Location,OAK,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"David Buehler kicks off 79 yards, touchback",0.000,0.280
1,15:00,1,10,OAK 20,0,0,Justin Fargas right tackle for 5 yards (tackle by Marcus Spears),0.280,0.410
1,14:23,2,5,OAK 25,0,0,Bruce Gradkowski pass complete short middle to Darren McFadden for 16 yards (tackle by Terence Newman),0.410,1.660
1,13:48,1,10,OAK 41,0,0,Justin Fargas left end for 4 yards (tackle by Keith Brooking),1.660,1.660
1,13:06,2,6,OAK 45,0,0,Bruce Gradkowski pass incomplete deep middle intended for Chaz Schilens,1.660,0.960
1,12:59,3,6,OAK 45,0,0,Bruce Gradkowski pass incomplete short middle intended for Zach Miller,0.960,-0.390
1,12:53,4,6,OAK 45,0,0,"Shane Lechler punts 55 yards, touchback",-0.390,-0.280
1,12:43,1,10,DAL 20,0,0,Marion Barber right tackle for 4 yards (tackle by Greg Ellis),0.280,0.270
1,11:51,2,6,DAL 24,0,0,Tony Romo pass complete deep middle to Miles Austin for 49 yards (tackle by Nnamdi Asomugha),0.270,3.780
1,10:58,1,10,OAK 27,0,0,"Penalty on Doug Free: False Start, 5 yards (no play)",3.780,3.450
1,10:58,1,15,OAK 32,0,0,Marion Barber right tackle for 1 yard (tackle by Greg Ellis and Tommy Kelly),3.450,2.690
1,10:19,2,14,OAK 31,0,0,"Tony Romo sacked by Sam Williams for -3 yards. Tony Romo fumbles, recovered by Tony Romo at OAK-42. Penalty on Kyle Kosier: Illegal Use of Hands, 10 yards (no play)",2.690,1.340
1,9:49,2,24,OAK 41,0,0,Tony Romo pass incomplete short left intended for Miles Austin,1.340,0.700
1,9:43,3,24,OAK 41,0,0,Tony Romo pass incomplete deep left intended for Roy Williams (defended by Michael Huff),0.700,0.530
1,9:27,4,24,OAK 41,0,0,Mat McBriar punts 34 yards,0.530,0.380
1,9:12,1,10,OAK 7,0,0,Justin Fargas left end for 22 yards (tackle by Keith Brooking),-0.380,0.870
1,8:38,1,10,OAK 29,0,0,"Justin Fargas right tackle for 1 yard (tackle by Keith Brooking). Penalty on Cooper Carlisle: Offensive Holding, 10 yards (no play)",0.870,0.110
1,8:14,1,20,OAK 19,0,0,Justin Fargas right guard for 12 yards (tackle by Pat Watkins),0.110,0.600
1,7:37,2,8,OAK 31,0,0,Darren McFadden right tackle for 4 yards (tackle by Igor Olshansky),0.600,0.430
1,6:55,3,4,OAK 35,0,0,Bruce Gradkowski pass incomplete short middle intended for Chaz Schilens (defended by Terence Newman),0.430,-1.040
1,6:50,4,4,OAK 35,0,0,"Shane Lechler punts 53 yards, returned by Patrick Crayton for 4 yards (tackle by Gary Russell). Penalty on Alan Ball: Offensive Holding, 8 yards",-1.040,0.380
1,6:39,1,10,DAL 8,0,0,Marion Barber right guard for 1 yard (tackle by Tommy Kelly),-0.380,-0.710
1,5:59,2,9,DAL 9,0,0,Tony Romo pass incomplete deep middle intended for Miles Austin (defended by Michael Huff),-0.710,-1.300
1,5:53,3,9,DAL 9,0,0,Tony Romo pass incomplete short right intended for Patrick Crayton,-1.300,-2.490
1,5:49,4,9,DAL 9,0,0,"Mat McBriar punts 56 yards, returned by Johnnie Lee Higgins for 5 yards (tackle by Tashard Choice). Penalty on Thomas Howard: Illegal Block Above the , 10 yards",-2.490,-0.940
1,5:36,1,10,OAK 30,0,0,Darren McFadden left end for 12 yards (tackle by Alan Ball),0.940,1.730
1,5:10,1,10,OAK 42,0,0,Bruce Gradkowski pass complete short middle to Tony Stewart for 4 yards (tackle by Keith Brooking and Jason Hatcher),1.730,1.730
1,4:30,2,6,OAK 46,0,0,Justin Fargas right tackle for 2 yards (tackle by Anthony Spencer),1.730,1.290
1,3:43,3,4,OAK 48,0,0,Bruce Gradkowski pass incomplete short left intended for Chaz Schilens (defended by Mike Jenkins),1.290,-0.190
1,3:39,4,4,OAK 48,0,0,"Shane Lechler punts 39 yards, fair catch by Patrick Crayton. Penalty on Jon Condo: Offensive Holding, 10 yards",-0.190,-0.480
1,3:31,1,10,DAL 23,0,0,Tashard Choice middle for 66 yards (tackle by Nnamdi Asomugha),0.480,4.840
1,2:43,1,10,OAK 11,0,0,"Tashard Choice left end for no gain (tackle by Michael Huff). Penalty on Deon Anderson: Offensive Holding, 10 yards (no play)",4.840,4.170
1,2:21,1,20,OAK 21,0,0,Felix Jones middle for 7 yards (tackle by Michael Huff),4.170,3.690
