Quarter,Time,Down,ToGo,Location,NYJ,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Jay Feely kicks off 65 yards, returned by Yamon Figurs for 26 yards (tackle by Brad Smith)",0.000,1.000
1,14:53,1,10,TAM 31,0,0,Josh Freeman pass incomplete short middle intended for Antonio Bryant is intercepted by David Harris at TAM-41 and returned for 10 yards,1.000,-3.510
1,14:45,1,10,TAM 31,0,0,Thomas Jones right end for 2 yards (tackle by Barrett Ruud),3.510,3.240
1,14:05,2,8,TAM 29,0,0,Thomas Jones middle for 4 yards (tackle by Adam Hayward and Barrett Ruud),3.240,3.070
1,13:23,3,4,TAM 25,0,0,Danny Woodhead right guard for 3 yards (tackle by Stylez G. White),3.070,2.140
1,12:45,4,1,TAM 22,3,0,Jay Feely 40 yard field goal good,2.140,3.000
1,,,,NYJ 30,3,0,"Jay Feely kicks off 61 yards, returned by Yamon Figurs for 19 yards (tackle by Eric Smith)",0.000,0.810
1,12:36,1,10,TAM 28,3,0,Cadillac Williams left guard for -2 yards (tackle by Bart Scott),0.810,-0.010
1,12:00,2,12,TAM 26,3,0,"Josh Freeman for no gain. Josh Freeman fumbles, recovered by Josh Freeman at TAM-25",-0.010,-0.820
1,11:32,3,13,TAM 25,3,0,Josh Freeman pass incomplete short right intended for Brian Clark (defended by Darrelle Revis),-0.820,-1.700
1,11:24,4,13,TAM 25,3,0,"Sam Paulescu punts 47 yards, returned by Jerricho Cotchery for 8 yards (tackle by Kareem Huggins)",-1.700,-1.330
1,11:13,1,10,NYJ 36,3,0,Kellen Clemens pass complete short left to Thomas Jones for -2 yards (tackle by Chris Hovan),1.330,0.520
1,10:39,2,12,NYJ 34,3,0,Thomas Jones middle for 2 yards (tackle by Ryan Sims and Jimmy Wilkerson),0.520,0.100
1,10:01,3,10,NYJ 36,3,0,Kellen Clemens pass complete short left to Danny Woodhead for 3 yards (tackle by Adam Hayward and Barrett Ruud),0.100,-0.780
1,9:22,4,7,NYJ 39,3,0,Brad Smith pass complete short right to Eric Smith for 27 yards (tackle by Elbert Mack),-0.780,3.310
1,8:37,1,10,TAM 34,3,0,Kellen Clemens pass incomplete deep right intended for Braylon Edwards (defended by Aqib Talib),3.310,2.770
1,8:30,2,10,TAM 34,3,0,Shonn Greene right guard for 3 yards (tackle by Matt McCoy),2.770,2.480
1,7:49,3,7,TAM 31,3,0,Kellen Clemens pass complete short middle to David Clowney for 6 yards (tackle by Aqib Talib),2.480,1.950
1,7:29,4,1,TAM 25,3,0,Kellen Clemens middle for 2 yards (tackle by Barrett Ruud),1.950,4.040
1,6:47,1,10,TAM 23,3,0,Shonn Greene right tackle for 4 yards (tackle by Barrett Ruud),4.040,4.050
1,6:11,2,6,TAM 19,3,0,Brad Smith right end for 12 yards (tackle by Tanard Jackson and Barrett Ruud),4.050,5.600
1,5:45,1,7,TAM 7,3,0,Thomas Jones left tackle for 1 yard (tackle by Ronde Barber),5.600,4.950
