Quarter,Time,Tm,Detail,CIN,SDG
1.0,10:06,Chargers,Antonio Gates 3 yard pass from Philip Rivers (Nate Kaeding kick),0,7
,4:11,Bengals,Shayne Graham 26 yard field goal,3,7
2.0,13:00,Bengals,Chad Johnson 49 yard pass from Carson Palmer (Shayne Graham kick),10,7
,3:12,Chargers,Vincent Jackson 21 yard pass from Philip Rivers (Nate Kaeding kick),10,14
,0:07,Bengals,Shayne Graham 25 yard field goal,13,14
3.0,6:26,Chargers,Vincent Jackson 34 yard pass from Philip Rivers (Nate Kaeding kick),13,21
,1:02,Chargers,Nate Kaeding 33 yard field goal,13,24
4.0,12:37,Bengals,Laveranues Coles 2 yard pass from Carson Palmer (Carson Palmer run),21,24
,0:54,Bengals,Shayne Graham 34 yard field goal,24,24
,0:03,Chargers,Nate Kaeding 52 yard field goal,24,27
