Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Brett Favre,MIN,23,27,155,2,0,3,16,13,115.3,0,0,0,,0,0,0,0,,0,
Tarvaris Jackson,MIN,1,1,14,0,0,0,0,14,118.7,3,-3,0,-1,0,0,0,0,,0,
Sidney Rice,MIN,0,0,0,0,0,0,,,,0,0,0,,5,3,29,0,13,0,
Adrian Peterson,MIN,0,0,0,0,0,,,,,15,92,1,27,4,4,24,0,11,1,1
Percy Harvin,MIN,0,0,0,0,0,,,,,2,14,0,13,5,5,41,1,11,0,
Chester Taylor,MIN,0,0,0,0,0,,,,,4,8,0,4,3,3,20,0,14,1,0
Naufahu Tahi,MIN,0,0,0,0,0,,,,,1,1,0,1,0,0,0,0,,0,
Bernard Berrian,MIN,0,0,0,0,0,,,,,0,0,0,,6,6,46,0,11,0,
Jim Kleinsasser,MIN,0,0,0,0,0,,,,,0,0,0,,2,2,8,0,6,0,
Visanthe Shiancoe,MIN,0,0,0,0,0,,,,,0,0,0,,3,1,1,1,1,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,DET,18,30,152,1,2,2,16,22,56.5,1,7,0,7,0,0,0,0,,1,0
Kevin Smith,DET,0,0,0,0,0,,,,,24,83,0,13,3,2,10,0,6,1,1
Calvin Johnson,DET,0,0,0,0,0,,,,,2,16,0,11,7,5,51,1,22,0,
Maurice Morris,DET,0,0,0,0,0,,,,,2,15,0,8,0,0,0,0,,0,
Aaron Brown,DET,0,0,0,0,0,,,,,4,10,0,7,2,1,3,0,3,0,
Brandon Pettigrew,DET,0,0,0,0,0,,,,,0,0,0,,5,4,40,0,14,0,
Jerome Felton,DET,0,0,0,0,0,,,,,0,0,0,,1,1,21,0,21,0,
Dennis Northcutt,DET,0,0,0,0,0,,,,,0,0,0,,6,2,15,0,12,0,
Will Heller,DET,0,0,0,0,0,,,,,0,0,0,,3,2,10,0,8,0,
Casey Fitzsimmons,DET,0,0,0,0,0,,,,,0,0,0,,1,1,2,0,2,0,
Yamon Figurs,DET,0,0,0,0,0,,,,,1,-2,0,-2,0,0,0,0,,0,
Bryant Johnson,DET,,,,,,,,,,,,,,1,0,0,0,,0,
