Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Shaun Hill,SFO,15,25,195,2,1,1,7,31,94.6,0,0,0,,0,0,0,0,,1,0
Glen Coffee,SFO,0,0,0,0,0,,,,,25,54,0,13,1,0,0,0,,0,
Frank Gore,SFO,0,0,0,0,0,,,,,1,4,0,4,1,0,0,0,,0,
Vernon Davis,SFO,0,0,0,0,0,,,,,0,0,0,,10,7,96,2,31,0,
Josh Morgan,SFO,0,0,0,0,0,,,,,0,0,0,,4,4,47,0,25,0,
Isaac Bruce,SFO,0,0,0,0,0,,,,,0,0,0,,5,2,38,0,28,0,
Michael Robinson,SFO,0,0,0,0,0,,,,,0,0,0,,1,1,8,0,8,0,
Moran Norris,SFO,0,0,0,0,0,,,,,0,0,0,,1,1,6,0,6,0,
Delanie Walker,SFO,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Brett Favre,MIN,24,46,301,2,1,2,18,36,78.3,1,1,0,1,0,0,0,0,,0,
Sidney Rice,MIN,0,0,0,0,0,0,,,,0,0,0,,7,4,56,1,30,0,
Adrian Peterson,MIN,0,0,0,0,0,,,,,19,85,0,35,2,2,14,0,9,0,
Chester Taylor,MIN,0,0,0,0,0,,,,,6,16,0,8,8,7,70,0,30,0,
Bernard Berrian,MIN,0,0,0,0,0,,,,,0,0,0,,9,4,56,0,36,0,
Greg Lewis,MIN,0,0,0,0,0,,,,,0,0,0,,1,1,32,1,32,0,
Visanthe Shiancoe,MIN,0,0,0,0,0,,,,,0,0,0,,5,2,22,0,12,0,
Percy Harvin,MIN,0,0,0,0,0,,,,,1,-8,0,-8,9,4,51,0,18,1,0
Jim Kleinsasser,MIN,,,,,,,,,,,,,,2,0,0,0,,0,
