#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,DET 24,14,8:28,61,Missed FG
2,1,6:23,SEA 2,1,0:05,2,Touchdown
3,1,6:06,SEA 29,3,0:47,29,Touchdown
4,1,3:33,SEA 38,7,2:50,15,Field Goal
5,2,10:47,SEA 47,5,2:15,14,Interception
6,2,3:00,DET 28,5,1:47,34,Interception
7,2,0:02,,0,0:02,0,End of Half
8,3,13:28,DET 12,3,1:18,8,Punt
9,3,9:24,DET 30,6,3:48,6,Punt
10,3,2:32,DET 30,4,1:38,6,Interception
11,4,10:09,DET 31,5,2:05,38,Field Goal
12,4,6:46,DET 11,5,2:12,13,Interception
13,4,2:03,DET 5,9,1:41,42,Interception
14,4,0:22,DET 30,1,0:22,7,End of Game
