Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Mike Adams,CLE,1,26,0,26,3,0.0,7,5,2,0,0,0,0,0,0
Marcus Benard,CLE,0,0,0,0,0,1.5,3,1,2,1,2,0,0,0,0
Jason Trusnik,CLE,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Scott Fujita,CLE,0,0,0,0,0,0.5,6,2,4,0,1,0,0,0,0
T.J. Ward,CLE,0,0,0,0,0,0.0,11,8,3,1,0,0,0,0,1
Chris Gocong,CLE,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Robaire Smith,CLE,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Sheldon Brown,CLE,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
Kenyon Coleman,CLE,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Eric Wright,CLE,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Abram Elam,CLE,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Matt Roth,CLE,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Eric Barton,CLE,0,0,0,0,0,0.0,2,1,1,0,0,1,1,0,0
Joe Haden,CLE,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Ahtyba Rubin,CLE,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Raymond Ventrone,CLE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Phil Dawson,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Shaun Rogers,CLE,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Brian Schaefering,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Blake Costanzo,CLE,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Peyton Hillis,CLE,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
E.J. Biggers,TAM,1,0,0,0,2,0.0,6,5,1,0,0,0,0,0,0
Ronde Barber,TAM,1,64,0,64,2,0.0,4,2,2,1,0,0,0,0,0
Geno Hayes,TAM,0,0,0,0,0,0.0,8,7,1,2,0,0,0,0,0
Barrett Ruud,TAM,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,1
Stylez G. White,TAM,0,0,0,0,0,0.0,5,3,2,,,0,0,0,0
Tanard Jackson,TAM,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0
Elbert Mack,TAM,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Sean Jones,TAM,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Gerald McCoy,TAM,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,1
Kyle Moore,TAM,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Andrew Economos,TAM,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,1
Roy Miller,TAM,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Brian Price,TAM,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Dekoda Watson,TAM,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Quincy Black,TAM,0,0,0,0,0,0.0,1,1,0,0,0,1,1,0,0
Tim Crowder,TAM,0,0,0,0,1,0.0,1,1,0,0,1,0,0,0,0
Cody Grimm,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kareem Huggins,TAM,0,0,0,0,0,0.0,1,0,1,,,0,0,0,0
Niko Koutouvides,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Sabby Piscitelli,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
