Quarter,Time,Down,ToGo,Location,DET,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 64 yards, returned by Stefan Logan for 19 yards (tackle by George Wilson)",0.000,0.610
1,14:54,1,10,DET 25,0,0,Jahvid Best left end for -2 yards (tackle by Kyle Williams),0.610,-0.210
1,14:21,2,12,DET 23,0,0,Jahvid Best left guard for 7 yards (tackle by Dwan Edwards and Arthur Moats),-0.210,0.040
1,13:43,3,5,DET 30,0,0,Shaun Hill pass complete short left to Nate Burleson for 11 yards (tackle by Drayton Florence),0.040,1.660
1,13:26,1,10,DET 41,0,0,"Penalty on Will Heller: False Start, 5 yards (no play)",1.660,1.330
1,13:17,1,15,DET 36,0,0,Jahvid Best middle for 1 yard (tackle by Chris Kelsay and Paul Posluszny),1.330,0.580
1,12:44,2,14,DET 37,0,0,Jahvid Best left tackle for 4 yards (tackle by Paul Posluszny and Dwan Edwards),0.580,0.430
1,12:10,3,10,DET 41,0,0,Shaun Hill pass incomplete short right intended for Nate Burleson,0.430,-0.650
1,12:03,4,10,DET 41,0,0,"Nick Harris punts 52 yards, returned by C.J. Spiller for 13 yards (tackle by Landon Johnson)",-0.650,-0.280
1,11:52,1,10,BUF 20,0,0,Ryan Fitzpatrick pass incomplete deep middle intended for Steve Johnson,0.280,-0.270
1,11:47,2,10,BUF 20,0,0,Fred Jackson right tackle for 2 yards (tackle by Amari Spievey),-0.270,-0.690
1,11:07,3,8,BUF 22,0,0,Ryan Fitzpatrick pass complete short middle to Donald Jones for 20 yards (tackle by Amari Spievey),-0.690,1.730
1,10:27,1,10,BUF 42,0,0,C.J. Spiller middle for 16 yards (tackle by Julian Peterson),1.730,2.790
1,9:40,1,10,DET 42,0,0,Ryan Fitzpatrick pass incomplete deep right intended for Lee Evans,2.790,2.240
1,9:33,2,10,DET 42,0,0,Ryan Fitzpatrick pass incomplete short middle intended for Donald Jones,2.240,1.550
1,9:30,3,10,DET 42,0,0,Ryan Fitzpatrick sacked by Lawrence Jackson for -7 yards,1.550,0.000
1,9:05,4,17,DET 49,0,0,Brian Moorman punts 45 yards,0.000,0.380
1,8:56,1,10,DET 4,0,0,"Jahvid Best left tackle for 7 yards (tackle by Antonio Coleman). Penalty on Rob Sims: Offensive Holding, 2 yards (no play)",-0.380,-0.460
1,8:37,1,12,DET 2,0,0,Jerome Felton right guard for 4 yards (tackle by Reggie Torbor),-0.460,-0.630
1,8:37,2,8,DET 6,0,0,"Penalty on Stephen Peterman: False Start, 3 yards (no play)",-0.630,-0.850
1,7:53,2,11,DET 3,0,0,Kevin Smith right guard for 6 yards (tackle by Reggie Torbor and Jairus Byrd),-0.850,-0.840
1,7:14,3,5,DET 9,0,0,Shaun Hill pass incomplete short right intended for Tony Scheffler (defended by Donte Whitner),-0.840,-2.490
1,7:10,4,5,DET 9,0,0,"Nick Harris punts 44 yards, returned by C.J. Spiller for 2 yards (tackle by Vinny Ciurciu). Penalty on Maurice Morris: Illegal Motion, 5 yards",-2.490,-2.520
1,6:59,1,10,DET 46,0,0,"Penalty on Ndamukong Suh: Neutral Zone Infraction, 5 yards (no play)",2.520,3.250
1,6:59,1,5,DET 41,0,0,Fred Jackson middle for 7 yards (tackle by Turk McBride and Amari Spievey),3.250,3.310
1,6:20,1,10,DET 34,0,0,Ryan Fitzpatrick pass complete short left to Fred Jackson for 6 yards (tackle by Julian Peterson and Alphonso Smith),3.310,3.580
1,5:48,2,4,DET 28,0,0,Fred Jackson left guard for 7 yards (tackle by Alphonso Smith and Amari Spievey),3.580,4.170
1,5:11,1,10,DET 21,0,0,"Penalty on Corey Williams: Encroachment, 5 yards (no play)",4.170,5.080
1,4:59,1,5,DET 16,0,0,Ryan Fitzpatrick pass incomplete deep left intended for Steve Johnson,5.080,4.370
1,4:54,2,5,DET 16,0,0,Fred Jackson middle for 3 yards (tackle by Kyle Vanden Bosch and Louis Delmas),4.370,4.240
1,4:14,3,2,DET 13,0,0,Fred Jackson middle for 1 yard (tackle by Kyle Vanden Bosch and Corey Williams),4.240,2.780
1,3:39,4,1,DET 12,0,0,"Fred Jackson right guard for -2 yards (tackle by Ashlee Palmer). Fred Jackson fumbles (forced by Ashlee Palmer), recovered by Fred Jackson at DET-14",2.780,0.280
1,3:34,1,10,DET 14,0,0,Jahvid Best left end for 5 yards (tackle by Dwan Edwards),-0.280,-0.040
1,3:02,2,5,DET 19,0,0,Jahvid Best left end for 9 yards (tackle by Drayton Florence),-0.040,0.810
1,2:27,1,10,DET 28,0,0,Shaun Hill pass complete short middle to Brandon Pettigrew for 22 yards (tackle by Antonio Coleman),0.810,2.260
1,2:12,1,10,,0,0,Jahvid Best left tackle for 3 yards (tackle by Donte Whitner and Kyle Williams),2.260,2.120
1,1:34,2,7,BUF 47,0,0,Shaun Hill pass complete short right to Calvin Johnson for 11 yards (tackle by Bryan Scott),2.120,3.180
1,0:59,1,10,BUF 36,0,0,Kevin Smith left tackle for 2 yards (tackle by Jairus Byrd and Dwan Edwards),3.180,2.910
1,0:24,2,8,BUF 34,0,0,Shaun Hill pass incomplete short left intended for Tony Scheffler is intercepted by Dwan Edwards at BUF-35 and returned for 8 yards,2.910,-1.800
1,0:17,1,10,BUF 43,0,0,C.J. Spiller middle for -2 yards (tackle by Julian Peterson and Kyle Vanden Bosch),1.800,0.980
Quarter,Time,Down,ToGo,Location,DET,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,BUF 41,0,0,Ryan Fitzpatrick pass complete short middle to Lee Evans for 9 yards (tackle by Alphonso Smith),0.980,1.490
2,14:22,3,3,,0,0,Ryan Fitzpatrick pass complete deep right to Lee Evans for 43 yards (tackle by Chris Houston),1.490,5.600
