Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Lamarr Houston,OAK,0,0,0,0,0,1.0,7,5,2,2,1,0,0,0,0
Trevor Scott,OAK,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Rolando McClain,OAK,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Tyvon Branch,OAK,0,0,0,0,0,0.0,6,1,5,0,0,0,0,0,1
Matt Shaughnessy,OAK,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Stanford Routt,OAK,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Quentin Groves,OAK,0,0,0,0,0,0.0,4,4,0,0,0,1,0,0,0
Michael Huff,OAK,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Tommy Kelly,OAK,0,0,0,0,1,0.0,4,3,1,1,1,0,0,0,0
Mike Mitchell,OAK,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
Kamerion Wimbley,OAK,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
Travis Goethel,OAK,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Stevie Brown,OAK,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Ricky Brown,OAK,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Rock Cartwright,OAK,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Hiram Eugene,OAK,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Thomas Howard,OAK,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Chris Johnson,OAK,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Richard Seymour,OAK,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Sam Williams,OAK,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Desmond Bryant,OAK,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
John Henderson,OAK,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Jason Campbell,OAK,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Cooper Carlisle,OAK,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
James Harrison,PIT,1,0,0,0,1,2.0,5,5,0,2,4,0,0,0,1
Troy Polamalu,PIT,1,38,0,38,2,0.0,6,6,0,1,0,0,0,0,0
James Farrior,PIT,0,0,0,0,1,1.0,8,7,1,2,1,0,0,0,0
Bryant McFadden,PIT,0,0,0,0,0,1.0,5,5,0,1,1,0,0,0,0
LaMarr Woodley,PIT,0,0,0,0,0,1.0,2,2,0,0,2,0,0,0,1
Jason Worilds,PIT,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Ryan Clark,PIT,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
Anthony Madison,PIT,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Lawrence Timmons,PIT,0,0,0,0,1,0.0,4,2,2,0,0,1,0,0,0
Keyaron Fox,PIT,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
William Gay,PIT,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Evander Hood,PIT,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Chris Hoke,PIT,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Ike Taylor,PIT,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,1
Arnaz Battle,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nick Eason,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Larry Foote,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Keenan Lewis,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Steve McLendon,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ryan Mundy,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Emmanuel Sanders,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Stevenson Sylvester,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
