Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jay Cutler,CHI,21,26,234,1,0,4,37,33,117.0,5,12,0,8,0,0,0,0,,1,1
Matt Forte,CHI,0,0,0,0,0,,,,,13,64,1,17,3,2,36,0,20,0,
Chester Taylor,CHI,0,0,0,0,0,,,,,9,33,1,9,5,5,31,0,9,0,
Devin Hester,CHI,0,0,0,0,0,,,,,1,5,0,5,3,1,1,0,1,0,
Earl Bennett,CHI,0,0,0,0,0,,,,,0,0,0,,8,7,104,0,33,0,
Johnny Knox,CHI,0,0,0,0,0,,,,,0,0,0,,3,3,34,0,20,0,
Brandon Manumaleuna,CHI,0,0,0,0,0,,,,,0,0,0,,2,2,23,1,16,0,
Greg Olsen,CHI,0,0,0,0,0,,,,,0,0,0,,1,1,5,0,5,0,
Devin Aromashodu,CHI,,,,,,,,,,,,,,1,0,0,0,,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drew Stanton,DET,16,24,178,1,0,2,10,46,102.4,5,12,1,6,0,0,0,0,,0,
Jahvid Best,DET,0,0,0,0,0,0,,,,9,65,0,45,1,1,32,0,32,0,
Stefan Logan,DET,0,0,0,0,0,0,,,,2,18,0,17,0,0,0,0,,0,
Maurice Morris,DET,0,0,0,0,0,,,,,10,37,0,8,1,1,3,0,3,1,0
Jerome Felton,DET,0,0,0,0,0,,,,,1,2,0,2,0,0,0,0,,0,
Calvin Johnson,DET,0,0,0,0,0,,,,,0,0,0,,5,3,66,1,46,0,
Brandon Pettigrew,DET,0,0,0,0,0,,,,,0,0,0,,9,5,36,0,14,0,
Nate Burleson,DET,0,0,0,0,0,,,,,0,0,0,,5,3,27,0,15,0,
Tony Scheffler,DET,0,0,0,0,0,,,,,0,0,0,,2,2,9,0,6,0,
Will Heller,DET,0,0,0,0,0,,,,,0,0,0,,1,1,5,0,5,0,
