Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 73 yards, returned by Stefan Logan for 27 yards (tackle by Kurt Coleman)",0.000,0.540
1,14:55,1,10,DET 24,0,0,Shaun Hill pass complete short right to Nate Burleson for 4 yards (tackle by Joselio Hanson and Ernie Sims),0.540,0.540
1,14:21,2,6,DET 28,0,0,Shaun Hill pass incomplete short left intended for Calvin Johnson,0.540,-0.160
1,14:16,3,6,DET 28,0,0,Shaun Hill pass complete short right to Jahvid Best for 19 yards (tackle by Dimitri Patterson),-0.160,2.060
1,13:52,1,10,DET 47,0,0,Jahvid Best left end for 10 yards (tackle by Nate Allen),2.060,2.720
1,13:14,1,10,PHI 43,0,0,Maurice Morris middle for 5 yards (tackle by Asante Samuel),2.720,2.850
1,12:39,2,5,PHI 38,0,0,Shaun Hill sacked by Brandon Graham for -2 yards,2.850,1.880
1,12:02,3,7,PHI 40,0,0,Shaun Hill pass complete short left to Calvin Johnson for 7 yards (tackle by Ellis Hobbs),1.880,3.380
1,11:22,1,10,PHI 33,0,0,Shaun Hill pass incomplete short left intended for Calvin Johnson,3.380,2.840
1,11:15,2,10,PHI 33,0,0,Shaun Hill pass incomplete deep middle intended for Tony Scheffler is intercepted by Nate Allen,2.840,-0.280
1,11:08,1,10,PHI 20,0,0,LeSean McCoy right tackle for 5 yards (tackle by C.C. Brown),0.280,0.410
1,10:33,2,5,PHI 25,0,0,"Penalty on Ndamukong Suh: Encroachment, 4 yards (no play)",0.410,0.950
1,10:17,2,1,PHI 29,0,0,LeSean McCoy left tackle for no gain (tackle by Corey Williams),0.950,0.230
1,9:35,3,1,PHI 29,0,0,Michael Vick pass complete short right to Brent Celek for 11 yards (tackle by Zack Follett),0.230,1.600
