Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Carson Palmer,CIN,19,37,195,1,2,1,10,27,53.3,5,8,0,9,0,0,0,0,,0,
Chad Johnson,CIN,0,0,0,0,0,0,0,,,0,0,0,,12,4,34,0,13,0,
Cedric Benson,CIN,0,0,0,0,0,,,,,27,81,1,11,3,2,9,1,7,1,0
Brian Leonard,CIN,0,0,0,0,0,,,,,3,16,0,6,2,1,6,0,6,0,
Bernard Scott,CIN,0,0,0,0,0,,,,,2,15,0,12,0,0,0,0,,0,
Jermaine Gresham,CIN,0,0,0,0,0,,,,,0,0,0,,6,4,59,0,27,0,
Terrell Owens,CIN,0,0,0,0,0,,,,,0,0,0,,9,4,42,0,17,0,
Jordan Shipley,CIN,0,0,0,0,0,,,,,0,0,0,,3,3,37,0,22,0,
Andre Caldwell,CIN,0,0,0,0,0,,,,,0,0,0,,2,1,8,0,8,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jimmy Clausen,CAR,16,33,188,0,1,1,8,44,53.6,6,10,0,5,0,0,0,0,,3,2
Brandon LaFell,CAR,0,0,0,0,0,0,,,,0,0,0,,6,1,44,0,44,0,
DeAngelo Williams,CAR,0,0,0,0,0,,,,,10,64,0,26,0,0,0,0,,0,
Jonathan Stewart,CAR,0,0,0,0,0,,,,,8,13,1,7,2,2,18,0,15,1,1
Mike Goodson,CAR,0,0,0,0,0,,,,,0,0,0,,8,4,47,0,20,0,
David Gettis,CAR,0,0,0,0,0,,,,,0,0,0,,5,3,32,0,14,0,
Steve Smith Sr.,CAR,0,0,0,0,0,,,,,0,0,0,,5,3,22,0,11,0,
Jeff King,CAR,0,0,0,0,0,,,,,0,0,0,,3,1,13,0,13,0,
Dante Rosario,CAR,0,0,0,0,0,,,,,0,0,0,,3,2,12,0,8,0,
