#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,OAK 10,3,1:29,7,Punt
2,1,11:54,OAK 29,3,1:59,4,Punt
3,1,8:19,OAK 42,8,3:05,45,Field Goal
4,1,3:14,OAK 13,3,2:09,8,Punt
5,2,14:48,OAK 13,12,5:54,87,Touchdown
6,2,7:03,OAK 33,6,4:34,16,Punt
7,2,1:42,OAK 6,3,1:02,8,Punt
8,2,0:15,OAK 41,1,0:15,-1,End of Half
9,3,12:52,OAK 6,9,3:43,76,Field Goal
10,3,7:11,OAK 20,6,2:21,53,Missed FG
11,3,3:30,OAK 14,8,3:38,82,Field Goal
12,4,13:36,OAK 31,1,0:10,69,Touchdown
13,4,8:57,SEA 36,4,1:39,5,Field Goal
14,4,6:02,OAK 34,6,4:06,66,Touchdown
