Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Jabari Greer,NOR,1,24,1,24,2,0.0,4,3,1,0,0,0,0,0,0
Roman Harper,NOR,0,0,0,0,2,1.0,10,10,0,1,1,0,0,0,0
Leigh Torrence,NOR,0,0,0,0,0,1.0,3,3,0,1,1,0,0,0,0
Sedrick Ellis,NOR,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Jeff Charleston,NOR,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Jonathan Vilma,NOR,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,1
Danny Clark,NOR,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Scott Shanle,NOR,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Alex Brown,NOR,0,0,0,0,0,0.0,4,2,2,0,1,1,0,0,0
Tracy Porter,NOR,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Malcolm Jenkins,NOR,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Marvin Mitchell,NOR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Anthony Waters,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Jimmy Wilkerson,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Usama Young,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Stanley Arnoux,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Remi Ayodele,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Matt Giordano,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Anthony Hargrove,NOR,0,0,0,0,0,0.0,1,1,0,,,0,0,0,0
Courtney Roby,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Darren Sharper,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Drew Brees,NOR,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Will Smith,NOR,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Richard Marshall,CAR,1,66,0,66,1,0.0,8,7,1,0,0,0,0,0,0
Nic Harris,CAR,0,0,0,0,0,0.5,7,5,2,1,1,0,0,0,0
Charles Johnson,CAR,0,0,0,0,0,0.5,4,2,2,0,1,0,0,0,0
James Anderson,CAR,0,0,0,0,0,0.0,9,9,0,2,0,0,0,0,0
Jon Beason,CAR,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
Sherrod Martin,CAR,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,0
Chris Gamble,CAR,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
Charles Godfrey,CAR,0,0,0,0,0,0.0,6,5,1,0,3,0,0,0,0
Nick Hayden,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Derek Landri,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Captain Munnerlyn,CAR,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Eric Norwood,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Tyler Brayton,CAR,0,0,0,0,0,0.0,1,1,0,0,2,0,0,0,0
Greg Hardy,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Marcus Hudson,CAR,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Edward Johnson,CAR,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Jordan Pugh,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Everette Brown,CAR,,,,,0,0.0,0,0,0,0,1,0,0,0,0
